,0,1
cntry,0.00014640183640419942,0.00014640183640396578
pspwght,0.00023371856036234835,0.00023371856036225738
anweight,7.573204931136319e-06,7.5732049309781245e-06
nwspol,0.0002812845903877818,0.0002812845903885949
netustm,0.00028474908630831693,0.00028474908630776627
ppltrst,0.00558732969840787,0.0055873296984099265
pplhlp,0.001540122081376921,0.0015401220813773462
polintr,0.0001830103367950572,0.00018301033679487603
psppsgva,0.0012516934087772004,0.00125169340877953
actrolga,5.348079010443148e-05,5.3480790103914616e-05
psppipla,2.0351813631740234e-05,2.035181363158294e-05
trstplc,2.7590121290607866e-05,2.7590121290187656e-05
trstprl,0.00012517101670433267,0.00012517101670439485
contplt,4.1454003597395066e-05,4.1454003597362845e-05
wrkprty,0.000930736662559619,0.0009307366625596633
bctprd,1.2558380567140903e-07,1.2558380566942536e-07
stfdem,5.767310756590514e-05,5.767310756590599e-05
gincdif,6.544845315225997e-05,6.544845315168641e-05
mnrgtjb,4.200987698451089e-05,4.200987698451503e-05
freehms,1.2491599061843635e-05,1.2491599061848941e-05
hmsacld,1.2883241923809245e-05,1.2883241923842055e-05
imsmetn,1.5366107094856185e-05,1.536610709487055e-05
imdfetn,3.5106968945377864e-05,3.51069689452465e-05
happy,6.555485727502819e-05,6.555485727515614e-05
sclact,2.3596013357916724e-05,2.3596013357875586e-05
hlthhmp,2.5740636727513716e-05,2.5740636727489203e-05
rlgblg,3.6425621379528856e-06,3.6425621379536116e-06
rlgblge,3.1889654420205545e-05,3.188965442020582e-05
pray,3.852012918174332e-05,3.852012918174011e-05
dscrgrp,0.004167623865546965,0.004167623865588986
dscrntn,0.04606041307696212,0.04606041307696519
dscrage,7.097040336732622e-06,7.0970403365157895e-06
dscrgnd,8.206217668540065e-06,8.206217668541444e-06
ctzcntr,3.500292410621367e-06,3.5002924106275146e-06
lnghom1,0.0,0.0
mocntr,0.0,0.0
gvrfgap,3.144597217475184e-05,3.144597217486445e-05
elgcoal,9.681831838654383e-06,9.681831838653814e-06
elgnuc,6.121650002032524e-05,6.121650002018924e-05
elgbio,0.0008021810121925878,0.0008021810121925545
wrenexp,2.613701792113892e-05,2.6137017921180918e-05
wrdpfos,0.00041826302364176757,0.00041826302364185214
wrtcfl,1.317889912506607e-06,1.317889912515158e-06
wrtratc,2.0216685175716095e-05,2.0216685175376723e-05
lkredcc,2.8255293653911293e-05,2.8255293653988048e-05
gvsrdcc,0.00020019675946417688,0.00020019675946418176
banhhap,0.0012029101257880837,0.0012029101257880752
slvpens,2.474798422963587e-06,2.4747984229798778e-06
sbeqsoc,5.590226828952503e-05,5.590226828948278e-05
sbbsntx,2.5363342892076247e-06,2.5363342891882594e-06
admub,4.3800355998883124e-05,4.380035599888793e-05
basinc,0.001778649098015792,0.0017786490980158745
lkuemp,0.0004927486567962057,0.0004927486567960589
hhmmb,0.0029411742128930027,0.002941174212893066
gndr3,0.001216165935790866,0.001216165935790931
yrbrn2,4.690651372370022e-05,4.690651372385772e-05
yrbrn3,5.168499605319738e-05,5.168499605323072e-05
icpart1,0.009626601902116528,0.009626601902116748
chldhm,2.6674563621845047e-06,2.667456362185642e-06
cmsrv,1.304846941258678e-05,1.3048469412725808e-05
hswrk,0.00011224254999511938,0.00011224254999506674
dngdk,1.5747167355286423e-06,1.574716735528556e-06
dngna,0.00046414717078062926,0.0004641471707802045
icomdng,4.1745108666185636e-05,4.174510866617732e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
edulvlfb,0.002400093447583017,0.002400093447582913
occf14b,0.00031617391546858765,0.00031617391546861324
imprich,3.587258047642014e-05,3.587258047635789e-05
ipeqopt,0.00013727364047872706,0.0001372736404787248
ipshabt,1.3213125860347438e-05,1.3213125860346595e-05
impdiff,5.827001226640045e-05,5.827001226660308e-05
ipfrule,4.819959715560708e-05,4.819959715566296e-05
inwmms,6.613131628278815e-05,6.613131628272907e-05
inwyys,6.284770098027418e-06,6.284770097579384e-06
