,0,1
cntry,0.00011667569915903758,0.00011667569915901187
pspwght,0.00019042305355328396,0.00019042305355328025
anweight,2.9796662064113457e-05,2.9796662064114256e-05
nwspol,0.002124197023840201,0.002124197023840277
netustm,2.1114143632300953e-05,2.1114143632298968e-05
ppltrst,0.00011386761955700643,0.0001138676195570172
pplhlp,9.903939190788359e-05,9.903939190788157e-05
polintr,9.91964558427975e-05,9.919645584280048e-05
psppsgva,0.0007870987574542852,0.0007870987574543038
actrolga,6.678432844642774e-06,6.6784328446393875e-06
psppipla,0.00023713052853970387,0.00023713052853962307
trstplc,2.832114418158286e-06,2.8321144181587695e-06
trstprl,1.1677838166244018e-05,1.1677838166244686e-05
wrkprty,0.000594410521418482,0.0005944105214184953
bctprd,6.13415956442829e-06,6.134159564419777e-06
stfdem,0.0001934068596792535,0.00019340685967925402
gincdif,0.00018403597513428987,0.0001840359751342921
mnrgtjb,0.0007139917789063975,0.0007139917789063969
freehms,2.5556847341415404e-05,2.5556847341413012e-05
hmsacld,3.0036927977432373e-05,3.0036927977439776e-05
imsmetn,1.5389090947444384e-05,1.53890909474557e-05
imdfetn,0.0008570538753705977,0.000857053875370596
imwbcnt,0.0017413877894360186,0.0017413877894360277
happy,9.172101330227493e-05,9.172101330228775e-05
sclact,6.896651433424145e-05,6.896651433424989e-05
hlthhmp,8.56232304425426e-06,8.562323044255483e-06
atcherp,8.912052329627666e-07,8.912052329628651e-07
rlgdnm,1.5142278354753421e-05,1.5142278354753415e-05
dscrgrp,0.002483142862186277,0.002483142862186275
dscrntn,0.02648919576931224,0.026489195769312333
dscrage,7.828624052904203e-06,7.828624052906805e-06
dscrgnd,1.7799244724305373e-07,1.779924472430604e-07
ctzcntr,7.5153586303556074e-06,7.515358630352408e-06
lnghom1,1.183368878777583e-05,1.183368878777444e-05
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgcoal,2.4470228062128e-05,2.447022806212436e-05
elgnuc,2.9772494457958236e-05,2.9772494457927313e-05
elgbio,0.0006914451164106747,0.0006914451164106716
wrenexp,0.0002369839940073434,0.00023698399400735946
wrtcfl,9.356259422786948e-06,9.356259422784497e-06
wrtratc,9.795635869837245e-06,9.795635869839732e-06
lkredcc,9.549551572488382e-06,9.549551572488849e-06
gvsrdcc,4.0609279622378404e-05,4.06092796223782e-05
banhhap,0.000700502565574891,0.0007005025655748907
dfincac,0.0001736749823130193,0.00017367498231301464
slvpens,0.0002687247559455282,0.00026872475594552625
sbeqsoc,1.1886882618048573e-05,1.1886882618049224e-05
sbbsntx,1.6937551508428085e-05,1.69375515084258e-05
imsclbn,0.0006488936008481596,0.0006488936008481519
admub,9.666049755716701e-06,9.666049755726886e-06
wrkprbf,1.4030980103430241e-05,1.4030980103431495e-05
lkuemp,0.00027390582623146125,0.00027390582623145843
vteurmmb,0.0017627561213449973,0.00176275612134502
gndr3,0.00030153948769828977,0.0003015394876982802
yrbrn,0.002701658384937623,0.002701658384937617
yrbrn2,4.090455508179099e-06,4.0904555081791255e-06
yrbrn3,3.225397883132301e-05,3.22539788313177e-05
icpart1,0.004651037422267171,0.004651037422267159
chldhm,5.965780346134054e-06,5.965780346133971e-06
edctn,1.0822320974645157e-06,1.0822320974684023e-06
cmsrv,3.820644442873471e-06,3.820644442873441e-06
hswrk,1.626556146707882e-05,1.6265561467081905e-05
dngdk,0.0,0.0
dngna,2.0754670435238303e-05,2.0754670435238316e-05
icomdng,0.0,0.0
mnactic,8.130231700069941e-06,8.13023170007e-06
icpdwrk,0.0,0.0
wkdcorga,0.04792771463273812,0.047927714632738316
edulvlfb,0.002266673464034666,0.00226667346403467
imprich,1.6405729857279353e-05,1.6405729857280244e-05
ipeqopt,1.02097796352193e-05,1.0209779635230171e-05
ipshabt,7.113272346099353e-05,7.113272346099426e-05
impdiff,2.33856816602836e-05,2.3385681660289816e-05
ipfrule,4.335391997598009e-05,4.335391997597638e-05
inwmms,3.3541805121161766e-05,3.3541805121156515e-05
inwyys,0.0003922710461979575,0.0003922710461979706
