,0,1
cntry,5.320648633282281e-06,5.320648633283299e-06
pspwght,0.00020716343293335492,0.00020716343293335042
anweight,1.890594493495938e-07,1.8905944934968219e-07
nwspol,4.908618004467365e-06,4.908618004466857e-06
netusoft,6.312933949182992e-06,6.312933949183152e-06
ppltrst,1.4530887761971291e-05,1.4530887761967008e-05
pplhlp,3.3005520209535747e-06,3.3005520209537136e-06
psppsgva,0.00011929429124206383,0.00011929429124205471
psppipla,0.0,0.0
trstplc,0.00017681295464702412,0.00017681295464701827
trstprl,1.4736536345894686e-06,1.4736536345894804e-06
contplt,0.0,0.0
wrkprty,0.002007398417071501,0.0020073984170714872
pbldmn,2.3948803536138267e-05,2.394880353613553e-05
bctprd,1.2154993342246115e-06,1.2154993342254378e-06
stfedu,0.0363288544371461,0.03632885443714584
stfhlth,0.0019752354197671326,0.0019752354197671205
gincdif,0.0,0.0
mnrgtjb,5.305350044608837e-05,5.305350044608851e-05
imsmetn,0.0,0.0
imdfetn,4.3050749557678264e-06,4.3050749557671675e-06
impcntr,6.709389227431821e-05,6.709389227431641e-05
imueclt,0.00010809197488007125,0.00010809197488007111
imwbcnt,0.0012593378255083144,0.001259337825508317
happy,9.069076407938288e-05,9.069076407938486e-05
sclact,8.302317848151878e-05,8.302317848151633e-05
hlthhmp,0.0,0.0
rlgblg,0.0,0.0
rlgblge,0.0,0.0
dscrgrp,0.0,0.0
dscrrlg,0.0,0.0
dscrage,0.0,0.0
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgcoal,4.901148598311242e-05,4.9011485983114125e-05
elgngas,0.006165315420466145,0.006165315420466118
elgbio,0.0006290458791141801,0.0006290458791141831
wrenexp,8.95611547188e-05,8.956115471879936e-05
wrtcfl,0.0,0.0
lkredcc,9.321444498832345e-07,9.321444498832289e-07
banhhap,0.00030904562923665245,0.0003090456292366557
slvpens,0.00034797284123921034,0.000347972841239211
sbstrec,0.0015237829973651132,0.0015237829973651217
sbbsntx,0.0,0.0
uentrjb,5.3553523109894205e-06,5.3553523109892595e-06
bnlwinc,1.3024196144125143e-05,1.3024196144125867e-05
lknemny,0.0024343594347353424,0.002434359434735336
gndr,0.013401128957770734,0.013401128957770712
yrbrn2,5.831291676747078e-05,5.831291676748813e-05
yrbrn3,0.0,0.0
rshipa2,0.002861554905222514,0.002861554905222524
iccohbt,0.0009106950639129499,0.0009106950639129461
marsts,0.010564766439454833,0.010564766439454861
edctn,0.0,0.0
uempla,0.0,0.0
dsbld,0.0,0.0
cmsrv,0.0,0.0
hswrk,1.5812143216796967e-06,1.581214321680341e-06
dngdk,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,7.987967382361023e-05,7.987967382360898e-05
wkhtot,3.285041407273366e-05,3.2850414072734514e-05
isco08,0.00010982800550283329,0.00010982800550283639
pdwrkp,0.014517303295399823,0.014517303295399887
edulvlfb,0.0009886674344521825,0.0009886674344521792
occf14b,4.79404325051048e-05,4.7940432505102694e-05
edulvlmb,0.0005016734227274426,0.0005016734227274387
imprich,0.0,0.0
ipshabt,7.410898798937402e-06,7.410898798936873e-06
impsafe,9.335095356980307e-06,9.335095356979933e-06
ipmodst,3.1715071786643386e-06,3.171507178664682e-06
inwmms,8.115982321466348e-06,8.115982321466343e-06
inwyys,0.0,0.0
