,0,1
cntry,7.627007694531465e-05,7.62700769451475e-05
pspwght,0.0002371327964287368,0.0002371327964298578
anweight,2.6917287368890518e-05,2.6917287368989268e-05
nwspol,0.00035867512885612616,0.0003586751288561433
netustm,3.0051525405648416e-06,3.0051525405678884e-06
ppltrst,0.00012466095760575347,0.0001246609576050464
pplhlp,6.808239287528616e-06,6.808239287558294e-06
polintr,0.000184610743377843,0.00018461074337733203
psppsgva,0.01835806938973901,0.018358069389738132
psppipla,7.634973551278183e-05,7.63497355128148e-05
trstlgl,7.39615000860875e-05,7.396150008612699e-05
trstplt,7.838732798217201e-06,7.838732798274564e-06
trstep,6.056808807396848e-06,6.056808807399174e-06
trstprt,2.046425364801585e-05,2.04642536480601e-05
trstprl,6.788965135697351e-05,6.788965135680866e-05
contplt,6.247903836241613e-05,6.247903836170647e-05
wrkprty,0.0001525606849109505,0.00015256068491083927
bctprd,5.567485006119914e-06,5.567485006161872e-06
stfdem,2.014146592573672e-06,2.0141465925736886e-06
gincdif,2.225781891153787e-05,2.22578189115548e-05
mnrgtjb,3.281743591149742e-05,3.28174359114874e-05
euftf,9.470959971536801e-06,9.470959971527432e-06
imdfetn,2.666463578209095e-05,2.666463578196809e-05
impcntr,9.637301038791893e-05,9.6373010388104e-05
happy,5.724349953530109e-05,5.724349953495988e-05
hlthhmp,2.2390343120801954e-05,2.2390343120786843e-05
rlgblg,1.8222756210244812e-06,1.8222756210243713e-06
rlgdnm,1.8702717930244613e-05,1.8702717930337153e-05
rlgblge,4.440182897297856e-05,4.4401828972824064e-05
dscrgrp,2.2294738030904948e-05,2.229473803091759e-05
dscrrce,0.005794757906293616,0.005794757906299273
dscrage,5.199319030808605e-07,5.199319030813481e-07
dscrgnd,1.5967547549943266e-07,1.5967547549937998e-07
lnghom1,2.9232001758559506e-05,2.9232001758551442e-05
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,7.247258816667036e-07,7.247258816667713e-07
elgngas,0.0014819052118173275,0.0014819052118174628
elgsun,3.440955364938375e-05,3.4409553649360395e-05
elgbio,0.0005886461773586519,0.0005886461773585058
wrenexp,0.00031756791235391295,0.0003175679123539338
wrtcfl,6.683052285005868e-05,6.683052285006647e-05
wrtratc,9.91986079889096e-06,9.919860798858021e-06
ownrdcc,7.09230618468382e-05,7.092306184710445e-05
inctxff,5.352553227393452e-06,5.352553227181841e-06
slvuemp,0.0001121466346512122,0.00011214663465120124
sbbsntx,9.960766603262731e-05,9.960766603280001e-05
imsclbn,0.0001261711994961323,0.00012617119949613086
admub,4.0953817168528474e-05,4.095381716850952e-05
lkuemp,0.0005764519974277201,0.000576451997427833
gndr3,0.0013437035403736023,0.001343703540373327
yrbrn2,0.00044656305731136564,0.000446563057314115
rshipa3,0.014145140248789136,0.014145140248789892
icpart1,2.2785132466293352e-05,2.27851324662627e-05
lvgptnea,0.02838523665468725,0.028385236654683885
iccohbt,4.714708082690659e-06,4.714708082691647e-06
marsts,0.009383562690452827,0.00938356269045301
maritalb,0.0004365192069338537,0.0004365192069338548
dsbld,2.104124017115889e-06,2.1041240171162134e-06
cmsrv,5.915896797019643e-06,5.915896797036292e-06
hswrk,1.601727952438614e-05,1.6017279524260596e-05
dngdk,0.0,0.0
dngna,8.208672489189129e-05,8.208672489189045e-05
icomdng,2.523399599374653e-05,2.523399599361717e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0003740121449911895,0.0003740121449912644
wkhct,0.002508488053682821,0.0025084880536829332
icwhct,0.00026813717418407406,0.00026813717418405726
isco08,0.001063036593149173,0.0010630365931491978
edulvlfb,0.00019083286488927144,0.00019083286488913773
occf14b,1.8172823763462882e-06,1.8172823763457368e-06
imprich,1.529897433508486e-05,1.5298974334960957e-05
ipeqopt,3.1447596602963478e-06,3.144759660338697e-06
impdiff,2.1726423351540536e-05,2.1726423351547573e-05
ipudrst,6.719435331545299e-06,6.719435331533078e-06
ipmodst,9.662732724536948e-05,9.662732724538329e-05
inwmms,1.8637855009559614e-05,1.8637855009556134e-05
inwyys,5.385177772057819e-05,5.3851777719828306e-05
