,0,1
cntry,2.2887877640987872e-05,2.2887877641009732e-05
pspwght,4.451512261831486e-05,4.4515122618268474e-05
anweight,8.86539020847214e-06,8.865390208470266e-06
nwspol,3.397061169993679e-05,3.397061169991712e-05
netustm,2.7843838352376697e-05,2.7843838352362843e-05
ppltrst,2.797351423402607e-05,2.7973514234036193e-05
pplhlp,2.9865601774332113e-05,2.9865601774341725e-05
psppsgva,0.00013346810136435555,0.00013346810136426383
psppipla,4.2715648461520454e-06,4.271564846144313e-06
trstplc,1.1938717883565332e-07,1.193871788356351e-07
trstprl,1.2909380292082347e-05,1.2909380292081247e-05
wrkprty,0.001713789181662852,0.0017137891816628435
bctprd,0.0,0.0
stfdem,4.92847415848906e-06,4.928474158489355e-06
stfhlth,0.003821430181814188,0.0038214301818141816
gincdif,1.0433831919380584e-05,1.0433831919382812e-05
imsmetn,6.257111168419354e-07,6.257111168412425e-07
imdfetn,3.095910099855323e-05,3.095910099854476e-05
happy,1.705595938825762e-05,1.7055959388259115e-05
hlthhmp,1.9612204472310514e-05,1.9612204472314725e-05
rlgblg,6.5635181455390035e-06,6.563518145506757e-06
rlgblge,2.248210860295599e-06,2.248210860297795e-06
dscrgrp,0.0,0.0
dscrage,4.246363113105863e-06,4.246363113109201e-06
dscrgnd,6.898865448604412e-06,6.898865448601924e-06
dscrna,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgnuc,2.696671842744783e-06,2.696671842746208e-06
elgbio,0.003241071156577056,0.0032410711565770732
wrenexp,2.3362641764412935e-05,2.3362641764417817e-05
wrtcfl,8.938651883123719e-06,8.938651883126011e-06
clmchng,0.00043864909648347165,0.00043864909648347767
lklmten,0.005589451738030446,0.005589451738030459
inctxff,0.018553432023192023,0.01855343202319205
slvpens,0.0005444008309311412,0.0005444008309311066
sbstrec,0.0009169934757779984,0.0009169934757779681
sbprvpv,3.7802167766916758e-06,3.780216776691237e-06
sbbsntx,7.134774067209631e-07,7.134774067206408e-07
imsclbn,0.0010688067738144375,0.0010688067738144366
uentrjb,3.8005773976392775e-05,3.800577397639159e-05
wrkprbf,1.5757473719943615e-05,1.575747371991523e-05
lkuemp,0.00036102456595881713,0.0003610245659588189
gndr,0.010289231907371472,0.0102892319073715
gndr3,0.00012275439232229508,0.00012275439232229361
yrbrn2,0.00018330724384264831,0.00018330724384261858
yrbrn3,0.0,0.0
rshipa3,0.021274190212014276,0.021274190212014304
rshpsts,0.001856336283584423,0.0018563362835844475
chldhm,7.108917210977262e-07,7.108917210981645e-07
cmsrv,7.3340397932273075e-06,7.334039793221302e-06
hswrk,1.2576142172568929e-05,1.2576142172568785e-05
dngdk,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,9.462948243986576e-05,9.462948243985376e-05
wkhct,0.0008952035884567565,0.0008952035884567562
icwhct,0.00033598217699326257,0.00033598217699326414
edulvlfb,0.00039824829812824515,0.00039824829812824163
occf14b,1.4244847063360695e-05,1.4244847063369001e-05
imprich,4.078593240356558e-06,4.078593240364057e-06
ipshabt,3.08866018967857e-06,3.088660189677268e-06
impsafe,2.240348746282348e-05,2.2403487462825234e-05
impdiff,7.666709283112712e-07,7.666709283107952e-07
ipmodst,6.519366404929371e-05,6.519366404927904e-05
inwmms,7.583484648980748e-06,7.583484648981689e-06
inwyys,5.295965737941276e-07,5.295965737938411e-07
