,0,1
cntry,2.3977899474065125e-06,2.3977899474065095e-06
pspwght,0.00010426823589457614,0.00010426823589457839
anweight,9.334393323115494e-06,9.334393323115489e-06
nwspol,1.395944208901447e-05,1.395944208901442e-05
netustm,9.256311580341053e-06,9.256311580341081e-06
ppltrst,8.041837336473095e-05,8.041837336473094e-05
pplhlp,9.685845355100714e-07,9.685845355096456e-07
polintr,1.4099919401880983e-06,1.4099919401880922e-06
psppsgva,1.1701405645728915e-05,1.1701405645728933e-05
actrolga,2.6560350827963534e-07,2.656035082796387e-07
psppipla,6.338045753070857e-07,6.338045753070852e-07
trstplc,0.0,0.0
trstprl,1.0250330805067096e-06,1.0250330805067113e-06
contplt,3.415533881640503e-08,3.415533881640552e-08
wrkprty,6.484000109801505e-05,6.484000109801543e-05
bctprd,0.0,0.0
stfdem,3.416394304616174e-06,3.416394304616578e-06
gincdif,1.0670770865656232e-07,1.0670770865656285e-07
freehms,8.516198782267193e-07,8.516198782266371e-07
hmsacld,1.291742102786166e-06,1.291742102786183e-06
imsmetn,1.089110684902819e-06,1.089110684902792e-06
imdfetn,0.0,0.0
imwbcnt,0.00041442454587775884,0.00041442454587775835
happy,7.832129260153619e-07,7.832129260153616e-07
sclact,2.5591004338587398e-06,2.5591004338587516e-06
hlthhmp,2.6490758019119233e-06,2.649075801912032e-06
atcherp,0.0,0.0
rlgdnm,4.852387307420837e-07,4.852387307420845e-07
pray,5.440316752938765e-08,5.440316752938793e-08
dscrgrp,0.0016831796942114517,0.0016831796942114515
dscrrce,0.013933261112747434,0.013933261112747427
dscrntn,0.03185207570180872,0.031852075701808716
dscrage,2.7207904684526605e-05,2.72079046845266e-05
dscrgnd,0.0,0.0
ctzcntr,0.0,0.0
lnghom1,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgngas,0.0012133412525154195,0.001213341252515419
elgnuc,2.0035120067565386e-06,2.003512006756543e-06
elgbio,0.00023277674016706294,0.00023277674016706292
wrenexp,2.2846462106029783e-05,2.284646210602904e-05
wrdpfos,3.946883624489658e-06,3.946883624489276e-06
wrtcfl,1.4214883524828044e-07,1.4214883524828065e-07
wrtratc,0.0,0.0
gvsrdcc,2.0678196395186253e-06,2.067819639518624e-06
sbsrnen,2.3846306347595784e-05,2.38463063475958e-05
slvpens,6.67314320515428e-06,6.6731432051543536e-06
sbeqsoc,1.3674007311170558e-06,1.3674007311170433e-06
sbbsntx,7.994238974086795e-07,7.994238974086898e-07
imsclbn,1.6963165871471767e-06,1.6963165871471816e-06
admub,3.3981227316021126e-07,3.3981227316021126e-07
wrkprbf,4.6294913748588674e-08,4.6294913748588827e-08
lkuemp,3.114651696745408e-05,3.114651696745402e-05
hhmmb,0.0005313979048811443,0.0005313979048811437
gndr3,4.8081458257444465e-05,4.808145825744438e-05
yrbrn,0.0010935209408710824,0.0010935209408710804
yrbrn2,1.2768029464090185e-05,1.2768029464090158e-05
yrbrn3,0.0,0.0
icpart1,0.0015894998067612475,0.0015894998067612464
chldhm,5.797606926632626e-08,5.797606926632635e-08
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,6.770499520121451e-08,6.770499520121439e-08
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.046522047678004275,0.046522047678004295
edulvlfb,0.0013159635875457695,0.0013159635875457708
imprich,2.0424035483277873e-07,2.0424035483277865e-07
ipeqopt,3.21261347689053e-07,3.2126134768905386e-07
ipshabt,8.422382551954161e-07,8.422382551954155e-07
impdiff,1.2938656780715203e-06,1.2938656780715146e-06
ipfrule,9.147622411581023e-07,9.147622411581019e-07
inwmms,1.32641884067671e-07,1.3264188406771828e-07
inwyys,1.5472379947664647e-07,1.5472379947664568e-07
