,0,1
cntry,0.00016393355709292727,0.00016393355709293106
pspwght,0.0012530769211252727,0.0012530769211252513
anweight,0.0021458721025571954,0.00214587210255722
nwspol,0.015644572018497248,0.01564457201849719
netustm,0.000357038467937271,0.0003570384679372601
ppltrst,0.00028749573744515325,0.00028749573744515087
pplhlp,0.0007827874589746462,0.0007827874589746434
polintr,5.201342871564946e-05,5.2013428715654114e-05
psppsgva,0.005761437757819716,0.00576143775781974
psppipla,1.4369099684258634e-05,1.436909968425675e-05
trstplt,2.882356804748758e-05,2.882356804748754e-05
trstprl,0.000157428631264314,0.00015742863126431747
vote,5.215610192595433e-05,5.215610192595571e-05
pbldmn,0.0001984272656534725,0.00019842726565347444
bctprd,3.319457885221562e-05,3.3194578852215876e-05
stfedu,0.1480227854040006,0.14802278540400077
stfhlth,0.0002959718696229821,0.0002959718696229784
gincdif,3.873514226456919e-05,3.873514226456613e-05
imsmetn,4.461666620382916e-05,4.461666620383033e-05
imdfetn,0.0001360543989422786,0.00013605439894227647
happy,1.377599340223927e-06,1.3775993402232032e-06
hlthhmp,5.7949638409040744e-05,5.794963840903096e-05
rlgblg,1.7706983370887384e-05,1.7706983370887584e-05
rlgdnm,2.4318059089984174e-05,2.4318059089984587e-05
rlgblge,0.0024896435432391582,0.002489643543239141
rlgatnd,1.5682395883667502e-05,1.5682395883672188e-05
dscrgrp,7.360763367466469e-05,7.360763367466443e-05
dscrlng,0.00014155152311640654,0.0001415515231164065
dscrage,9.528678138671818e-06,9.528678138671471e-06
dscrgnd,7.965252175593041e-08,7.965252175620353e-08
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,9.131637036070551e-06,9.131637036069941e-06
elgwind,0.00034611819750657275,0.0003461181975065787
elgbio,0.0004547249194409128,0.0004547249194409106
wrpwrct,0.0007769177669091956,0.0007769177669091831
wrenexp,2.2988022510479487e-05,2.2988022510479823e-05
wrtcfl,3.972784484050334e-05,3.972784484050066e-05
gvsrdcc,0.00033112985237217457,0.0003311298523721758
sbprvpv,7.747228495066015e-05,7.747228495065782e-05
imsclbn,5.3104710120982496e-05,5.3104710120982855e-05
admub,4.182347986550781e-05,4.182347986551522e-05
lknemny,0.0007779727008393268,0.0007779727008393316
gndr,0.08858180607127979,0.08858180607127905
yrbrn2,0.006726422933455433,0.0067264229334553765
yrbrn3,0.0003165315558653307,0.0003165315558653369
dvrcdeva,0.044504439505903444,0.04450443950590242
iccohbt,5.22228190310444e-05,5.222281903104537e-05
maritalb,0.016253887019150242,0.016253887019150245
edctn,8.216098224593003e-05,8.216098224593357e-05
cmsrv,0.002028720238871827,0.0020287202388718376
hswrk,0.00043277941553513316,0.0004327794155351352
dngdk,6.117589376830059e-07,6.11758937683125e-07
dngna,0.004114458351986136,0.004114458351986054
icomdng,5.8390382741882995e-05,5.839038274188269e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0010046911429818647,0.0010046911429818575
isco08,0.0017366126863119255,0.001736612686311933
edulvlfb,0.006805733226081314,0.00680573322608134
imprich,7.622960209450159e-06,7.622960209450999e-06
ipeqopt,5.433565946362219e-05,5.4335659463620404e-05
ipshabt,5.806371690971012e-05,5.806371690971104e-05
ipmodst,0.0001039260909525846,0.00010392609095258575
inwmms,0.00015185547560361457,0.00015185547560362105
inwyys,7.337507605108174e-05,7.337507605108219e-05
