,0,1
cntry,0.00279503540489006,0.0027950354048900594
pspwght,0.0005365686265349952,0.0005365686265349859
anweight,8.173086643962391e-05,8.173086643962304e-05
nwspol,0.0006538722343175266,0.0006538722343175193
netusoft,0.025578345879083145,0.025578345879083284
ppltrst,1.1595464722762208e-05,1.1595464722763413e-05
pplhlp,0.0007620067630954856,0.0007620067630954772
polintr,0.00010419176581710476,0.00010419176581710527
psppsgva,0.0027608875034177,0.0027608875034177247
psppipla,2.8544585599863834e-05,2.8544585599864837e-05
trstplc,9.645015868960155e-06,9.645015868960207e-06
trstprl,4.700984021445746e-05,4.7009840214457325e-05
vote,8.72609222596392e-06,8.726092225963031e-06
contplt,4.6489889884471485e-05,4.6489889884471824e-05
wrkprty,0.02220974174884392,0.022209741748843926
bctprd,3.406869580228582e-05,3.406869580228566e-05
stfdem,0.031035508802424748,0.031035508802424755
stfedu,0.2707856566477902,0.2707856566477881
gincdif,4.742629079043473e-05,4.742629079043601e-05
euftf,2.6032106961637014e-05,2.6032106961636953e-05
imsmetn,7.542313310094604e-05,7.542313310094483e-05
imdfetn,2.676931446291911e-05,2.6769314462919884e-05
happy,0.00017681151129017957,0.00017681151129017735
hlthhmp,1.4220552067277553e-05,1.4220552067278286e-05
rlgblg,1.3033327064273634e-06,1.3033327064278416e-06
rlgblge,4.679366255674121e-05,4.679366255674017e-05
rlgatnd,1.660602514364735e-05,1.6606025143642576e-05
dscrgrp,0.00015187228841573763,0.00015187228841573894
dscrage,8.123002889980337e-06,8.12300288998027e-06
dscrgnd,1.750847589774954e-06,1.7508475897749453e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,3.334657099960209e-06,3.334657099960636e-06
elgcoal,0.00010721974257277854,0.00010721974257277777
elgwind,0.0001496592303699744,0.0001496592303699735
wrpwrct,0.00021492720698639315,0.00021492720698639418
wrenexp,6.528617724079523e-05,6.528617724079379e-05
wrtcfl,3.110383523371856e-05,3.110383523371807e-05
wrtratc,3.598810857028676e-05,3.598810857028687e-05
lkredcc,3.778617715392909e-05,3.778617715392922e-05
dfincac,0.00013742379409221604,0.00013742379409221396
sbbsntx,7.986446329855584e-05,7.986446329855538e-05
imsclbn,0.00011302574898809246,0.00011302574898809069
uentrjb,3.1094432327285974e-06,3.109443232728662e-06
lknemny,0.0005078806632255923,0.0005078806632255934
gndr,0.13504117159117904,0.13504117159117937
gndr3,0.0005031955113936398,0.0005031955113936433
rshipa2,0.06635294450645014,0.06635294450645049
iccohbt,0.0017153453511729263,0.0017153453511729209
maritalb,0.06412956471048648,0.06412956471048673
uempla,2.0786004800803557e-05,2.0786004800806793e-05
cmsrv,7.109323604888944e-07,7.109323604890639e-07
hswrk,2.113730165728584e-06,2.113730165728586e-06
dngdk,0.0,0.0
dngna,0.00024925519518786737,0.00024925519518785615
icomdng,8.429658240834665e-06,8.429658240834513e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0005373071997961329,0.0005373071997961345
wkhtot,0.0004146948154892111,0.00041469481548921143
uemplap,0.006032840286446983,0.006032840286446933
edulvlfb,0.00039670875350266587,0.00039670875350266495
imprich,4.4807056310047005e-05,4.4807056310046605e-05
ipeqopt,9.594892295215478e-05,9.59489229521543e-05
ipshabt,1.8478531091053986e-05,1.847853109105416e-05
impdiff,1.074429412797534e-05,1.0744294127976006e-05
ipudrst,7.21264577788938e-05,7.21264577788878e-05
inwmms,0.00010496957691229223,0.00010496957691229233
inwyys,0.00015614861826247534,0.00015614861826246767
