,0,1
cntry,1.7473912136618908e-05,1.747391213661889e-05
pspwght,0.0001001899506879785,0.00010018995068797822
anweight,4.40845936824768e-06,4.408459368248927e-06
nwspol,0.00011866506027999454,0.00011866506027999785
netustm,7.229704361700443e-05,7.229704361700472e-05
ppltrst,0.0007646400973956935,0.0007646400973956928
pplhlp,0.00015638688863294712,0.00015638688863294718
polintr,1.6873187283072394e-05,1.6873187283073885e-05
psppsgva,0.0005114063066298438,0.0005114063066298432
actrolga,6.810526547319163e-06,6.810526547321112e-06
psppipla,2.9762056409498705e-06,2.97620564094987e-06
trstplc,2.0681141506640925e-06,2.0681141506640777e-06
trstprl,5.9600808229092484e-05,5.960080822909281e-05
contplt,8.705490230079006e-06,8.705490230078571e-06
wrkprty,0.0007399838114707503,0.00073998381147075
bctprd,8.444212228197216e-06,8.444212228197238e-06
stfdem,6.978982759728547e-05,6.978982759728369e-05
gincdif,9.79394787536253e-07,9.793947875362254e-07
freehms,0.00012106848101148412,0.00012106848101148485
hmsacld,1.759879130100322e-05,1.7598791301003675e-05
imsmetn,8.694787011360672e-07,8.694787011360653e-07
imdfetn,6.397836853568113e-06,6.397836853570273e-06
imwbcnt,0.0024833601152648077,0.0024833601152648077
happy,8.71795318993624e-06,8.717953189935685e-06
sclact,1.2469514281120889e-05,1.2469514281120889e-05
rlgblg,0.0,0.0
rlgdnm,1.9815735195942347e-08,1.9815735195950288e-08
dscrgrp,0.0011113227032297395,0.001111322703229738
dscrntn,0.02298093809933912,0.022980938099339127
dscrage,5.2416607271685245e-06,5.241660727169351e-06
dscrgnd,3.1006253606212627e-07,3.1006253606259584e-07
ctzcntr,0.0,0.0
lnghom1,1.6488365339331883e-06,1.648836533932876e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgcoal,0.00011589584368629779,0.00011589584368629918
elgnuc,3.5731991063350823e-06,3.573199106335362e-06
elgbio,0.0015054030732502984,0.0015054030732502969
wrenexp,0.00015601452127066384,0.00015601452127065801
wrtcfl,1.002306942876431e-06,1.0023069428764291e-06
clmchng,0.00016304193335144534,0.0001630419333514431
lkredcc,8.169611893678802e-05,8.169611893678879e-05
gvsrdcc,0.00030523944757999445,0.000305239447579993
sbsrnen,0.0008162138216230348,0.000816213821623034
banhhap,0.0010550911054113946,0.0010550911054113946
slvpens,0.00028443882544916803,0.00028443882544916814
sbprvpv,4.141338594926144e-06,4.141338594926184e-06
sbbsntx,1.168332187860321e-05,1.1683321878602434e-05
imsclbn,0.0013893249457069972,0.001389324945706997
admub,2.33692857677068e-05,2.3369285767707325e-05
wrkprbf,8.629146703887631e-06,8.629146703887867e-06
lkuemp,0.0006315613931282744,0.0006315613931282717
vteurmmb,0.0020916370458067823,0.0020916370458067854
gndr3,0.0002440862357843835,0.00024408623578438623
yrbrn,0.002895191810359156,0.002895191810359153
yrbrn2,4.038693276493204e-07,4.0386932764955375e-07
yrbrn3,2.625725788921487e-06,2.6257257889214283e-06
icpart1,0.005332062894224277,0.005332062894224267
chldhm,1.8447141326490846e-06,1.844714132649446e-06
edctn,3.055431748437676e-06,3.0554317484376687e-06
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,3.117656356740251e-07,3.1176563567402497e-07
dngna,6.290717127294308e-06,6.2907171272942946e-06
icomdng,6.270510346575045e-07,6.270510346573987e-07
mnactic,1.827882666232352e-06,1.827882666232316e-06
icpdwrk,0.0,0.0
wkdcorga,0.03583929367713971,0.03583929367713971
edulvlfb,0.0029477760068911912,0.0029477760068911973
occf14b,0.0005367150519438472,0.0005367150519438495
imprich,1.9751447837982197e-05,1.975144783798266e-05
ipeqopt,2.069963620566431e-05,2.0699636205664288e-05
ipshabt,2.7237747222236612e-06,2.723774722223602e-06
impdiff,3.1639168454524387e-06,3.163916845452618e-06
ipfrule,2.793559714435399e-06,2.7935597144356303e-06
ipudrst,5.999632831722276e-06,5.999632831722051e-06
inwmms,3.2028404462504884e-06,3.202840446250248e-06
inwyys,6.365918629766666e-06,6.365918629767697e-06
