,0,1
cntry,7.554542156362973e-06,7.554542156351495e-06
pspwght,0.0016743453811680648,0.0016743453811679393
anweight,6.777583838240139e-06,6.777583838240023e-06
nwspol,2.7826940276167665e-05,2.7826940276167553e-05
netustm,0.00014885881982278507,0.00014885881982278074
ppltrst,0.00012148686435713325,0.0001214868643571325
pplhlp,4.985462092940276e-05,4.985462092939559e-05
polintr,1.267094952724043e-05,1.2670949527239542e-05
psppsgva,0.002896157706503052,0.0028961577065029797
psppipla,7.10777364321475e-06,7.107773643210934e-06
trstplc,1.1790888826925259e-06,1.1790888826925167e-06
vote,0.000131361518529827,0.0001313615185298283
wrkprty,5.9590679154514233e-05,5.959067915451237e-05
wrkorg,0.014565755828493098,0.014565755828493022
bctprd,0.0,0.0
gincdif,1.8990077634735544e-06,1.899007763473566e-06
imsmetn,9.945127108141656e-06,9.945127108141826e-06
imdfetn,1.6502630115505213e-06,1.6502630115507212e-06
impcntr,0.0003060260290289969,0.00030602602902897035
imwbcnt,0.005808003133831035,0.005808003133831048
happy,1.0000557783660601e-05,1.0000557783660745e-05
sclact,0.00010131118085621835,0.0001013111808562169
hlthhmp,1.9791197363953736e-05,1.979119736395403e-05
rlgblg,0.0,0.0
rlgblge,1.1702091252871713e-06,1.1702091252873375e-06
dscrgrp,8.562375325180937e-06,8.56237532517961e-06
dscrrlg,0.0001862146748532685,0.0001862146748532684
dscrage,0.0,0.0
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elghydr,0.00014542579366272777,0.00014542579366273126
elgwind,8.172944182258052e-05,8.172944182258002e-05
elgbio,0.0020777900677114674,0.002077790067711452
wrenexp,4.651399591341818e-05,4.651399591341972e-05
wrdpfos,3.4513391983522436e-05,3.451339198352433e-05
wrtcfl,7.666726123884855e-06,7.666726123886119e-06
clmchng,7.50249358000511e-05,7.502493580005267e-05
lkredcc,5.9197539837480784e-05,5.919753983747914e-05
slvpens,0.0001786328891943337,0.0001786328891943277
sbstrec,0.0006720257831258548,0.0006720257831258558
sbbsntx,5.745265086127201e-06,5.74526508612724e-06
imsclbn,0.0008146903598506271,0.000814690359850617
uentrjb,1.997344987679219e-06,1.9973449876786175e-06
wrkprbf,8.177990869131304e-05,8.177990869131142e-05
vteurmmb,0.8328293628482346,0.8328293628482345
gndr3,0.00014955687419876233,0.00014955687419876315
yrbrn2,1.3529813405887939e-05,1.3529813405836083e-05
icpart1,2.7678434336739343e-05,2.7678434336739946e-05
rshpsts,0.0010433927229599347,0.001043392722959922
dvrcdeva,0.0015858682116037179,0.0015858682116036804
cmsrv,0.0,0.0
hswrk,2.4775921794303874e-05,2.4775921794303048e-05
dngdk,3.0779499833473096e-07,3.0779499833480174e-07
dngna,5.5638590826294274e-06,5.5638590826295655e-06
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,3.217524659794599e-05,3.217524659794723e-05
icwhct,7.386535861119927e-05,7.386535861119692e-05
tporgwk,4.34631848877348e-05,4.346318488773548e-05
isco08,0.00047539408185833334,0.00047539408185833486
pdwrkp,0.008586120201403735,0.008586120201403702
uemplap,0.00088170459570578,0.0008817045957057797
edulvlfb,0.0014303831220406373,0.0014303831220406316
occf14b,1.545024732237602e-05,1.5450247322375842e-05
imprich,6.573614340454029e-05,6.573614340454428e-05
ipeqopt,6.208601796943207e-05,6.208601796943132e-05
ipshabt,1.8532589777610185e-06,1.8532589777617146e-06
impdiff,6.784802213991562e-06,6.784802213991538e-06
inwmms,2.0185701185837418e-05,2.01857011858376e-05
inwyys,2.4340199588414505e-05,2.434019958841532e-05
