,0,1
cntry,2.536663021975703e-05,2.5366630219768157e-05
pspwght,4.1157549903261916e-05,4.115754990324739e-05
anweight,3.446630789209993e-05,3.446630789210633e-05
nwspol,0.00016382773270760907,0.00016382773270764316
netustm,6.167890941671591e-05,6.167890941671599e-05
ppltrst,3.637503668128362e-05,3.63750366812783e-05
pplhlp,1.497749618267751e-05,1.4977496182676048e-05
psppsgva,0.0005021845512478978,0.0005021845512478966
psppipla,1.9560483737182925e-05,1.9560483737182647e-05
trstplc,3.169561545371811e-06,3.169561545379407e-06
trstprl,4.478050564671915e-05,4.4780505646746135e-05
wrkprty,0.0014063757075041654,0.0014063757075041656
bctprd,1.5721501847623502e-07,1.5721501847623475e-07
stfdem,0.00015305994025158467,0.00015305994025158765
stfhlth,0.0043005834540564124,0.004300583454056432
gincdif,4.235685762816851e-08,4.235685762422119e-08
mnrgtjb,1.626807154219555e-05,1.6268071542194505e-05
imsmetn,6.476138613497791e-06,6.476138613497755e-06
imdfetn,3.5754182071250155e-06,3.575418207125023e-06
happy,0.0001643053095747714,0.00016430530957477123
hlthhmp,2.2068572855082546e-05,2.206857285508255e-05
rlgblg,9.064361936943478e-07,9.06436193694267e-07
rlgdnm,3.116510103340262e-06,3.116510103340243e-06
rlgblge,6.901592453199077e-06,6.901592453244008e-06
dscrgrp,1.5203927106398748e-05,1.520392710640538e-05
dscrage,6.492988622881379e-07,6.492988622878228e-07
dscrgnd,1.4672938140160137e-06,1.467293814016203e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,3.994910143647101e-06,3.994910143647101e-06
elgwind,2.237434518733582e-06,2.237434518743024e-06
elgbio,0.003528901470723681,0.0035289014707236875
wrenexp,4.1136299357708985e-05,4.1136299357706884e-05
wrdpimp,0.000859621921032491,0.0008596219210325027
wrtcfl,3.7956366481496416e-06,3.7956366481539432e-06
clmchng,8.386707506139642e-05,8.386707506139413e-05
lkredcc,5.005079921551604e-05,5.005079921551653e-05
gvsrdcc,1.0654084411058477e-05,1.0654084411062372e-05
slvuemp,0.0005173869545483627,0.0005173869545484201
sbbsntx,1.3824299317518608e-05,1.3824299317518555e-05
imsclbn,0.0013343256921919896,0.0013343256921920003
uentrjb,2.262161328565964e-05,2.2621613285660716e-05
wrkprbf,0.00010003132525197415,0.0001000313252519755
lkuemp,0.0011385586372806796,0.0011385586372806718
gndr,0.012376727717166905,0.012376727717166918
gndr3,0.0002631772818896152,0.0002631772818896122
yrbrn2,0.0002763436113771775,0.0002763436113771792
dvrcdeva,0.0027287779034658485,0.0027287779034665138
marsts,0.01502288699045327,0.015022886990453168
chldhm,5.993182123145623e-07,5.993182123148954e-07
cmsrv,9.592307044442112e-07,9.592307044418482e-07
hswrk,1.0437383931268327e-06,1.0437383931299074e-06
dngdk,0.0,0.0
dngna,4.8873133855139715e-06,4.887313385513468e-06
icomdng,0.0,0.0
mnactic,2.385868058957953e-06,2.3858680589589182e-06
icpdwrk,0.0,0.0
jbspv,0.021477808260741103,0.02147780826074109
wkdcorga,9.763700992987451e-05,9.763700992987173e-05
icwhct,0.00029904258614382235,0.0002990425861438272
edulvlfb,0.0009930770984574683,0.0009930770984572334
occf14b,6.980751384629104e-05,6.980751384629291e-05
imprich,1.3380149720434612e-05,1.3380149720430563e-05
ipeqopt,2.1985862341550662e-05,2.1985862341559184e-05
impdiff,1.4326699723372066e-06,1.4326699723369122e-06
ipfrule,3.19948080274529e-05,3.1994808027458995e-05
ipgdtim,9.854852287263208e-06,9.854852287264966e-06
inwmms,1.650075465772417e-05,1.65007546577229e-05
inwyys,2.168613621155064e-05,2.1686136211550633e-05
