,0,1
cntry,4.1887929466198655e-05,4.188792949658235e-05
pspwght,0.003241932143824049,0.003241932143751501
anweight,5.968000283667287e-05,5.9680002847995925e-05
nwspol,0.00011786542896789458,0.00011786542895505485
netustm,0.00019661333506770164,0.0001966133350938088
ppltrst,0.00027633831937299815,0.00027633831937689873
pplhlp,0.00014534456298825258,0.00014534456298636385
polintr,0.00020791123987899364,0.00020791123992780012
psppsgva,0.3470121684038084,0.3470121684037517
psppipla,3.572834804838438e-05,3.5728348036965696e-05
trstplt,2.1253832866000303e-05,2.1253832865240077e-05
trstep,2.458566765858879e-06,2.4585667608266387e-06
trstprl,1.5693316968764475e-05,1.5693316968709293e-05
vote,0.00012280078184369163,0.000122800781841074
bctprd,7.704257773739357e-06,7.704257772995673e-06
stfhlth,0.003448799086970591,0.0034487990869981815
gincdif,0.00015274364562996065,0.0001527436456103526
mnrgtjb,6.722825130553969e-05,6.722825130788867e-05
hmsacld,9.851272045404783e-05,9.851272044284261e-05
imsmetn,1.7932700191944315e-05,1.7932700190971813e-05
imdfetn,5.92355769252366e-05,5.92355769258135e-05
happy,0.00010586044685342311,0.00010586044684878717
sclact,0.0003099054266714747,0.00030990542667560085
hlthhmp,6.231515903479838e-05,6.231515903460145e-05
rlgblg,1.2322039481706848e-05,1.2322039481625275e-05
rlgdnm,6.063383282726846e-05,6.063383282221576e-05
rlgblge,2.803735169454399e-06,2.803735169755337e-06
rlgatnd,2.5966622215962712e-05,2.596662221548971e-05
dscrgrp,0.000972187268487684,0.0009721872685291577
dscrrce,0.030600307231098876,0.030600307231099397
dscrage,7.000835429772682e-05,7.000835429861528e-05
dscrgnd,1.5413413015643787e-05,1.5413413014792732e-05
lnghom1,5.7933065841859407e-08,5.79330658468166e-08
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,6.386483320548783e-06,6.3864833205517075e-06
elgnuc,0.00011112244918527869,0.00011112244917876632
elgbio,0.0003133903481412571,0.00031339034814540447
wrdpfos,7.559241178329e-05,7.559241178158731e-05
wrtcfl,5.0215321463809124e-05,5.021532146234685e-05
wrtratc,1.737123779319339e-05,1.7371237788733006e-05
lkredcc,1.8242611856029173e-05,1.824261185627352e-05
ownrdcc,0.0001855766846120899,0.00018557668461722542
slvpens,0.00024363796973892628,0.00024363796974346058
sbstrec,0.00013436802532277916,0.0001343680253320574
imsclbn,0.0006010240241850039,0.0006010240241843264
uentrjb,0.0002016590718008484,0.0002016590718022171
wrkprbf,2.7666589324649995e-05,2.7666589324383163e-05
lkuemp,0.0006620766889706734,0.0006620766889709859
yrbrn,0.00023636542623072196,0.0002363654262142075
yrbrn2,0.00019920583585097303,0.00019920583581684414
rshipa2,0.0018847443951139698,0.0018847443951121245
maritalb,0.2930175579439299,0.29301755794387213
dsbld,5.6975844876867634e-05,5.697584487687253e-05
cmsrv,9.704934490120782e-06,9.704934497451944e-06
hswrk,2.5795066847707277e-06,2.579506684384927e-06
dngdk,0.0,0.0
dngna,3.33327947287752e-05,3.333279472957632e-05
icomdng,3.6245820144852764e-06,3.624582015661674e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0002939226779878376,0.0002939226779842569
icwhct,0.00016844279044151325,0.00016844279044227181
isco08,9.481793059495733e-05,9.48179305949216e-05
edulvlfb,5.327326621351904e-05,5.327326620836701e-05
occf14b,0.00023399748755659284,0.00023399748755620402
imprich,9.482448321901049e-05,9.482448322328015e-05
ipeqopt,8.422580831308201e-05,8.422580831221012e-05
impsafe,4.3165291176727204e-05,4.316529117568375e-05
impdiff,9.688336875924208e-05,9.688336875813129e-05
ipmodst,4.911914430377093e-05,4.911914430706845e-05
inwmms,5.9890840184792335e-05,5.9890840177396816e-05
inwyys,0.00012060183871543488,0.0001206018387035391
inwdde,1.0242687138606454e-05,1.0242687138504619e-05
