,0,1
cntry,0.000605088367071498,0.00060508836707151
pspwght,0.0008581178412818032,0.000858117841281804
anweight,0.00020071997325714678,0.00020071997325714686
netustm,5.105966477701762e-05,5.105966477700829e-05
ppltrst,0.00036164841938114754,0.00036164841938116603
pplfair,0.00031694428153637244,0.00031694428153637325
pplhlp,4.579823999380001e-05,4.579823999380004e-05
polintr,0.0029761287598199784,0.0029761287598199663
actrolga,3.397839098835543e-05,3.397839098835557e-05
trstlgl,2.4918131080861566e-05,2.4918131080861668e-05
trstprt,5.489190700343694e-05,5.489190700343622e-05
contplt,0.0025765638965387873,0.002576563896538787
wrkprty,0.0009151051347324016,0.0009151051347324023
sgnptit,0.0009467326368529148,0.0009467326368529159
pbldmn,7.642974190720454e-06,7.642974190720344e-06
stfedu,0.010481258958908763,0.010481258958908793
stfhlth,4.8850352205744185e-05,4.88503522057442e-05
mnrgtjb,5.814898121501381e-05,5.8148981215014296e-05
hmsacld,4.503617713894529e-06,4.503617713894584e-06
imsmetn,2.145025804426859e-05,2.145025804426921e-05
imwbcnt,3.0071292416840193e-05,3.007129241684091e-05
health,2.2017750777371417e-05,2.201775077737253e-05
hlthhmp,3.339216365546771e-05,3.3392163655467624e-05
atcherp,5.141619800351746e-06,5.14161980035025e-06
rlgdnm,4.122353926733992e-06,4.122353926733951e-06
pray,0.009694970354979935,0.009694970354979864
dscrrce,0.07873980729027986,0.07873980729028014
dscretn,7.538651723726153e-06,7.5386517237264856e-06
dscrage,1.8822427023329628e-06,1.8822427023330047e-06
dscrnap,0.0,0.0
lnghom1,0.0,0.0
facntr,0.0,0.0
mocntr,1.2654870953301363e-05,1.265487095330098e-05
cflsenr,2.4991436722132922e-05,2.499143672213315e-05
elghydr,5.1885994607196884e-05,5.188599460719821e-05
elgwind,0.000869591073567519,0.0008695910735675168
wrpwrct,3.0475618329064896e-05,3.047561832906455e-05
wrdpfos,1.628379945921242e-05,1.6283799459211606e-05
wrinspw,4.8326763126374786e-05,4.83267631263752e-05
wrtratc,0.00011297783943167617,0.00011297783943167649
ccgdbd,5.495718772932299e-05,5.495718772932227e-05
inctxff,0.0011676929811260982,0.001167692981126113
sbsrnen,0.0010687566720828175,0.0010687566720828023
uemplwk,0.0002305388776008678,0.0002305388776008681
gvslvol,2.6665162892746773e-05,2.6665162892746847e-05
sbstrec,1.671137699120064e-05,1.6711376991198763e-05
sbeqsoc,1.6672988304481206e-06,1.6672988304492293e-06
sblwcoa,0.00017884643526986597,0.0001788464352698682
eudcnbf,0.00037365543353409493,0.0003736554335340949
vteurmmb,0.0033782537327836635,0.0033782537327836544
gndr2,0.0009381720296342696,0.0009381720296342685
agea,8.098546736743409e-05,8.098546736750537e-05
rshpsts,0.0330725681254137,0.03307256812541376
lvgptnea,0.005325537542834125,0.00532553754283417
maritalb,1.699082567645521e-05,1.699082567645479e-05
rtrd,5.242009764793258e-06,5.2420097647924444e-06
cmsrv,5.38663059479244e-06,5.386630594793309e-06
dngref,0.0,0.0
dngdk,0.0004907135006961059,0.0004907135006961045
dngna,1.6417510008949323e-06,1.6417510008948577e-06
icomdng,0.0,0.0
mnactic,0.0,0.0
jbspv,0.025904570842791474,0.025904570842791484
edulvlfb,0.004034978363099,0.0040349783630989995
occf14b,0.00027864319426922936,0.0002786431942692324
ipeqopt,5.3668177859014824e-05,5.3668177859014865e-05
ipshabt,8.26145923573257e-05,8.261459235732941e-05
impdiff,3.474438205677874e-05,3.47443820567786e-05
ipfrule,5.045848680142414e-05,5.045848680142411e-05
inwmms,9.697413751324287e-05,9.697413751324398e-05
inwyys,8.535020636536439e-05,8.535020636536094e-05
