,0,1
cntry,0.0010549241411890694,0.0010549241411894484
pspwght,0.003685233781810804,0.0036852337818129386
anweight,5.894382047772186e-05,5.894382047755364e-05
nwspol,0.00011938522101096015,0.00011938522101108543
netusoft,0.0022659505105301816,0.0022659505105311856
netustm,0.00018862212450890636,0.00018862212450892975
ppltrst,0.04436463642467734,0.04436463642468242
pplfair,0.0007509381765196925,0.0007509381765203433
pplhlp,0.0007233873323135516,0.0007233873323135057
polintr,0.007723449594058618,0.007723449594059131
actrolga,3.495865592875448e-05,3.495865592870706e-05
trstlgl,9.079798267892226e-05,9.079798267892667e-05
trstprt,0.00013484839530630017,0.0001348483953063302
contplt,0.0033019909200828214,0.0033019909200828665
pbldmn,1.7256652287666364e-05,1.7256652287664118e-05
stfgov,0.00032699675185781827,0.00032699675185780716
stfedu,0.024276982067221273,0.024276982067221925
stfhlth,0.00020688064536050706,0.00020688064536031355
euftf,2.1562921789287447e-06,2.15629217878448e-06
imsmetn,0.00011313134860135415,0.00011313134860130224
imueclt,0.00574250466548585,0.005742504665485685
imwbcnt,0.00014396846154189296,0.00014396846154188673
inprdsc,0.0002267716708386883,0.0002267716708390923
health,5.294488409752246e-05,5.2944884097482906e-05
hlthhmp,0.00016806435887554264,0.00016806435887601056
rlgdnm,0.00019637789423757076,0.00019637789423756306
rlgdgr,6.978847174464521e-05,6.978847174471317e-05
pray,1.3247879033324875e-05,1.324787903332092e-05
dscretn,4.464718346137424e-05,4.464718346126306e-05
dscrage,3.5819507913950736e-05,3.581950791395136e-05
brncntr,0.0,0.0
lnghom1,1.7709144621311985e-07,1.7709144621314156e-07
facntr,0.0,0.0
mocntr,2.5869778082226534e-05,2.586977808240214e-05
cflsenr,1.206020551264298e-05,1.2060205512590876e-05
elghydr,0.00010874085378235768,0.00010874085378246262
elgwind,0.004031158246204726,0.004031158246208158
wrdpimp,6.485449132364473e-05,6.485449132360849e-05
wrntdis,0.0005927769704724894,0.0005927769704723931
wrinspw,4.2673267762469006e-05,4.267326776246588e-05
wrtratc,0.00012733024085637406,0.00012733024085636484
ccgdbd,0.00047359545128202585,0.000473595451282016
inctxff,0.0038257110614479672,0.0038257110614522078
uemplwk,0.00013013882932907334,0.00013013882932913663
gvslvol,0.0002909251450526603,0.00029092514505261454
sbeqsoc,5.820538216137837e-05,5.820538216134493e-05
sblwcoa,2.5328860341347157e-05,2.5328860341214664e-05
imsclbn,0.0005769497596022704,0.0005769497596021304
lbenent,0.0023252134015273184,0.002325213401527338
eudcnbf,0.0020409830301567553,0.002040983030156821
gndr2,0.003070841804030434,0.003070841804030352
agea,0.0008791956844998927,0.0008791956845034673
rshipa3,0.00451095457797019,0.004510954577969291
lvgptnea,0.02069918663307113,0.020699186633071336
maritalb,2.5523636258581414e-05,2.552363625858238e-05
rtrd,4.3739185722529535e-05,4.3739185722549355e-05
cmsrv,1.8976775157916614e-05,1.8976775157906246e-05
dngref,4.1631605783712894e-06,4.163160578370032e-06
dngdk,0.002471359740820697,0.002471359740820992
dngna,1.3034305487629843e-05,1.3034305487628321e-05
icomdng,5.609192027562037e-07,5.609192027574073e-07
mnactic,0.0,0.0
edulvlfb,0.007806645284596782,0.007806645284595513
occf14b,0.001044127754372144,0.0010441277543721862
imprich,0.00012523333369955934,0.00012523333369948212
ipeqopt,0.0002820672783759389,0.00028206727837604037
ipshabt,0.000131400870504993,0.00013140087050505107
impdiff,0.0001539447005316831,0.00015394470053168224
ipfrule,0.00021708580986028468,0.00021708580986034865
inwmms,0.00017165660605118128,0.00017165660605117017
inwyys,1.9537479877891685e-05,1.9537479877936917e-05
