,0,1
cntry,0.00015128238382260245,0.00015128238382260595
pspwght,8.50106877264265e-06,8.50106877264374e-06
anweight,1.9145336544037915e-05,1.9145336544037942e-05
nwspol,6.543172218296769e-05,6.543172218296655e-05
netustm,2.4127761824437692e-05,2.4127761824435165e-05
ppltrst,0.0005662060881171532,0.0005662060881171546
pplhlp,6.635852745176169e-06,6.635852745173506e-06
polintr,1.0234645118854391e-05,1.0234645118854367e-05
psppsgva,1.9118669637950405e-05,1.9118669637954274e-05
psppipla,1.4825146896807216e-06,1.482514689680602e-06
trstplc,3.4584036523863143e-06,3.4584036523867657e-06
trstprl,1.1659419635940632e-05,1.1659419635941015e-05
wrkprty,0.0018476050041835123,0.0018476050041835107
bctprd,0.0,0.0
stfhlth,0.006344496999599088,0.006344496999599096
gincdif,4.959437425995626e-07,4.95943742599557e-07
mnrgtjb,2.8815064967738408e-05,2.881506496773649e-05
hmsfmlsh,2.2977836867455237e-05,2.2977836867456007e-05
imdfetn,3.4952361898420684e-06,3.495236189842069e-06
happy,4.849785953719023e-05,4.849785953719e-05
sclact,0.0002739655393545005,0.0002739655393545006
hlthhmp,3.175119885292804e-06,3.17511988529283e-06
atchctr,8.342649419220984e-06,8.34264941922051e-06
rlgblg,0.0,0.0
rlgblge,1.4636695656480626e-07,1.4636695656480575e-07
dscrgrp,1.750264225310404e-06,1.7502642253104483e-06
dscrrlg,1.8265203694425865e-05,1.826520369442846e-05
dscrage,5.443231650973365e-06,5.443231650973325e-06
dscrgnd,0.0,0.0
ctzcntr,0.0,0.0
lnghom1,2.7181506130528956e-07,2.718150613053145e-07
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgcoal,6.16846820195391e-05,6.168468201953876e-05
elgnuc,0.00011520626762264833,0.00011520626762264827
elgbio,0.0014748695868794836,0.0014748695868794842
wrenexp,0.0005380291110031543,0.0005380291110031519
wrtcfl,2.343898732465478e-05,2.343898732465601e-05
lkredcc,2.4845143182411284e-05,2.4845143182411684e-05
gvsrdcc,8.409646586089369e-05,8.40964658608948e-05
slvpens,0.00024221445868363083,0.0002422144586836334
sbbsntx,7.115057769084265e-06,7.115057769085382e-06
imsclbn,0.0006407992024203361,0.0006407992024203379
uentrjb,8.038957120525133e-05,8.038957120525105e-05
lkuemp,0.0013480490665679253,0.0013480490665679244
gndr,0.02229295395860868,0.022292953958608662
gndr3,0.0005809936795796786,0.0005809936795796835
yrbrn,0.0015715399871777036,0.0015715399871777027
yrbrn2,0.00042304328150929505,0.0004230432815092965
yrbrn3,7.316604271916207e-06,7.316604271917493e-06
icpart1,0.00024585117254992156,0.00024585117254992525
dvrcdeva,0.009021932170789193,0.009021932170789186
chldhm,2.6160698744234326e-07,2.616069874423439e-07
edctn,1.4213228682484343e-06,1.4213228682484303e-06
cmsrv,8.798701775798429e-07,8.79870177579858e-07
hswrk,2.7568967705370047e-06,2.7568967705368153e-06
dngdk,0.0,0.0
dngna,4.816807159227745e-06,4.816807159227742e-06
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
jbspv,0.06238067462373279,0.0623806746237328
iorgact,0.07949015857356907,0.07949015857356907
edulvlfb,0.002689935066562059,0.002689935066562058
occf14b,0.00045097517690436214,0.0004509751769043583
imprich,2.181262289560742e-05,2.181262289560661e-05
ipeqopt,6.374071572118626e-06,6.374071572118876e-06
ipshabt,6.114291301081926e-05,6.114291301081943e-05
impdiff,1.281012205380441e-05,1.2810122053805103e-05
inwmms,5.765357507913918e-06,5.7653575079150565e-06
inwyys,9.807777785315345e-06,9.807777785313107e-06
inwdde,2.1817629144457637e-06,2.1817629144457654e-06
