,0,1
cntry,0.0020527598657651136,0.0020527598657650932
pspwght,0.0003356940705957381,0.00033569407059573877
anweight,5.980617234883476e-05,5.980617234883389e-05
nwspol,0.0011016875553548108,0.001101687555354813
netusoft,0.02295965944118994,0.022959659441189835
ppltrst,6.366609336098551e-05,6.366609336098417e-05
pplhlp,0.00201864686060218,0.0020186468606021883
polintr,0.00014278459439440882,0.00014278459439440638
psppsgva,0.0015558800926754985,0.0015558800926755052
psppipla,1.905650165223351e-05,1.9056501652233302e-05
trstplt,6.024398850163846e-05,6.0243988501638446e-05
trstprl,1.06729370162245e-05,1.0672937016224717e-05
vote,3.703585613248373e-05,3.7035856132484405e-05
contplt,5.025469036227509e-05,5.025469036227586e-05
wrkprty,0.015529760899208572,0.015529760899208524
pbldmn,6.461932372031445e-07,6.461932372029423e-07
bctprd,3.372599256507952e-05,3.372599256508017e-05
stfedu,0.24887326964217865,0.24887326964218132
gincdif,5.2317022009406315e-06,5.231702200939901e-06
mnrgtjb,4.295296116083454e-05,4.295296116083307e-05
imsmetn,6.552555934072507e-05,6.552555934072563e-05
imdfetn,1.3718429257688266e-05,1.371842925768929e-05
happy,0.00015318928753520482,0.000153189287535204
hlthhmp,8.697853074204807e-05,8.697853074204777e-05
rlgblg,3.2291911648850805e-06,3.2291911648848086e-06
rlgdnm,2.4621726533937277e-05,2.462172653393642e-05
rlgblge,6.922772529454944e-05,6.922772529454889e-05
rlgatnd,4.835782841352955e-06,4.835782841353907e-06
dscrgrp,0.00010288294599321472,0.00010288294599321315
dscrage,8.712200459839912e-06,8.712200459839662e-06
dscrgnd,4.846096752763477e-07,4.846096752763558e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,2.9856981356087475e-06,2.985698135608504e-06
elgwind,0.0001172068103069367,0.00011720681030693475
elgbio,2.9983906022762488e-05,2.9983906022762122e-05
wrpwrct,0.00023440636525130375,0.00023440636525130386
wrenexp,5.9473312051835474e-05,5.9473312051834186e-05
wrtcfl,3.550611715793422e-05,3.550611715793398e-05
wrtratc,2.1047160783224485e-06,2.104716078321497e-06
clmchng,2.2686100367630154e-05,2.2686100367629886e-05
clmthgt2,7.570182858827353e-05,7.570182858827351e-05
dfincac,0.00016704371420940618,0.00016704371420940493
sbprvpv,0.00012268462858913053,0.00012268462858913386
sbbsntx,5.9604443508754306e-05,5.960444350875314e-05
imsclbn,9.935811478875076e-05,9.935811478875018e-05
uentrjb,1.576235247788567e-05,1.5762352477885627e-05
bennent,0.00016747178545067914,0.00016747178545067296
lknemny,0.0007447768317064874,0.0007447768317064857
gndr,0.14188384297426687,0.14188384297427015
gndr3,0.000530447243132389,0.0005304472431323882
rshipa3,0.06514431957522522,0.06514431957522523
iccohbt,0.0025392501313883232,0.0025392501313883267
maritalb,0.07374418083800906,0.07374418083800967
uempla,4.8073513542350324e-06,4.807351354236057e-06
cmsrv,6.302375180756155e-06,6.302375180756091e-06
hswrk,1.3721667116525775e-06,1.3721667116524951e-06
dngdk,0.0,0.0
dngna,0.00021369889041892692,0.00021369889041892692
icomdng,1.4646452676201335e-05,1.4646452676202007e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.00044839548328096313,0.000448395483280966
wkhtot,0.00031215214280086526,0.0003121521428008721
edulvlfb,1.1869143883971999e-05,1.1869143883968004e-05
imprich,8.677295963694951e-06,8.677295963695348e-06
ipeqopt,0.000115980834922921,0.0001159808349229204
ipshabt,1.665842300431948e-05,1.6658423004319268e-05
impdiff,2.6354152279914334e-05,2.635415227991337e-05
ipudrst,7.279146114995443e-05,7.279146114995382e-05
inwmms,0.000229364840611148,0.00022936484061114883
inwyys,0.00010417363112374554,0.00010417363112374522
