,0,1
cntry,0.0013324573835462492,0.0013324573835462403
pspwght,0.0004783611645312137,0.00047836116453098943
anweight,0.0009454980888560539,0.0009454980888560509
nwspol,0.004937900768933279,0.004937900768933371
netusoft,0.09489063831239132,0.09489063831239049
netustm,0.00822331565749432,0.008223315657494464
ppltrst,2.493150344122188e-05,2.4931503441087693e-05
polintr,0.0005572083076808481,0.0005572083076808631
psppsgva,0.015952596792130565,0.015952596792130687
psppipla,0.0025524723885286087,0.002552472388528565
trstplc,0.00159786558428447,0.0015978655842844535
trstplt,0.0003209653199991841,0.00032096531999918155
trstprl,0.00021306114405244148,0.00021306114405243148
contplt,0.0006243892890686966,0.0006243892890687091
wrkprty,0.0027777759622159355,0.0027777759622157386
bctprd,0.00014927573304166086,0.00014927573304164646
stfdem,0.0001587205465583227,0.00015872054655832957
gincdif,0.0011572588540799363,0.0011572588540800055
hmsacld,0.0013870574822064695,0.0013870574822064713
imsmetn,0.0008970734712035635,0.0008970734712035736
imdfetn,0.0085044620641717,0.008504462064171601
happy,0.00038737903503321226,0.0003873790350332206
hlthhmp,0.00012911421928460433,0.0001291142192845772
rlgblg,0.0006793058956753115,0.0006793058956753289
rlgblge,0.01201430877218438,0.01201430877218458
dscrgrp,0.00011095982095349181,0.00011095982095349225
dscrage,0.00011589019629821616,0.00011589019629820464
dscrgnd,1.1735584270307756e-05,1.1735584270302379e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.00024330011161398366,0.00024330011161397948
elgnuc,0.001567973619391934,0.0015679736193919488
elgwind,0.0004577837340468902,0.00045778373404685473
elgbio,0.004482272346066119,0.0044822723460662215
wrenexp,0.0004098381654541848,0.00040983816545419173
wrtcfl,0.0006054193260578684,0.0006054193260578986
clmthgt2,0.00042856119183712506,0.00042856119183711406
dfincac,0.001983448098999067,0.001983448098999007
slvpens,0.00029594944010437167,0.00029594944010437227
sbeqsoc,0.0006181861206088524,0.0006181861206088449
uentrjb,0.0008453170584663812,0.000845317058466373
bnlwinc,0.0001765194290819913,0.0001765194290820083
lkuemp,0.004950492702220166,0.00495049270222015
gndr3,0.14190842638815712,0.14190842638815584
yrbrn2,0.0018586462320701394,0.0018586462320702045
yrbrn3,0.06941038815988518,0.0694103881598856
dvrcdeva,0.002151582523792717,0.002151582523792758
maritalb,0.004844612446059435,0.004844612446059386
cmsrv,0.02224658543171579,0.02224658543171552
hswrk,0.009184440374705297,0.009184440374705238
dngdk,0.0001893796970471587,0.0001893796970471602
dngna,0.09325650134572315,0.09325650134572168
icomdng,0.002551061138043187,0.002551061138043162
mnactic,0.0001519033116267843,0.00015190331162678443
icpdwrk,0.0,0.0
wkdcorga,0.029905020556563525,0.02990502055656391
uemplap,0.04174889413088763,0.04174889413088739
edulvlfb,0.0030088489236235116,0.003008848923623587
occf14b,0.0008928094829890046,0.0008928094829890133
imprich,0.004059440448272138,0.004059440448272224
ipeqopt,0.0013374028824066015,0.0013374028824066101
ipshabt,4.374373450361786e-05,4.374373450360229e-05
ipfrule,0.000527597043040484,0.0005275970430405256
inwmms,1.4549834568793966e-05,1.454983456870098e-05
inwyys,0.0024907047355127022,0.0024907047355127256
inwdde,0.00030330950645331216,0.00030330950645333086
