,0,1
cntry,3.7544077771340906e-05,3.754407777134262e-05
pspwght,0.0005761509547100377,0.0005761509547100382
anweight,2.8486615773944738e-05,2.8486615773943613e-05
nwspol,3.243736388618602e-05,3.243736388618504e-05
netusoft,1.479502505212999e-05,1.4795025052130544e-05
netustm,0.00017278114577591505,0.0001727811457758803
ppltrst,5.323335092758903e-06,5.323335092758945e-06
pplhlp,1.4650495247283154e-07,1.46504952472757e-07
polintr,2.801790411110691e-06,2.801790411110293e-06
psppsgva,0.002980975677163107,0.002980975677163114
psppipla,8.371051225765466e-06,8.371051225765415e-06
trstplc,2.1418157083993244e-05,2.1418157083993285e-05
trstprl,5.2844987962436596e-05,5.2844987962436224e-05
bctprd,1.2057350586176654e-07,1.2057350586176654e-07
stfdem,6.6261164383425e-07,6.626116438342495e-07
stfhlth,0.00021486465443095262,0.00021486465443095243
gincdif,0.0001293990047357626,0.0001293990047357615
mnrgtjb,3.90735428592231e-05,3.9073542859222855e-05
imsmetn,8.984033665358565e-06,8.984033665358572e-06
imdfetn,5.069648384165371e-07,5.069648384165398e-07
imwbcnt,0.00012051878369988041,0.00012051878369988015
happy,1.8062435980181354e-05,1.8062435980184454e-05
hlthhmp,2.772987673398026e-06,2.7729876733980276e-06
rlgblg,5.30517362843794e-07,5.30517362843795e-07
rlgblge,0.00011425860987408194,0.00011425860987408125
dscrgrp,6.513989219290827e-06,6.513989219287352e-06
dscrage,2.881116027897158e-06,2.8811160278971418e-06
dscrgnd,9.163749865764379e-07,9.163749865764338e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,5.618779155899469e-09,5.618779155899747e-09
elgbio,4.74963359376694e-05,4.749633593766962e-05
wrenexp,2.153871164847907e-05,2.1538711648481104e-05
wrtcfl,7.332465538098377e-06,7.332465538098806e-06
clmthgt2,5.8757623953412516e-06,5.875762395341584e-06
lkredcc,2.934873903524688e-06,2.9348739035246903e-06
ownrdcc,3.537186728432384e-05,3.5371867284323565e-05
gvcldcr,1.7020570771297457e-05,1.7020570771297636e-05
sbbsntx,1.0115036175979478e-05,1.0115036175979371e-05
uentrjb,9.777629762174827e-06,9.777629762175147e-06
admub,7.676264203770716e-06,7.676264203772132e-06
lknemny,2.778573364059338e-07,2.7785733640593773e-07
gndr,3.3070731887882213e-07,3.3070731887881875e-07
yrbrn2,3.4686220889144066e-06,3.4686220889143943e-06
dvrcdeva,2.784068555016017e-05,2.784068555015937e-05
maritalb,2.048757498934729e-05,2.0487574989347007e-05
dsbld,5.4854669690936354e-06,5.485466969093584e-06
rtrd,4.681328913233133e-07,4.681328913233115e-07
cmsrv,3.2628491421152e-07,3.262849142115276e-07
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,6.624611741751357e-06,6.624611741751352e-06
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
emprf14,0.08964412771008147,0.08964412771008147
edulvlmb,0.007741898958975407,0.007741898958975394
occm14b,0.0008230567851564499,0.000823056785156453
imprich,1.148200570910305e-05,1.1482005709103056e-05
ipeqopt,2.3463402611601517e-05,2.3463402611601503e-05
impsafe,3.158998734295109e-06,3.1589987342949026e-06
ipudrst,2.5535662596058348e-05,2.5535662596059033e-05
inwmms,1.6973743156392102e-05,1.6973743156392065e-05
inwyys,4.2203363274901794e-05,4.2203363274899266e-05
inwdde,1.572406438208208e-06,1.5724064382082092e-06
