,0,1
cntry,0.0006463444334838566,0.0006463444334839992
pspwght,0.00158984471113992,0.0015898447111385874
anweight,0.0018778282843510707,0.001877828284352858
nwspol,0.002041633345690297,0.0020416333456891238
netusoft,0.000670065784820031,0.0006700657848198977
netustm,0.0015210472011922553,0.0015210472011918063
ppltrst,0.0005225227610975224,0.0005225227610977934
pplhlp,0.00015224792717922437,0.00015224792717902919
polintr,0.0009653503365902701,0.0009653503365904105
psppsgva,0.007673342792864142,0.00767334279286113
psppipla,0.00012397745019558466,0.00012397745019552506
trstplc,0.00013950273556082975,0.00013950273556099252
trstprl,0.0004487920924758497,0.0004487920924757244
bctprd,5.4533076583023093e-05,5.453307658301806e-05
stfdem,0.0001902119771522455,0.00019021197715225722
stfhlth,5.269472761747632e-05,5.269472761749591e-05
gincdif,0.0003286542648722359,0.00032865426487300705
imsmetn,0.0004483700633937578,0.0004483700633938072
imdfetn,0.00020387593334019374,0.00020387593334040297
happy,0.00015672338725604984,0.00015672338725612246
hlthhmp,0.00011146728115117714,0.00011146728115117422
rlgblg,0.00015000522208995972,0.00015000522208990269
rlgblge,0.00046927807254271294,0.0004692780725427456
dscrgrp,0.0006494396919000468,0.000649439691899791
dscrage,0.0001600515345770199,0.00016005153457722868
dscrgnd,3.753989517751148e-05,3.7539895177511505e-05
lnghom1,5.390852515125703e-07,5.390852515124173e-07
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,3.9464510409321654e-05,3.946451040930469e-05
elgnuc,0.00020020502377202632,0.0002002050237720125
elgbio,0.00032951797654072343,0.0003295179765404819
wrenexp,0.0010260058584684194,0.001026005858468512
wrtcfl,0.00017903989032740274,0.00017903989032744383
lkredcc,0.0003664165766778689,0.00036641657667799333
ownrdcc,0.0011989938083619338,0.0011989938083619052
sbbsntx,0.00046574823263367766,0.0004657482326336608
imsclbn,0.0002427679309099528,0.00024276793090988752
uentrjb,5.690037380114301e-05,5.690037380082522e-05
basinc,0.0010199558896199278,0.0010199558896198434
lkuemp,0.0003064177044852537,0.00030641770448531266
gndr,0.00031013143329422326,0.00031013143329375635
gndr3,0.00034991439845084664,0.0003499143984508358
yrbrn2,0.0003168901590109765,0.00031689015901102327
iccohbt,8.228915213761591e-05,8.228915213762491e-05
maritalb,0.0013873125758541312,0.0013873125758540941
chldhm,0.00013860065718297328,0.00013860065718294146
cmsrv,0.00015307783508309642,0.0001530778350831675
hswrk,5.432026995935421e-05,5.4320269959458896e-05
dngdk,7.437947578064096e-06,7.43794757806251e-06
dngna,0.00047342557402707753,0.00047342557402661186
icomdng,5.7321171792788446e-05,5.732117179276735e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,8.775113004838736e-05,8.775113004848806e-05
iorgact,0.0003176546609356594,0.0003176546609362269
edulvlfb,0.03409880765045175,0.034098807650451514
occf14b,0.0016442921464840307,0.0016442921464840691
occm14b,0.01237976461852464,0.0123797646185249
imprich,0.0015510166917061157,0.0015510166917064782
ipeqopt,0.0005270606520423213,0.0005270606520424584
ipshabt,0.000690927504707705,0.000690927504707832
impdiff,0.0012514781645489646,0.0012514781645493168
ipfrule,8.738956408475174e-06,8.738956408507533e-06
inwmms,0.0009754847933003572,0.0009754847933001991
inwyys,0.0029698686840305077,0.0029698686840318946
