,0,1
cntry,0.002443347567602273,0.0024433475676023412
pspwght,0.001587933842059192,0.001587933842059028
anweight,0.002890072101875471,0.0028900721018755315
nwspol,0.0009234945713835126,0.0009234945713834983
netusoft,0.0030309274034850836,0.003030927403485028
netustm,0.002034271181125554,0.0020342711811255467
ppltrst,0.001464908752131309,0.0014649087521312525
pplhlp,0.00021908769807000466,0.00021908769807000474
psppsgva,0.01852688393501095,0.018526883935010615
psppipla,0.00030912599381653145,0.0003091259938165492
trstplc,0.00020596792041205954,0.00020596792041206673
trstprl,0.00031473196952359016,0.00031473196952364036
wrkprty,0.014880885769210346,0.014880885769210086
pbldmn,0.00023539711919603706,0.0002353971191960754
bctprd,0.00012351817439813326,0.00012351817439814627
gincdif,0.001588676977317937,0.0015886769773179365
hmsacld,0.001934988021725321,0.0019349880217253092
imsmetn,0.0014696522850328403,0.001469652285032845
imdfetn,0.0012611430890105365,0.0012611430890105057
happy,0.0017412219971818302,0.001741221997181708
sclact,0.00293316038648955,0.002933160386489434
hlthhmp,0.00016531940742930062,0.00016531940742930506
rlgblg,2.3137884094110202e-05,2.3137884094105703e-05
rlgblge,0.0005983626304227845,0.0005983626304228135
dscrgrp,2.8118970371984854e-05,2.8118970371994022e-05
dscrage,0.0002768708444914254,0.0002768708444914441
dscrgnd,1.474502769396648e-05,1.474502769396758e-05
lnghom1,0.0,0.0
blgetmg,7.548914569847089e-06,7.5489145698470334e-06
mocntr,0.0,0.0
gvrfgap,0.0002197722907483569,0.000219772290748393
elgngas,0.002159887465056456,0.0021598874650564943
elgnuc,0.002114144451358551,0.0021141444513585366
elgbio,0.004567544546784002,0.004567544546784168
wrenexp,0.0012530590867480338,0.0012530590867480022
wrtcfl,0.0001292859315347407,0.00012928593153475234
clmchng,0.00075791897184146,0.0007579189718413579
ccnthum,0.0006445890548955919,0.0006445890548955989
lkredcc,0.001868475087188674,0.0018684750871886702
gvsrdcc,0.0009465765418484214,0.0009465765418484301
slvpens,0.003470627423480946,0.0034706274234809795
sbbsntx,0.0006456476525756143,0.0006456476525756532
imsclbn,0.003814506482509292,0.0038145064825091677
uentrjb,0.0002262325404013685,0.00022623254040128816
basinc,0.0014549253290217824,0.001454925329021375
lknemny,0.014948087488321316,0.014948087488321628
gndr,0.009046041252857474,0.009046041252856728
gndr3,0.0002802427052592069,0.0002802427052591607
yrbrn2,0.00036221786119408275,0.0003622178611940804
rshipa3,9.093874792494439e-05,9.093874792492274e-05
dvrcdeva,0.00067461626081716,0.0006746162608171491
maritalb,0.0007780100912348193,0.0007780100912348073
eisced,0.00011582427332357686,0.00011582427332357511
edctn,0.0005056151549234298,0.000505615154923461
cmsrv,4.45981072984569e-05,4.459810729846385e-05
hswrk,2.9654895187108988e-05,2.965489518710836e-05
dngdk,6.44735318026644e-05,6.447353180266101e-05
dngna,0.0011028562872723237,0.0011028562872723027
icomdng,3.420645907249031e-05,3.4206459072489764e-05
mnactic,5.914307803363705e-06,5.914307803363115e-06
icpdwrk,0.0,0.0
wkdcorga,0.00019038496592092832,0.0001903849659209341
iorgact,3.225895030955756e-05,3.2258950309560294e-05
edulvlfb,0.0014739437388305754,0.0014739437388306246
occf14b,0.0004444101227821785,0.0004444101227821325
occm14b,0.0007304185892172113,0.0007304185892172142
imprich,8.839043599789283e-05,8.839043599788599e-05
ipeqopt,0.0005152550849072534,0.0005152550849071914
ipshabt,0.0006001475341094178,0.0006001475341094141
ipfrule,0.0008719785946366776,0.0008719785946366481
ipudrst,0.0003258968144444664,0.00032589681444447714
inwmms,0.001410542899765587,0.0014105428997655482
inwyys,1.103722104450198e-05,1.1037221044530564e-05
