,0,1
cntry,0.0005359333151706396,0.000535933315170625
pspwght,0.0004656630269013653,0.0004656630269013775
anweight,0.00015690089020786263,0.00015690089020786716
nwspol,0.00011639671712950678,0.00011639671712950677
netustm,0.0013685308565413896,0.0013685308565414172
ppltrst,0.00048253034841004057,0.00048253034841007835
pplhlp,0.0002664260934512046,0.0002664260934512886
polintr,0.0005097601917859845,0.0005097601917859693
psppsgva,0.0053887221212511995,0.005388722121251119
psppipla,1.347927921476908e-05,1.3479279214736917e-05
trstplc,0.00020403219563471038,0.00020403219563471257
trstprl,2.9814769300280142e-05,2.9814769300279092e-05
contplt,9.821810234090009e-05,9.82181023409088e-05
wrkprty,0.00047030611925765267,0.00047030611925753113
pbldmn,0.0016595683937494813,0.0016595683937494683
bctprd,3.4099583685265103e-06,3.409958368527295e-06
stfdem,0.0001629285714218493,0.000162928571421847
gincdif,0.0005680388097470407,0.0005680388097470506
hmsfmlsh,0.00012390960699931695,0.00012390960699935097
hmsacld,4.892344147809619e-05,4.8923441478110206e-05
imsmetn,2.0536420083777627e-05,2.0536420083775363e-05
imdfetn,0.0003855841580278874,0.0003855841580278776
imwbcnt,0.00017752284174155965,0.0001775228417415489
happy,0.0003421851039301257,0.0003421851039301293
sclact,7.793654215964676e-05,7.793654215955367e-05
atchctr,0.00041366887267945746,0.0004136688726794941
atcherp,0.00010672796581547588,0.0001067279658154732
dscrgrp,1.3909576983957566e-06,1.3909576983946068e-06
dscrage,7.638564890606489e-05,7.638564890603204e-05
dscrgnd,1.1484701011081593e-06,1.1484701011081402e-06
ctzcntr,9.497708276675127e-06,9.497708276676056e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.0632488381930865e-05,1.0632488381931087e-05
elgngas,2.9351025793626604e-05,2.9351025793660208e-05
elgnuc,7.039414598571805e-05,7.039414598570924e-05
elgbio,0.0003328830841828848,0.0003328830841828827
wrdpfos,0.0011322462612923078,0.0011322462612923115
wrtcfl,0.00010292027717428097,0.00010292027717428047
wrtratc,4.9068187624971934e-05,4.906818762497131e-05
lkredcc,0.00013662829458641426,0.00013662829458641022
gvsrdcc,0.00012124675869205917,0.0001212467586920718
banhhap,8.848767142882332e-05,8.84876714288245e-05
slvpens,7.569502075293122e-05,7.569502075292896e-05
sbeqsoc,0.00017855798965056555,0.000178557989650573
sbbsntx,3.744979024601446e-05,3.744979024611006e-05
imsclbn,8.223987733432186e-05,8.223987733423273e-05
admub,0.0001480287194312712,0.00014802871943125906
wrkprbf,6.857807712665634e-07,6.857807712590143e-07
lkuemp,4.5080689694787496e-05,4.5080689694791365e-05
gndr,8.043342929382231e-05,8.043342929381929e-05
gndr3,0.007943951499937018,0.007943951499937084
yrbrn3,0.005626263776593667,0.005626263776593712
icpart1,0.016173444496962525,0.01617344449696249
lvgptnea,0.0002209468089451103,0.00022094680894513039
dvrcdeva,0.00518917662321273,0.005189176623212775
chldhm,6.610726602059937e-05,6.610726602060089e-05
cmsrv,0.00017293266763392865,0.00017293266763392912
hswrk,0.0003135844555283286,0.00031358445552831754
dngdk,0.0,0.0
dngna,0.008212676191585392,0.008212676191585376
icomdng,3.1508154473326346e-05,3.1508154473328596e-05
mnactic,3.2144751220007704e-05,3.2144751220007664e-05
icpdwrk,0.0,0.0
iorgact,0.04528253125455508,0.04528253125455473
edulvlfb,7.198585622128667e-05,7.198585622128297e-05
occf14b,0.0003037070039338766,0.0003037070039338585
occm14b,0.0010814169171566577,0.0010814169171566611
imprich,0.0002410960709552068,0.00024109607095521382
ipeqopt,0.00019481723441642628,0.00019481723441643008
ipshabt,9.911160705461871e-06,9.911160705455156e-06
impdiff,0.00012548834655763737,0.00012548834655764084
ipfrule,7.48160368693611e-05,7.481603686936165e-05
ipudrst,0.0001558754779418285,0.00015587547794181913
inwmms,0.0003888485328564533,0.00038884853285655425
inwyys,2.7860557589063193e-05,2.786055758906256e-05
