,0,1
cntry,0.00030124470938703527,0.0003012447093866809
pspwght,0.0319732314742135,0.031973231474209544
anweight,0.0008234282195063885,0.0008234282195057954
nwspol,0.001242987099806614,0.0012429870998052395
netusoft,0.0014370771204386165,0.0014370771204391182
netustm,0.00021723273027525795,0.00021723273028037698
ppltrst,0.0007785403041582727,0.0007785403041599578
pplhlp,6.253753430996959e-05,6.253753431038774e-05
polintr,0.0012861490109855871,0.0012861490109877765
psppsgva,0.7096328199442948,0.7096328199442955
psppipla,0.00016848695796825136,0.00016848695796648557
trstplc,0.00019074568937595574,0.00019074568937650153
trstprl,2.248395535067604e-05,2.2483955350339353e-05
vote,0.0004419504447610355,0.00044195044475932847
bctprd,6.396255861453113e-05,6.39625586145074e-05
stfdem,0.00012738624353582137,0.00012738624353511889
stfhlth,0.0033644361921905917,0.0033644361921881714
gincdif,0.0014941476723968818,0.0014941476723981544
hmsacld,0.0008144395987095084,0.0008144395987071048
imsmetn,0.0005715711520583079,0.000571571152058059
imdfetn,0.00025457394890461554,0.0002545739489051555
impcntr,0.0010661094779374405,0.0010661094779349039
happy,0.0005259922059525536,0.000525992205953062
sclact,0.00140038538942923,0.0014003853894391381
rlgblg,8.649635969519985e-05,8.649635969512028e-05
dscrgrp,5.165930751494915e-05,5.165930751514421e-05
dscrrce,0.0024040668525890105,0.0024040668525888557
dscrage,0.00010081155969131015,0.00010081155969115241
dscrgnd,2.1180710736993114e-05,2.1180710736959636e-05
ctzcntr,1.5889400733931172e-06,1.5889400733896984e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.273957739135156e-05,1.273957739121456e-05
elgcoal,0.002552075131161908,0.0025520751311614905
elgngas,7.112151759994324e-05,7.112151760130342e-05
elgnuc,0.0005954783619987574,0.0005954783619983667
elgwind,0.00023588248943005747,0.00023588248943103983
elgbio,0.0007092787375212224,0.0007092787375212794
wrdpfos,0.0004066985909621911,0.00040669859096513185
wrtcfl,0.0003976675945586255,0.0003976675945583392
wrtratc,0.0011181572570568552,0.0011181572570532277
lkredcc,0.0002801050467955769,0.0002801050467950753
dfincac,0.0016935851080229702,0.0016935851080235056
slvpens,0.000537017891084523,0.0005370178910776496
sbprvpv,0.0003287489800370269,0.00032874898003772525
sbbsntx,0.0003570301262340877,0.00035703012623496756
imsclbn,0.001245772859721548,0.0012457728597207983
uentrjb,0.000645165076122729,0.0006451650761225852
lknemny,0.006679924853214484,0.006679924853215277
gndr3,0.0006758863023532972,0.0006758863023541264
yrbrn2,0.00033332844343679805,0.00033332844343411964
icpart1,0.0003087831439368122,0.00030878314393720295
rshpsts,0.001588089880435778,0.0015880898804368155
iccohbt,0.00011975448988511803,0.0001197544898851287
edctn,0.00013828814039080947,0.00013828814039065494
dsbld,1.760149233868427e-05,1.760149233867348e-05
cmsrv,3.050423709101663e-05,3.0504237091066558e-05
hswrk,1.4936003756867453e-05,1.4936003756861734e-05
dngdk,2.689736992312933e-06,2.6897369923235676e-06
dngna,0.0010108571975577813,0.0010108571975578013
icomdng,6.308961751540464e-06,6.308961751533397e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,8.042404932639825e-05,8.042404932641265e-05
iorgact,0.00017692981097354444,0.00017692981097361803
isco08,0.0008596075374073542,0.000859607537408951
pdwrkp,0.0002865283164666716,0.000286528316466037
edulvlfb,0.00020984871670354875,0.00020984871670379527
occf14b,0.0003997725833222647,0.0003997725833224829
imprich,0.0006637148064570193,0.0006637148064559046
ipeqopt,0.000365129977017007,0.00036512997701694836
ipshabt,0.00036708366095196594,0.00036708366094931
ipudrst,4.672264674232795e-05,4.6722646742236044e-05
inwmms,5.051241712846303e-05,5.0512417128501994e-05
inwyys,0.010633011728758385,0.01063301172875341
inwdde,5.8956128057036616e-05,5.895612805707269e-05
