,0,1
cntry,0.0009472460795025098,0.0009472460795091097
pspwght,0.0007979541720942889,0.0007979541720932755
anweight,0.0030524650368780296,0.003052465036876252
nwspol,0.007764399090804996,0.007764399090806831
netustm,0.002514934178193283,0.0025149341781947757
ppltrst,0.004209088611024223,0.004209088611024501
pplhlp,7.8677012405205e-05,7.867701240702901e-05
polintr,0.006707578612848042,0.006707578612850698
psppsgva,0.09658635045462152,0.09658635045462692
psppipla,0.0019248652248504176,0.00192486522485171
trstplc,0.00141861915060399,0.00141861915060375
trstprl,0.00021450016035453147,0.00021450016035470167
wrkprty,0.011357240732927132,0.011357240732929185
bctprd,0.000176985621980006,0.0001769856219800716
stfdem,0.00016574990847096914,0.00016574990847059734
stfhlth,0.01322512179067108,0.0132251217906773
gincdif,0.007978008702290628,0.007978008702292354
hmsacld,0.0034038873386280266,0.003403887338628093
imdfetn,0.0006476681327479153,0.000647668132748441
happy,0.0018288290267328023,0.0018288290267337286
rlgblg,0.0004892141653132279,0.0004892141653133628
rlgblge,0.0002131839995133196,0.0002131839995138207
rlgatnd,0.0004350983526730326,0.00043509835267256436
dscrgrp,0.0001402104442521736,0.00014021044425215998
dscrrce,0.0003452116621185573,0.0003452116621163542
dscrage,0.00021714335283062704,0.0002171433528305232
dscrgnd,6.087134821720154e-05,6.087134821733721e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.00010956051849907384,0.00010956051849919405
elgcoal,0.0007527714101209788,0.0007527714101252905
elgnuc,0.0024280828425523957,0.002428082842551975
elgbio,0.002658664294066726,0.0026586642940668896
wrenexp,0.0017843267479228165,0.0017843267479229798
wrtcfl,0.0006938637823358493,0.0006938637823360042
wrtratc,0.00017397838184235825,0.00017397838184261886
lkredcc,0.0004542875701112022,0.0004542875701115908
gvsrdcc,0.0008553215751935827,0.0008553215751932413
slvuemp,0.001905762189534575,0.0019057621895353248
gvslvue,0.0012108878780041174,0.001210887878005223
sbbsntx,0.0014547990356076435,0.001454799035606486
imsclbn,0.002603948836340727,0.002603948836343
uentrjb,0.0035204086774466054,0.003520408677444697
admub,0.0012445991420610447,0.0012445991420629353
lknemny,0.0031506563942055857,0.0031506563942061616
gndr,0.009429005687131266,0.009429005687126965
gndr3,0.003114158553635045,0.0031141585536377052
rshpsts,0.002223031172361334,0.002223031172364765
lvgptnea,0.01646653087428141,0.016466530874282743
iccohbt,0.0024964465109170424,0.0024964465109169587
chldhm,0.00019498509421808928,0.00019498509421811693
dsbld,0.002504672359409854,0.002504672359409553
cmsrv,0.00010718063797125257,0.00010718063797097562
hswrk,3.977346724928953e-05,3.9773467249288794e-05
dngdk,3.190962903393616e-06,3.1909629033888023e-06
dngna,0.0005614117333095076,0.0005614117333097009
icomdng,9.9114918637482e-05,9.911491863721247e-05
mnactic,4.400093360009605e-06,4.400093360009682e-06
icpdwrk,0.0,0.0
wkdcorga,0.012111512337371321,0.01211151233737051
edulvlfb,0.0020839992013549575,0.002083999201354517
occf14b,0.0022984934785853887,0.0022984934785859204
occm14b,0.0026610033701566214,0.002661003370157289
imprich,0.0005905164318035495,0.0005905164318038799
ipeqopt,0.00456754949890601,0.004567549498906336
ipshabt,0.0011579092602957105,0.001157909260295608
impdiff,0.0007406637877149008,0.0007406637877135971
ipudrst,0.0014388108407163665,0.0014388108407165558
inwmms,0.003959077341523168,0.003959077341523781
inwyys,0.0006518205388407305,0.000651820538835706
