,0,1
cntry,0.012387980938443958,0.01238798093844416
pspwght,0.0006363710019223342,0.0006363710019223225
anweight,0.006944614695904725,0.006944614695904623
nwspol,0.005817359311233015,0.005817359311233185
netustm,0.0012579117592207514,0.0012579117592207748
ppltrst,0.0015197252226322468,0.0015197252226322676
pplhlp,0.0005550440365565456,0.0005550440365565411
polintr,0.0003723151085184205,0.00037231510851842224
psppsgva,0.002409411972095087,0.0024094119720951056
actrolga,0.004564216615045062,0.00456421661504506
psppipla,5.5438223858897484e-05,5.543822385890605e-05
trstplc,0.0007781795893088821,0.0007781795893088296
trstplt,2.384336999455968e-05,2.3843369994548544e-05
trstprl,0.0007835493111341463,0.0007835493111341521
wrkprty,0.001456224800846439,0.0014562248008463598
pbldmn,0.013103030387295378,0.0131030303872953
bctprd,0.00011928006315902582,0.00011928006315902738
stfdem,0.00014682364399616125,0.00014682364399615745
gincdif,0.002594470986116759,0.0025944709861168056
imsmetn,5.7819898028641585e-05,5.7819898028632966e-05
imdfetn,0.00023276755463713927,0.00023276755463713365
imueclt,0.0008853378364764068,0.0008853378364763991
happy,0.00016752134569192215,0.00016752134569191616
sclmeet,0.00018995038444427907,0.00018995038444428344
sclact,0.00013920556055682022,0.0001392055605568187
hlthhmp,0.007212862910321799,0.0072128629103218374
rlgblg,4.606534959841142e-05,4.60653495984068e-05
rlgblge,0.00034969026644298404,0.0003496902664429868
pray,0.0001118923400165681,0.0001118923400165556
dscrgrp,0.000617449648415056,0.0006174496484150618
dscrage,2.1688159446434974e-05,2.1688159446434513e-05
dscrgnd,1.6377280334193958e-05,1.6377280334193934e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0008653150595143674,0.000865315059514365
elgnuc,0.0006464529365623983,0.0006464529365623906
elgwind,0.0002169368453180306,0.00021693684531801525
elgbio,0.001105041462451594,0.0011050414624515649
wrpwrct,0.00016237274562653505,0.0001623727456265367
wrtcfl,0.00010503876050170826,0.00010503876050172012
ccnthum,0.00012981468125989766,0.00012981468125989142
lkredcc,1.889607945056966e-06,1.8896079450622531e-06
slvpens,0.0002214117609576872,0.0002214117609576901
sblazy,0.000586582438189467,0.0005865824381894626
lkuemp,0.00021413670219401612,0.00021413670219400208
gndr3,0.000809763518600036,0.0008097635186000254
yrbrn2,0.047926333034356845,0.04792633303435759
rshipa3,0.020753913534512874,0.020753913534513155
maritalb,0.12321249920366811,0.12321249920366582
dsbld,0.0071004260326583074,0.007100426032658343
cmsrv,0.00027353841530314564,0.0002735384153031561
hswrk,6.285772075013339e-05,6.285772075014319e-05
dngdk,0.0,0.0
dngna,0.0020854479217744084,0.002085447921774387
icomdng,1.1824032145094477e-05,1.1824032145098485e-05
mnactic,2.2634056286587018e-05,2.2634056286587096e-05
icpdwrk,0.0,0.0
wkdcorga,0.0037815273975401417,0.003781527397540131
iorgact,0.005256386022312389,0.005256386022312371
uemplap,0.22262281330944916,0.22262281330944828
edulvlfb,0.0013306532318088406,0.0013306532318088636
occf14b,0.00024905752553066777,0.0002490575255306748
occm14b,0.00728104945752059,0.007281049457520534
imprich,0.0001513063829903694,0.00015130638299035488
ipeqopt,0.001101114554672904,0.0011011145546729064
impdiff,0.00025808647015615824,0.00025808647015615113
inwmms,0.00033479329208484357,0.00033479329208484476
inwyys,0.0003934998831362173,0.000393499883136193
