,0,1
cntry,7.539616843456088e-06,7.5396168434559815e-06
pspwght,0.0003153433254184249,0.00031534332541845606
anweight,7.988918419780799e-05,7.988918419780719e-05
nwspol,0.00015184681680491726,0.00015184681680491973
netustm,0.0009474715875154814,0.0009474715875154754
ppltrst,0.0002085373463826209,0.00020853734638262228
pplhlp,0.0005108095670970236,0.0005108095670970233
polintr,3.544066928701129e-05,3.544066928700985e-05
psppsgva,0.0035523926217417654,0.0035523926217417476
psppipla,9.84541982813719e-06,9.84541982813806e-06
trstplc,0.000275944466407683,0.0002759444664076858
trstprl,0.00022325763516865615,0.00022325763516865496
contplt,0.00011171197119384717,0.00011171197119384755
wrkprty,0.00017681286651287443,0.0001768128665128762
pbldmn,0.0008413208875797333,0.000841320887579737
bctprd,2.2282417738611238e-05,2.228241773861143e-05
stfdem,1.3125381883210693e-05,1.3125381883210391e-05
gincdif,4.285411841830497e-05,4.28541184183052e-05
freehms,1.579057845851493e-05,1.5790578458515052e-05
hmsacld,3.317657069274233e-05,3.317657069274051e-05
imsmetn,1.8226580196715783e-05,1.822658019671599e-05
imdfetn,1.0266317197115719e-05,1.0266317197115787e-05
imwbcnt,1.7705612693695118e-06,1.770561269370771e-06
happy,8.472944301834299e-06,8.472944301833943e-06
sclact,2.646987993755287e-05,2.6469879937555028e-05
atchctr,1.1211095741499679e-05,1.1211095741498822e-05
atcherp,5.453726405048702e-06,5.453726405048701e-06
pray,0.00010000441916831911,0.0001000044191683157
dscrgrp,0.00012708470685167327,0.0001270847068516731
dscrage,2.666511026970118e-06,2.666511026970313e-06
dscrgnd,3.313708135703544e-06,3.3137081357033555e-06
ctzcntr,0.0,0.0
lnghom1,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.1804957893523012e-06,1.1804957893523494e-06
elgngas,9.934516894999006e-05,9.934516894998938e-05
elgnuc,1.7467858288093985e-05,1.7467858288090804e-05
elgbio,8.006348178760262e-05,8.006348178760065e-05
wrdpfos,0.00021368767727111905,0.00021368767727111829
wrtcfl,4.6080118181152106e-05,4.6080118181150785e-05
wrtratc,0.00014435193625288105,0.00014435193625287989
lkredcc,5.786022811962512e-07,5.786022811962425e-07
gvsrdcc,5.596025179433487e-06,5.59602517943322e-06
banhhap,0.00010641111887125958,0.00010641111887126096
slvpens,3.825365664991227e-05,3.825365664991237e-05
sbeqsoc,8.727663027855226e-05,8.727663027854985e-05
sbbsntx,7.567830819040203e-05,7.567830819040123e-05
imsclbn,0.00018133915103289613,0.00018133915103289608
admub,3.370726667236092e-07,3.370726667183455e-07
basinc,3.797146630570339e-05,3.7971466305703705e-05
lkuemp,1.1507403117191834e-05,1.1507403117191808e-05
hhmmb,1.909114923246602e-05,1.9091149232465995e-05
gndr3,0.0018846616174655918,0.0018846616174655949
yrbrn2,3.2364414098418225e-05,3.236441409842021e-05
yrbrn3,0.00035811226829027173,0.0003581122682902709
icpart1,0.00775885332401807,0.007758853324017984
lvgptnea,0.0006868508490199437,0.0006868508490199428
dvrcdeva,0.002157626794978913,0.0021576267949789244
chldhm,0.00011329974005246018,0.00011329974005245985
cmsrv,2.2299570879672927e-06,2.2299570879666917e-06
hswrk,2.039880645168909e-05,2.0398806451691126e-05
dngdk,0.0,0.0
dngna,0.0017123561935199069,0.0017123561935199116
icomdng,9.669307204308705e-05,9.6693072043089e-05
mnactic,1.1115298725509996e-05,1.1115298725510324e-05
icpdwrk,0.0,0.0
wkdcorga,0.0633781574757731,0.06337815747577333
edulvlfb,4.613130712799876e-05,4.6131307127998126e-05
occf14b,2.852111950694681e-05,2.852111950694749e-05
occm14b,6.40358288921299e-05,6.403582889212988e-05
imprich,1.3501656954098179e-05,1.3501656954097884e-05
ipeqopt,0.00010907486539699116,0.00010907486539699097
ipshabt,2.683206116526683e-05,2.6832061165267133e-05
impdiff,0.00018337641107775106,0.0001833764110777511
ipfrule,1.6098346906915667e-05,1.609834690691463e-05
inwmms,0.00028961877651749544,0.00028961877651749495
inwyys,0.00013281189369572543,0.00013281189369573036
