,0,1
cntry,0.0001916962274105848,0.00019169622741060574
pspwght,0.0003452981504316686,0.00034529815043175615
anweight,0.0008434400672869091,0.000843440067286953
nwspol,0.0008662474651250677,0.0008662474651250687
netusoft,0.00414523904884512,0.004145239048845093
netustm,0.0016589700116725762,0.0016589700116726026
ppltrst,0.0001927037352133823,0.00019270373521336113
pplhlp,0.00013641856805270106,0.0001364185680527028
polintr,0.0007628595864415586,0.0007628595864415265
psppsgva,0.00296819171542954,0.0029681917154295236
psppipla,0.00012043925504614202,0.00012043925504615903
trstplc,0.0006237630772314788,0.0006237630772314756
trstprl,0.0003378030084295221,0.0003378030084295276
contplt,0.0006311096393241314,0.0006311096393241367
wrkprty,0.007524599059225446,0.007524599059225481
bctprd,8.064580440977095e-06,8.064580440977186e-06
stfdem,6.05298384663595e-07,6.052983846618382e-07
gincdif,0.00040089175713551835,0.00040089175713545937
freehms,0.00013315838154496514,0.00013315838154496414
hmsacld,0.0004010464561154497,0.00040104645611544994
imsmetn,0.00016444944338658244,0.00016444944338658255
imdfetn,0.00024891431160978364,0.00024891431160979866
imwbcnt,0.00013119597403393155,0.00013119597403391558
happy,0.00026484754184104937,0.0002648475418410569
sclact,0.0008555186411233231,0.0008555186411233314
atchctr,0.00037693359560221705,0.00037693359560221173
atcherp,6.063015719748008e-05,6.0630157197483214e-05
pray,0.0006060732531862025,0.0006060732531862129
dscrgrp,1.741411209447422e-05,1.7414112094472992e-05
dscrage,0.0002943635324645541,0.0002943635324645622
dscrgnd,4.178960311522591e-06,4.178960311522514e-06
ctzcntr,2.839006295613762e-06,2.8390062956137723e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,2.7467705976187696e-05,2.746770597618732e-05
elgnuc,0.0003479227379049516,0.00034792273790495445
elgbio,0.0016305431055636385,0.0016305431055636363
wrdpfos,0.00038028037251061956,0.00038028037251063756
wrtcfl,0.00019690385709878735,0.00019690385709878171
wrtratc,0.00023913975132716295,0.00023913975132716783
lkredcc,9.58310712813555e-05,9.583107128137361e-05
gvsrdcc,0.0003047475183251465,0.0003047475183251464
sbsrnen,0.0001320691202431849,0.0001320691202431813
slvpens,0.0005071927483184806,0.0005071927483184675
sbbsntx,0.0005884372871816781,0.0005884372871816616
imsclbn,0.001315125079831934,0.0013151250798319261
admub,0.00015793430649181455,0.0001579343064918286
wrkprbf,0.00013633370305788815,0.00013633370305787503
lkuemp,0.0005389928980036481,0.0005389928980036599
gndr,0.00020979908874115986,0.00020979908874109725
gndr3,0.005361614389944387,0.005361614389944391
yrbrn2,0.0001338943010287935,0.0001338943010287939
yrbrn3,0.00045905906278711085,0.00045905906278710245
icpart1,0.008622805394509898,0.008622805394509922
lvgptnea,0.0015916080182795372,0.0015916080182795716
dvrcdeva,0.0026800826767493474,0.0026800826767493843
chldhm,9.147819890754853e-05,9.147819890754825e-05
cmsrv,0.0001310894220607783,0.00013108942206078213
hswrk,1.564221133273043e-05,1.564221133273031e-05
dngdk,1.2690703748451907e-05,1.2690703748453266e-05
dngna,0.002341856968025169,0.0023418569680252062
icomdng,1.5022257791952747e-05,1.5022257791952581e-05
mnactic,7.050614635595004e-05,7.05061463559519e-05
icpdwrk,0.0,0.0
wkdcorga,0.05135303613266639,0.05135303613266591
edulvlfb,0.00010111447233308885,0.00010111447233305623
occf14b,0.00016743252884888053,0.0001674325288488616
occm14b,0.0014788651172515789,0.0014788651172515878
imprich,0.0003273563769089653,0.0003273563769089574
ipeqopt,0.00022411984856580432,0.00022411984856580565
ipshabt,0.00021477022318289147,0.00021477022318288301
impdiff,6.806201087905476e-05,6.806201087905283e-05
ipfrule,0.0006245741624913879,0.0006245741624913928
ipudrst,0.00043249698769894725,0.0004324969876989353
inwmms,0.0002836768119691764,0.00028367681196917973
inwyys,7.301593386131325e-05,7.301593386131474e-05
