,0,1
cntry,0.0003591789607463064,0.0003591789607467602
pspwght,0.0002769126059195416,0.0002769126059174156
anweight,0.00040063619370233293,0.0004006361937014032
nwspol,0.0043658416882699945,0.004365841688268787
netustm,0.000335464507048048,0.0003354645070515937
ppltrst,0.0003622471152180019,0.0003622471152180295
pplhlp,0.0004024418535393142,0.00040244185353769166
polintr,0.0015261797954785358,0.0015261797954744612
psppsgva,0.004345766278671137,0.004345766278665515
psppipla,0.0005423190307669741,0.0005423190307674003
trstplc,0.0001537423848060946,0.00015374238480517598
trstprl,0.0012269762944764765,0.0012269762944798219
wrkprty,0.0003205462339854189,0.00032054623398374357
pbldmn,0.0005859823185450532,0.0005859823185446545
bctprd,0.00023481571997913798,0.00023481571997950368
stfdem,0.00018301695707704794,0.00018301695707662944
gincdif,0.0013028098694378876,0.001302809869438789
freehms,0.00010639738760340746,0.00010639738760344233
hmsacld,0.00027672680894041377,0.00027672680894055715
imsmetn,0.00031798894199596995,0.0003179889419954941
imdfetn,0.00012366093540125227,0.0001236609354019232
imwbcnt,0.0007169666528220397,0.0007169666528209344
happy,2.732881140242272e-05,2.7328811402533406e-05
sclact,0.0005962014024748832,0.0005962014024748181
atchctr,0.0002874600719050206,0.00028746007190544966
atcherp,0.0001225392487177105,0.0001225392487173374
rlgblg,7.176503203450657e-05,7.176503203413114e-05
pray,0.00032554691960719336,0.000325546919607625
dscrgrp,8.583918153285785e-05,8.58391815330328e-05
dscrrce,0.0014633089119285999,0.0014633089119218538
dscrage,0.00018499139654071462,0.000184991396540144
dscrgnd,5.5477053111452666e-05,5.547705311144655e-05
ctzcntr,8.229532319507351e-05,8.229532319511809e-05
lnghom1,9.202591064278704e-06,9.202591064267144e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,8.324583233057261e-06,8.324583233054895e-06
elgnuc,0.0006505888048791611,0.0006505888048798132
elgbio,0.00046256961850709013,0.00046256961850649924
wrdpfos,0.0009295445038781481,0.0009295445038833359
wrtcfl,2.9455836025060566e-05,2.9455836020831886e-05
wrtratc,0.0005072789193377317,0.0005072789193379669
lkredcc,0.0003378009384705732,0.0003378009384707158
gvsrdcc,2.8453786319812875e-05,2.845378632015015e-05
banhhap,0.0006769957178876864,0.0006769957178888072
slvpens,3.839044599345826e-05,3.8390445993393736e-05
sbeqsoc,0.0002909399271187558,0.0002909399271189273
sbbsntx,0.00024279246490960696,0.00024279246490974837
imsclbn,1.7765155989922016e-05,1.7765155989894094e-05
admub,2.875824145293405e-06,2.875824146418613e-06
wrkprbf,9.406862594312532e-05,9.406862594355143e-05
lkuemp,0.00010806012480857236,0.00010806012480835212
gndr,0.000246144949161306,0.0002461449491619608
gndr3,0.00038299621437785946,0.00038299621437722645
yrbrn2,0.00020048559336668812,0.00020048559336682283
yrbrn3,0.00044017593092182786,0.0004401759309212266
icpart1,0.0034857118412341768,0.0034857118412331602
dvrcdeva,0.0018895390994396663,0.001889539099439227
chldhm,0.00032248742727122967,0.00032248742727114283
cmsrv,3.4775681533641376e-05,3.477568153368291e-05
hswrk,9.240388635180372e-05,9.240388635201861e-05
dngdk,9.35710553561384e-06,9.357105535616015e-06
dngna,0.001053487658426037,0.0010534876584262303
icomdng,5.832323824374456e-07,5.832323824374862e-07
mnactic,2.945687913187243e-06,2.945687913183269e-06
icpdwrk,0.0,0.0
wkdcorga,0.039902161384359584,0.03990216138435871
wkhct,0.035226201389701534,0.03522620138970195
edulvlfb,0.00011714106663234716,0.00011714106663306305
occf14b,0.0003643858342062284,0.00036438583420938804
occm14b,0.000513686280256813,0.0005136862802564134
imprich,0.0006269679713825092,0.000626967971381103
ipeqopt,0.00012136275887611319,0.00012136275887460948
ipshabt,0.00023027964237330606,0.0002302796423733601
impdiff,0.0003144784318475278,0.0003144784318491626
ipfrule,0.00014513339288297098,0.0001451333928832455
inwmms,0.0003924773938214746,0.0003924773938214776
inwyys,0.0029522551016709264,0.0029522551016706714
