,0,1
cntry,0.003078722671768624,0.0030787226717666474
pspwght,0.0055795668448258865,0.005579566844825495
anweight,0.001278404158309544,0.001278404158310647
nwspol,0.00989107057735367,0.009891070577356501
netusoft,0.08382328283185456,0.08382328283185653
netustm,0.0005270456955735665,0.000527045695574431
ppltrst,0.0009791481046441965,0.0009791481046436715
pplhlp,0.0016854755079459504,0.0016854755079452278
polintr,0.004478127782356025,0.004478127782357103
psppsgva,0.00939200231538269,0.00939200231537882
actrolga,0.010840465881937544,0.010840465881937744
psppipla,0.005154399720985192,0.005154399720983431
trstplc,0.0019308006082082098,0.0019308006082087814
trstprl,0.001048724343385272,0.0010487243433839042
bctprd,0.0003601847687751902,0.00036018476877475674
stfdem,0.00021592522360646568,0.0002159252236062632
gincdif,0.0036514971340048962,0.0036514971340034907
euftf,0.00017744060477440282,0.00017744060477479652
imsmetn,0.0018293508004746158,0.0018293508004746336
imdfetn,0.00023516210107358957,0.0002351621010738392
imwbcnt,0.0026012028602177763,0.002601202860217825
happy,0.0006045147227316287,0.0006045147227318928
rlgblg,0.001391861275456069,0.0013918612754560123
rlgblge,0.001667416884818323,0.0016674168848200572
dscrgrp,0.0005159160615617981,0.0005159160615618535
dscrrlg,0.003003929393194857,0.0030039293931954326
dscrage,0.0004773792615554931,0.0004773792615556274
dscrgnd,0.00016854948984688892,0.00016854948984688757
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0005381760916820629,0.0005381760916823558
elgcoal,0.0001680322680555801,0.00016803226805415394
elgngas,0.000333797496641202,0.00033379749664184905
elgnuc,0.0024512497033592124,0.002451249703360439
elgwind,0.002274871790567747,0.0022748717905690884
elgbio,0.0005173240330216129,0.0005173240330215703
wrenexp,0.0018767103920788242,0.0018767103920790125
wrtcfl,0.0010636179504358847,0.001063617950435864
wrtratc,0.0016796354017602944,0.001679635401759889
lkredcc,0.0004990707515418939,0.0004990707515429664
sbstrec,0.003843352607477109,0.0038433526074772165
sbbsntx,0.002248219223026839,0.0022482192230268106
imsclbn,0.00047982186711377695,0.000479821867113288
admub,0.0003885143915889257,0.0003885143915890394
lknemny,0.0009584196653964264,0.0009584196653964712
gndr3,0.011006188997242778,0.011006188997244938
lvgptnea,0.07425950486829062,0.0742595048682952
dvrcdeva,0.1954546092286391,0.1954546092286394
maritalb,0.07286743290299469,0.07286743290299529
cmsrv,0.0004418755147506449,0.0004418755147511842
hswrk,8.344251924754061e-05,8.344251924776451e-05
dngdk,0.0,0.0
dngna,0.020410623869691568,0.02041062386968774
icomdng,6.551243946543711e-05,6.551243946542055e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0008971510092170855,0.0008971510092172123
iorgact,0.004318185532904947,0.004318185532904823
edulvlfb,0.0007956878441751319,0.0007956878441760991
occf14b,0.0011544875713817386,0.0011544875713818032
occm14b,0.008895395678985915,0.008895395678986385
imprich,0.0017765453784813338,0.0017765453784839983
ipeqopt,0.0014725895408281865,0.0014725895408286705
ipshabt,0.0018233162507076744,0.0018233162507075792
impdiff,0.0010952425810833112,0.0010952425810835911
ipmodst,0.0004148165466588073,0.00041481654665906874
inwmms,0.0008146327362000233,0.0008146327361996875
inwyys,0.0006524466744563614,0.0006524466744567093
