,0,1
cntry,0.0008340281746399396,0.0008340281746407042
pspwght,0.0002273440044973952,0.0002273440044942121
anweight,0.0004686034298105906,0.0004686034298095118
nwspol,0.001953981236160739,0.0019539812361507717
netusoft,0.0020371676874703496,0.00203716768745943
netustm,0.0010377946914342459,0.0010377946914357386
ppltrst,0.0006134526891999931,0.0006134526892013766
pplhlp,0.00040455547084774785,0.0004045554708476849
psppsgva,0.010439467303069166,0.010439467303100577
psppipla,9.241003122416955e-05,9.241003122172641e-05
trstplc,0.0005065736914224703,0.000506573691420142
trstprl,0.0008567138176727725,0.0008567138176733679
wrkprty,0.013193535259061064,0.013193535259067263
pbldmn,0.00012903558579319723,0.0001290355857920049
bctprd,7.670832335914514e-05,7.670832335905252e-05
stfhlth,0.0016279607595016765,0.0016279607594972684
gincdif,0.0019399176254182135,0.001939917625404086
imsmetn,0.000383314710872113,0.00038331471087126934
imdfetn,0.0021239111658266346,0.0021239111658269906
happy,0.0006630148534906055,0.0006630148534909582
hlthhmp,0.00042015226822210693,0.00042015226821881773
rlgblg,6.447104656527093e-05,6.447104656513201e-05
rlgblge,0.0009777738877602296,0.0009777738877596973
rlgatnd,0.0001884909462049218,0.0001884909462043167
dscrgrp,3.832254731665922e-05,3.832254731666652e-05
dscrage,8.5037226402765e-05,8.50372264025738e-05
dscrgnd,8.668837842961907e-06,8.668837843091449e-06
lnghom1,9.77354860896396e-06,9.773548608989533e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.00023482070282889548,0.00023482070282887152
elgnuc,0.000804145393857962,0.0008041453938528863
elgwind,0.002217049023464291,0.002217049023462497
elgbio,0.002598857624962432,0.0025988576249567044
wrenexp,0.00574289216132385,0.005742892161327988
wrtcfl,9.727987304221776e-05,9.727987304306331e-05
clmchng,0.0022816441684229954,0.002281644168420021
lkredcc,0.0265464457885976,0.026546445788592055
slvpens,0.0035104362880890847,0.003510436288087508
sbstrec,0.002324407387432309,0.002324407387429833
sbprvpv,0.0005018983397719052,0.0005018983397739121
imsclbn,0.004792865466107307,0.004792865466105301
uentrjb,0.0003245753732899525,0.0003245753732919773
wrkprbf,0.0005840458817681227,0.000584045881767304
lkuemp,0.0005718887050784715,0.0005718887050781364
gndr,0.0017597712337674729,0.0017597712337680692
gndr3,0.0005935515540681115,0.0005935515540691821
yrbrn2,0.0013149695035175873,0.0013149695035168856
rshipa3,0.0009774160270597655,0.000977416027059894
dvrcdeva,5.671213556170938e-05,5.671213556332069e-05
maritalb,0.0007307344185534844,0.0007307344185519257
eisced,5.689840788388215e-05,5.68984078855565e-05
cmsrv,3.1379862388489544e-05,3.137986238852048e-05
hswrk,9.144414519047144e-05,9.144414518947871e-05
dngdk,0.0,0.0
dngna,0.0011614047584232517,0.0011614047584235115
icomdng,3.495142391133221e-05,3.49514239107597e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.00011741073034844363,0.00011741073034797902
iorgact,0.00013510254525015062,0.0001351025452501495
edulvlfb,0.0007186678990184109,0.0007186678990194701
occf14b,0.00040669262295546787,0.0004066926229550757
occm14b,0.00020863378072366137,0.00020863378072410392
imprich,8.776444617235792e-06,8.7764446157852e-06
ipeqopt,0.00015129650812794,0.00015129650812815003
ipshabt,0.0006660133564320753,0.0006660133564324144
impdiff,0.0002722393107810632,0.0002722393107810704
ipmodst,0.0008991955798270643,0.0008991955798272482
inwmms,0.0013636420628644608,0.0013636420628636665
inwyys,0.0010999777777123006,0.001099977777709496
