,0,1
cntry,0.0010087841053661333,0.0010087841053662942
pspwght,0.001698628483051448,0.0016986284830523188
anweight,0.0021439407374581167,0.0021439407374627883
nwspol,0.002038845121442303,0.002038845121444084
netusoft,0.0013636045015296629,0.001363604501528747
netustm,0.0006142232626080794,0.0006142232626090822
ppltrst,0.00045146675595058124,0.00045146675594896275
pplhlp,0.00020034577812515304,0.00020034577812538896
polintr,0.001173870819158868,0.0011738708191577174
psppsgva,0.057745408053133995,0.05774540805313707
psppipla,0.0005853255661034869,0.000585325566103648
trstplt,0.00039729426980650344,0.00039729426980658833
trstprt,0.0005146694092583356,0.00051466940926375
trstprl,0.0007204144005870866,0.0007204144005866219
contplt,0.0007027666236929385,0.000702766623692196
wrkprty,0.00043243560390651025,0.0004324356039059653
bctprd,8.87164939732261e-05,8.871649397306964e-05
stfdem,0.00023548781811729422,0.0002354878181171924
gincdif,0.0008486483398576594,0.0008486483398732328
mnrgtjb,0.0002742903147271808,0.0002742903147267015
hmsfmlsh,0.0007358397443867526,0.0007358397443857447
euftf,0.0002970971262260022,0.00029709712622651976
imdfetn,1.311189650455836e-05,1.31118965043961e-05
impcntr,0.001304434334867003,0.001304434334867768
happy,0.0010935486264339886,0.0010935486264154663
hlthhmp,0.0004794018703998295,0.000479401870399257
rlgblge,9.881595014504837e-05,9.881595014510201e-05
dscrgrp,0.0001047658522120473,0.00010476585221195064
dscrrce,0.00028650198014073733,0.00028650198014380866
dscrage,4.1699320736325914e-05,4.1699320736318284e-05
dscrgnd,4.944269020283237e-06,4.94426902026773e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,4.114878493969135e-05,4.114878493946337e-05
elgnuc,0.0003182885688909098,0.0003182885688811682
elgbio,6.153425889618047e-05,6.153425889597063e-05
wrenexp,0.0007782028209761776,0.0007782028209760245
wrtcfl,0.0007463719895269515,0.000746371989527349
wrtratc,0.0004058271553667815,0.00040582715536587646
lkredcc,0.0004896243768174259,0.0004896243768173047
gvsrdcc,0.00022311997364965805,0.00022311997364916558
slvuemp,0.0010578702152561944,0.0010578702152467727
sbbsntx,0.0004911367022751615,0.0004911367022747006
imsclbn,0.0003258288465824187,0.00032582884658219493
admub,0.0010734873999364205,0.0010734873999364374
wrkprbf,4.261974112816283e-05,4.261974112826204e-05
lkuemp,0.0022148402876239494,0.0022148402876245106
gndr2,9.81545658753278e-05,9.815456587504765e-05
yrbrn2,0.00011838313462002302,0.00011838313462068524
rshipa2,8.793921934617282e-05,8.793921934592731e-05
icpart1,0.0014364445732620973,0.0014364445732610513
maritalb,0.0012592027188544797,0.0012592027188521185
dsbld,0.0001295274346398197,0.0001295274346413861
cmsrv,1.0986561855505141e-05,1.0986561855497677e-05
dngdk,9.153343055841144e-07,9.153343055842862e-07
dngna,0.00044841557888593644,0.00044841557888502273
icomdng,4.7467836708612624e-05,4.746783670873637e-05
mnactic,2.655039257098409e-06,2.6550392570904805e-06
icpdwrk,0.0,0.0
wkdcorga,0.0020067958469975294,0.002006795846996175
iorgact,9.513357722744989e-05,9.513357722742508e-05
icpart3,0.0037601811470374434,0.0037601811470301828
edulvlfb,0.0007895288753677813,0.0007895288753682147
occf14b,0.0002901282980707364,0.0002901282980705074
imprich,0.0002996491174135653,0.00029964911741325455
ipeqopt,0.0005763938225111133,0.0005763938225124305
impdiff,0.0003192990989999627,0.0003192990989997599
ipmodst,0.0005531490141748256,0.0005531490141739803
impfree,8.6039349256513e-05,8.603934925618558e-05
inwmms,6.143714741724787e-05,6.143714741823612e-05
inwyys,0.00044905343942127594,0.00044905343942244704
