,0,1
cntry,0.00019160356206298037,0.00019160356206280934
pspwght,0.0003734791194933922,0.00037347911949330633
anweight,0.0001493234658503705,0.00014932346585040085
nwspol,6.624574444503372e-05,6.624574444515853e-05
netusoft,0.01381694941261861,0.013816949412618401
netustm,0.00013666398026485093,0.00013666398026489847
ppltrst,0.00012378148100546818,0.0001237814810054149
pplhlp,0.00012400674106800188,0.00012400674106792007
psppsgva,0.003977750414874767,0.003977750414874376
psppipla,6.442295329126952e-05,6.442295329126663e-05
trstlgl,8.635928944566072e-05,8.635928944576308e-05
trstplc,5.6361635512616433e-05,5.636163551261011e-05
trstep,8.79786498042651e-05,8.797864980422859e-05
trstprl,0.00019655476251380838,0.00019655476251386066
contplt,4.025957326196412e-05,4.025957326199177e-05
wrkprty,4.687518981711548e-05,4.687518981713257e-05
pbldmn,1.7636295884604912e-05,1.7636295884615856e-05
bctprd,3.891038767135483e-05,3.8910387671311e-05
stfdem,0.00018994860651977972,0.00018994860651971383
gincdif,7.271087599873304e-05,7.271087599895995e-05
imsmetn,0.00014291577300291566,0.00014291577300286137
imdfetn,9.965878658773142e-05,9.965878658772657e-05
happy,5.725839443185278e-05,5.725839443180569e-05
sclmeet,5.938044455645503e-05,5.938044455672957e-05
hlthhmp,4.2893755486302204e-05,4.289375548633902e-05
rlgblge,4.575615967431452e-05,4.5756159674308295e-05
rlgatnd,0.00016415723977191191,0.00016415723977200982
dscrgrp,0.0016247505121237535,0.0016247505121237456
dscrage,5.677906664319907e-05,5.677906664322733e-05
dscrgnd,2.414501494117788e-07,2.4145014941179295e-07
lnghom1,0.0,0.0
blgetmg,2.7085404783154827e-07,2.708540478318037e-07
mocntr,8.664276142402702e-07,8.664276142403417e-07
gvrfgap,1.8133161903088013e-05,1.813316190310033e-05
elgcoal,6.475153118072433e-05,6.475153118067646e-05
elgwind,4.5461387717729176e-05,4.546138771762317e-05
elgbio,5.20997443045197e-05,5.209974430450129e-05
wrdpfos,2.0487991488289188e-05,2.0487991488266982e-05
wrtcfl,3.551379989634689e-05,3.551379989636435e-05
wrtratc,0.00015032731770165937,0.00015032731770170488
lkredcc,0.00010396201850053436,0.00010396201850047474
inctxff,5.502186251425006e-05,5.502186251420928e-05
gvslvue,8.69576938205904e-05,8.695769382059238e-05
sbeqsoc,0.00013446739371143155,0.0001344673937115728
imsclbn,3.024866360675285e-05,3.0248663606767115e-05
uentrjb,4.782506388609796e-05,4.782506388606263e-05
basinc,3.7054756527717894e-05,3.705475652777807e-05
lkuemp,8.910158151465247e-05,8.910158151463951e-05
gndr,0.00013796485309271596,0.00013796485309271943
gndr3,0.0019427601559396173,0.0019427601559395993
yrbrn2,0.015572637465720537,0.015572637465720502
rshipa3,0.001999935300163248,0.001999935300163259
maritalb,0.8530096561030532,0.8530096561030481
cmsrv,3.129918001038726e-05,3.1299180010357755e-05
hswrk,3.4678263593834875e-06,3.4678263593830237e-06
dngdk,2.794695424886399e-06,2.794695424889534e-06
dngna,0.00010155493122866509,0.00010155493122873435
icomdng,1.0745596547049953e-06,1.0745596547047863e-06
mnactic,0.00012038602577124013,0.00012038602577124258
icpdwrk,0.0,0.0
wkdcorga,0.00011244545860068585,0.00011244545860068351
edulvlfb,4.8329599238989414e-05,4.832959923899712e-05
occf14b,0.0005018367629272784,0.0005018367629272182
imprich,3.7838956205610696e-05,3.7838956205682606e-05
ipeqopt,0.00031053589048843643,0.00031053589048848327
impdiff,0.0001303736661324003,0.00013037366613238269
ipmodst,7.939775001117499e-05,7.939775001110674e-05
inwmms,0.0002789003186086232,0.0002789003186085896
inwyys,5.531871313863665e-05,5.531871313861246e-05
