,0,1
cntry,0.00010321226481403867,0.00010321226475627416
pspwght,0.0025177799629874952,0.0025177799629827148
anweight,0.004820059653020105,0.004820059652974373
nwspol,0.00207651881177617,0.0020765188117427462
netusoft,0.005677684690309921,0.005677684690736404
netustm,0.003754297362716561,0.0037542973627336224
ppltrst,0.00319632125418739,0.003196321254362191
psppsgva,0.013062776384557245,0.013062776385095507
psppipla,0.001067224869064916,0.0010672248690760417
trstplc,0.000998274228000595,0.0009982742282879868
trstprl,0.0001633933270818425,0.0001633933270724591
pbldmn,0.00027483465006076277,0.0002748346500979702
bctprd,0.00031085955066150877,0.00031085955066460926
stfdem,0.0007001238769038004,0.0007001238768369666
stfhlth,0.00574418149180981,0.005744181491804191
gincdif,0.0008491636988615266,0.0008491636988627059
mnrgtjb,0.0006294768341628772,0.0006294768343578597
freehms,0.00027997758811395916,0.00027997758821758016
imsmetn,0.0024536285753737792,0.0024536285755738193
imdfetn,0.0008282087985972945,0.0008282087985974484
happy,0.0012590380912605114,0.0012590380911730505
hlthhmp,0.00022191470120161606,0.0002219147011745539
rlgblg,0.0002257311044500406,0.00022573110445682468
rlgblge,0.0006506530505141811,0.000650653050529119
rlgatnd,0.0023401434809109606,0.002340143480936943
dscrgrp,0.0002737853754112069,0.00027378537540714045
dscrrce,0.0018968207416020471,0.0018968207415705834
dscrage,0.00012003282722714917,0.00012003282722813779
dscrgnd,2.4620744215613836e-05,2.46207442159058e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,5.9500925690420316e-05,5.9500925691054046e-05
elghydr,0.03352773192748778,0.03352773192774285
elgbio,0.0032473003381269334,0.0032473003383231545
wrdpfos,0.006149340460835737,0.006149340463560036
wrtcfl,0.0008537333778100918,0.0008537333777977588
clmchng,0.0022825821380525226,0.0022825821381047204
lkredcc,9.430051640108184e-05,9.430051640396431e-05
sbsrnen,0.001579072539037144,0.0015790725390553554
sbbsntx,0.00019695607145753867,0.00019695607142791504
imsclbn,0.009587511141229754,0.009587511141353929
uentrjb,0.0015141713087240684,0.0015141713087643458
wrkprbf,0.0027525840292355742,0.0027525840292989597
lkuemp,0.0016669022844344392,0.0016669022844347176
gndr3,0.0016969743633812834,0.0016969743633864593
yrbrn2,0.0003147425718037212,0.0003147425719837116
yrbrn3,1.2237512602904564e-05,1.2237515227827645e-05
dvrcdeva,0.00010933721513666998,0.00010933721514216685
maritalb,0.00019434605369773368,0.0001943460537068143
eisced,0.0006670589820851178,0.0006670589820632189
cmsrv,0.00017081605364840106,0.00017081605365070295
hswrk,9.951987085399184e-05,9.951987085390167e-05
dngdk,2.0153316518455597e-06,2.015331651780589e-06
dngna,0.0019000609664577735,0.0019000609664497933
icomdng,0.0001877648304918194,0.0001877648304912194
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0006467802315053513,0.000646780231554372
iorgact,0.0006147755007540324,0.000614775500764376
edulvlfb,0.001016851444333109,0.0010168514443356855
imprich,0.0005930555499103364,0.0005930555498989982
ipeqopt,0.0008039434710542161,0.0008039434710537156
ipshabt,0.00033506779461632845,0.00033506779461882797
impdiff,0.0015541711649407076,0.001554171164936913
ipsuces,0.0008924449956266925,0.0008924449956161952
inwmms,0.0023978673865448245,0.002397867386648564
inwyys,0.0018558858042966623,0.001855885804435234
