,0,1
cntry,0.006208129847911887,0.006208129847945885
pspwght,0.0003605980938256387,0.00036059809447449047
anweight,0.0016892654021006806,0.0016892654020384135
nwspol,0.0018805591201616191,0.0018805591200149396
netusoft,0.005652332851326505,0.005652332851367779
netustm,0.0031195250657441677,0.0031195250657386417
ppltrst,0.0017794261753249837,0.0017794261753603098
pplhlp,0.00042307874535943153,0.0004230787453754068
polintr,0.002526379315412024,0.0025263793154499405
psppsgva,0.011802070016720711,0.011802070016800259
psppipla,0.00021384839969550295,0.00021384839970728394
trstplc,6.779656717679201e-05,6.779656716873622e-05
trstprl,0.0008853425360424261,0.0008853425360919304
wrkprty,0.03142219621449289,0.03142219621532482
bctprd,7.2654637627867e-05,7.265463762425446e-05
stfdem,5.563611048175573e-05,5.563611046689896e-05
stfhlth,0.002036895546092429,0.0020368955461336816
gincdif,0.001191781272761277,0.0011917812727226598
imsmetn,0.00018130654878711238,0.00018130654879311753
imdfetn,0.0006060914302022629,0.0006060914301803783
happy,0.00033617103160079085,0.0003361710316184167
hlthhmp,0.0004027475948748629,0.00040274759487169185
rlgblg,0.00013758895452279762,0.00013758895452307976
rlgblge,0.0016057719171417122,0.0016057719171226935
dscrgrp,7.711847908024019e-05,7.71184790990467e-05
dscrage,0.0002476462273137357,0.00024764622731931156
dscrgnd,1.3501372567155595e-05,1.3501372567149634e-05
lnghom1,4.430248635630629e-07,4.4302486356036716e-07
blgetmg,4.521932654385931e-07,4.52193265441162e-07
mocntr,0.0,0.0
gvrfgap,0.00010493576567626975,0.00010493576567875296
elghydr,0.0020076993933903675,0.002007699393375059
elgnuc,0.00041854560512821814,0.00041854560513154767
elgbio,0.0035502220296425736,0.00355022202969592
wrdpimp,0.0015469033888645047,0.0015469033888424518
wrtcfl,0.000135408931427495,0.00013540893144907258
clmchng,0.0019053178812051715,0.0019053178811970516
lkredcc,0.0007500241066032927,0.0007500241066013514
sbsrnen,0.0019137240235604762,0.0019137240235258392
slvpens,0.0064805335055869205,0.006480533505638346
sbstrec,0.006950672661689263,0.006950672661757442
sbprvpv,7.225757481470259e-05,7.225757482305765e-05
sblazy,0.0005722318952838037,0.0005722318952452188
uentrjb,0.02334157381933433,0.023341573819373768
lbenent,0.007164339217008592,0.007164339217015485
wrkprbf,0.0010811176169676381,0.0010811176169588299
gndr,0.0006623345696754664,0.0006623345697476077
gndr3,0.003295168647681495,0.003295168647649609
yrbrn2,0.0014381103890653464,0.0014381103890636732
lvgptnea,0.000252603524395203,0.00025260352428775677
dvrcdeva,0.0005256721937297647,0.0005256721937266184
maritalb,9.765624835805046e-05,9.76562483761839e-05
cmsrv,0.0006844953076840789,0.0006844953076842547
hswrk,6.370066006184388e-05,6.370066006070919e-05
dngdk,2.8958091700758034e-06,2.895809169937301e-06
dngna,0.0015420288449656551,0.0015420288449693991
icomdng,2.573520529493312e-05,2.573520530161134e-05
mnactic,9.770376706061116e-07,9.77037670611548e-07
icpdwrk,0.0,0.0
wkdcorga,0.00025632187254883787,0.00025632187254885527
iorgact,4.670684566075164e-05,4.670684566412893e-05
edulvlfb,0.001440438994648573,0.0014404389946662617
occf14b,0.00020984043855524866,0.00020984043854793731
occm14b,0.00015213828499449885,0.00015213828499935722
imprich,0.0004934407330809774,0.0004934407329695707
ipeqopt,8.491057291109191e-06,8.491057293301538e-06
impdiff,9.461409984064413e-05,9.461409985168992e-05
ipfrule,0.000706477159938148,0.0007064771599426669
inwmms,1.653864076278981e-05,1.6538640758035928e-05
inwyys,0.0001356465837674194,0.00013564658377135155
