,0,1
cntry,0.0012055585398724935,0.0012055585398733388
pspwght,0.0015482518784366622,0.0015482518784363884
anweight,0.00030551361938599436,0.0003055136193863383
nwspol,0.0006291946790690935,0.0006291946790692703
netustm,0.000819948044100696,0.0008199480440997454
ppltrst,0.0001207711791388163,0.00012077117913845548
pplhlp,6.839854694240812e-05,6.839854694241678e-05
polintr,0.0004804120471196216,0.00048041204711957045
psppsgva,0.005996982323352845,0.005996982323351348
psppipla,0.00012593479549869946,0.00012593479549844282
trstplc,0.00010517425534369807,0.0001051742553435431
trstprl,0.00015244813498383944,0.00015244813498554706
contplt,9.351247975178608e-05,9.351247975187734e-05
wrkprty,0.0005252063685422246,0.0005252063685423618
pbldmn,0.0009253927521606351,0.0009253927521600459
bctprd,9.900207901262695e-06,9.90020790126329e-06
stfdem,7.612692448384435e-05,7.612692448384321e-05
gincdif,0.00013792055398838404,0.00013792055398843781
freehms,2.2932758237810456e-05,2.293275823780712e-05
hmsacld,8.086034805781656e-05,8.086034805776704e-05
imsmetn,9.799962882340415e-05,9.799962882324905e-05
imdfetn,5.857150699759694e-05,5.8571506997602964e-05
happy,1.201719613519926e-05,1.2017196135247934e-05
sclact,0.0003230583980679866,0.00032305839806772585
atchctr,0.0004332614306250911,0.00043326143062509987
atcherp,0.00017343514341641345,0.00017343514341637157
dscrgrp,9.269712402004388e-05,9.26971240199827e-05
dscrage,6.360297978520579e-05,6.360297978485753e-05
dscrgnd,4.182160593836509e-06,4.182160593836481e-06
dscrna,0.0,0.0
ctzcntr,2.3147769428849947e-06,2.3147769428850337e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,7.726840936488147e-06,7.726840936491285e-06
elgngas,0.0005000919563077779,0.0005000919563067594
elgnuc,0.00017011983835604066,0.0001701198383556062
elgbio,0.000382470162452345,0.0003824701624520647
wrdpfos,6.62782010157398e-05,6.62782010317917e-05
wrtcfl,3.31098328458175e-05,3.3109832844766646e-05
clmchng,7.940791326098618e-05,7.940791326082651e-05
lkredcc,0.00010647536027215934,0.00010647536027225884
gvsrdcc,0.0002761195008500497,0.0002761195008494743
sbsrnen,0.00020793987006249566,0.00020793987006173742
slvpens,8.887540810584276e-05,8.887540810587477e-05
sbbsntx,0.00028541506546877425,0.00028541506546862885
imsclbn,4.41398515546414e-05,4.413985155377358e-05
admub,0.0002037720588054857,0.00020377205880547713
wrkprbf,0.00010545691461600542,0.00010545691461601704
lkuemp,0.00013620852443314076,0.0001362085244327595
gndr,9.072876547481052e-05,9.072876547483092e-05
gndr3,0.0006655604437787298,0.000665560443778842
yrbrn3,0.0002484262966785976,0.0002484262966787902
icpart1,0.00418628654870286,0.0041862865487041845
lvgptnea,0.0001616644722013747,0.0001616644722019501
dvrcdeva,0.0018482522831424185,0.0018482522831418003
chldhm,0.0001122753668305205,0.00011227536683047053
cmsrv,3.785666673743453e-05,3.785666673714665e-05
hswrk,3.129426877773625e-05,3.129426877773497e-05
dngdk,0.0,0.0
dngna,0.0004087886854549729,0.0004087886854549678
icomdng,3.2641894685542193e-07,3.2641894685537026e-07
mnactic,7.617572735529451e-06,7.617572735518402e-06
icpdwrk,0.0,0.0
wkdcorga,0.0365346446040878,0.036534644604087986
iorgact,0.032817045006782675,0.03281704500678014
edulvlfb,0.00037010058068651195,0.0003701005806866139
occf14b,0.0004950745174435965,0.0004950745174436205
occm14b,0.0003108464711941,0.0003108464711941756
imprich,0.0001363477659996897,0.0001363477659995959
ipeqopt,9.106658929814813e-06,9.106658930057933e-06
ipshabt,5.3634384332509437e-05,5.363438433213778e-05
impdiff,2.25098506752911e-05,2.2509850674782078e-05
ipfrule,9.67618945349671e-05,9.676189453503637e-05
ipudrst,0.00032035019493325395,0.00032035019493328426
inwmms,0.000356242734350443,0.00035624273435307775
inwyys,0.0001244840972994331,0.00012448409729989767
