,0,1
cntry,0.00993723071989164,0.009937230719891645
pspwght,0.024115657207139755,0.024115657207139776
anweight,0.0008158008251731882,0.0008158008251731867
nwspol,8.836527928398865e-05,8.836527928398873e-05
netusoft,0.00012005940093249633,0.00012005940093249639
netustm,0.0002594501138861227,0.0002594501138861225
ppltrst,3.757334935474876e-05,3.757334935474403e-05
pplhlp,3.775886900342094e-06,3.7758869003421133e-06
polintr,0.0023560953219374813,0.0023560953219374796
psppsgva,0.3174016504550062,0.31740165045500646
psppipla,0.000494303055940559,0.0004943030559405578
trstplt,0.0009040402231302286,0.0009040402231302283
trstep,8.09711356015937e-05,8.097113560159372e-05
trstprl,0.0021597395801096356,0.0021597395801096373
vote,0.00041562069726471586,0.0004156206972647165
wrkprty,0.041451009996201944,0.04145100999620197
pbldmn,9.022783477919385e-06,9.022783477919341e-06
bctprd,1.8058342144558898e-07,1.8058342144558903e-07
gincdif,6.527074681217211e-05,6.527074681217222e-05
mnrgtjb,0.0004365843843111768,0.0004365843843111774
imsmetn,1.668690567441013e-05,1.668690567441014e-05
imdfetn,0.0017528850812104765,0.0017528850812104772
happy,5.3280746919723863e-05,5.328074691972207e-05
sclact,0.00019489102837326813,0.0001948910283732688
hlthhmp,0.0001201934751072798,0.00012019347510727998
rlgblg,9.033668647993998e-06,9.033668647993995e-06
rlgdnm,0.0026743234554596628,0.002674323455459664
rlgblge,0.00272245574314071,0.0027224557431407143
dscrgrp,0.004474736108833743,0.004474736108833743
dscrrce,0.001681408134299737,0.001681408134299737
dscrage,0.00041074296113952,0.0004107429611395204
dscrgnd,1.642557473749285e-05,1.6425574737492857e-05
lnghom1,6.047424779853396e-07,6.047424779853335e-07
blgetmg,6.238711222066412e-07,6.23871122206641e-07
mocntr,0.0,0.0
gvrfgap,1.5059547755974672e-05,1.505954775597505e-05
elgngas,7.721018456032311e-05,7.721018456032267e-05
elgnuc,0.007726878897449129,0.007726878897449136
elgwind,0.005046083754239274,0.005046083754239278
elgbio,0.0021661146660114485,0.002166114666011452
wrdpfos,0.024581345960359005,0.024581345960359036
wrtcfl,0.00026074071157511006,0.00026074071157510984
wrtratc,0.0026401275921783315,0.0026401275921783306
lkredcc,0.0007946756876792202,0.0007946756876792232
slvpens,0.00013122386727151193,0.00013122386727150936
sbstrec,0.004321987229867552,0.004321987229867555
imsclbn,0.007522172815961293,0.007522172815961292
uentrjb,0.00276606221648143,0.002766062216481429
wrkprbf,6.724513450077931e-05,6.72451345007792e-05
lkuemp,4.260755253592253e-05,4.260755253592244e-05
yrbrn,0.00010642990704608255,0.00010642990704608346
yrbrn2,9.081880993200522e-05,9.081880993200468e-05
lvgptnea,0.00025896960561288656,0.00025896960561288705
iccohbt,4.830382142411164e-06,4.830382142411137e-06
maritalb,0.00046040720685000313,0.000460407206850003
rtrd,1.0360131604495128e-05,1.0360131604495123e-05
cmsrv,5.878871206786048e-06,5.878871206786048e-06
hswrk,9.74253435501329e-06,9.742534355013313e-06
dngdk,0.0,0.0
dngna,0.0010632835433813596,0.0010632835433813607
icomdng,2.347902652846117e-06,2.3479026528460977e-06
mnactic,2.755396513815835e-06,2.7553965138158103e-06
icpdwrk,0.0,0.0
wkhct,0.00021153872833942034,0.00021153872833942034
isco08,0.00011176024648768951,0.00011176024648769218
icpart3,0.0005160171848840692,0.0005160171848840699
pdwrkp,0.0003236710219963268,0.00032367102199632586
edulvlfb,0.0007489974464217614,0.00074899744642176
occf14b,8.875903244513197e-05,8.875903244513166e-05
occm14b,0.007370654146365838,0.007370654146365838
imprich,4.295907919066689e-05,4.295907919066685e-05
ipeqopt,3.058092877818044e-05,3.058092877818037e-05
impsafe,0.0009282969602109,0.0009282969602109007
impdiff,6.244602812415069e-05,6.244602812415064e-05
ipmodst,0.0006122609277648393,0.0006122609277648388
inwmms,2.4202744214511326e-05,2.420274421451127e-05
inwyys,0.016621360759593095,0.016621360759593074
inwdde,0.006132217427312153,0.006132217427312147
