,0,1
cntry,0.00015093030030291244,0.00015093030030281196
pspwght,4.988922545642527e-05,4.988922545644724e-05
anweight,0.00012930012127892264,0.0001293001212788888
nwspol,0.00013479920162193134,0.00013479920162192598
netustm,0.0002244535857435794,0.00022445358574358344
ppltrst,6.095978333089571e-06,6.095978333090157e-06
pplhlp,9.878659302356019e-05,9.878659302357351e-05
polintr,5.974668410351902e-05,5.97466841034808e-05
psppsgva,0.0012434045087453887,0.0012434045087455132
psppipla,1.2150035288596295e-05,1.2150035288568472e-05
trstplc,9.719698753090053e-06,9.719698753091598e-06
trstprl,6.937285100488868e-05,6.937285100488715e-05
contplt,3.710839631739277e-05,3.710839631741815e-05
wrkprty,9.311042428390186e-05,9.311042428390678e-05
pbldmn,0.0003782041257292956,0.00037820412572929697
bctprd,1.9330744947187083e-05,1.9330744947184186e-05
stfdem,1.1128898793653818e-06,1.1128898793706135e-06
gincdif,0.0002023368890451074,0.00020233688904510518
mnrgtjb,6.708620945448577e-05,6.70862094544857e-05
hmsacld,3.848166958896767e-05,3.848166958895964e-05
imsmetn,4.9071676178400996e-05,4.907167617839623e-05
imdfetn,6.627869704285198e-05,6.627869704285164e-05
imwbcnt,4.3829948109136987e-05,4.382994810913694e-05
happy,3.532676254706465e-05,3.532676254709683e-05
sclact,9.052790438362979e-05,9.052790438359984e-05
atchctr,5.5697449662485875e-05,5.5697449662489636e-05
atcherp,5.7127259200183964e-05,5.712725920014369e-05
pray,6.413349042329138e-05,6.413349042328823e-05
dscrgrp,5.634327844537546e-06,5.634327844538097e-06
dscrage,3.121051264244325e-05,3.121051264244652e-05
dscrgnd,0.0,0.0
ctzcntr,0.0,0.0
lnghom1,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.8034646818223795e-06,1.803464681822376e-06
elgngas,1.724214389463386e-05,1.7242143894635477e-05
elgnuc,3.628165184171382e-05,3.628165184171419e-05
elgbio,4.5149578684537064e-06,4.514957868441469e-06
wrdpfos,0.00019707101585619556,0.00019707101585605025
wrtcfl,8.745209894551265e-05,8.745209894547463e-05
wrtratc,0.00014791155615554417,0.00014791155615554653
lkredcc,9.729288201870573e-05,9.729288201870444e-05
gvsrdcc,0.00010529782434855398,0.00010529782434854971
banhhap,2.8960761409201057e-05,2.8960761409204414e-05
slvpens,5.99579966827404e-06,5.9957996682732515e-06
sbeqsoc,3.802105568448946e-05,3.802105568445637e-05
sbbsntx,3.935965086830761e-05,3.935965086830606e-05
imsclbn,5.353532385660308e-06,5.353532385664669e-06
admub,9.417311582525278e-06,9.417311582518955e-06
wrkprbf,1.2781450136654547e-05,1.2781450136667773e-05
lkuemp,3.11587785630234e-05,3.115877856300547e-05
gndr,2.7457235976903435e-05,2.745723597688996e-05
gndr3,0.0007742098359208895,0.0007742098359208962
yrbrn3,1.2539104852864734e-05,1.253910485286469e-05
icpart1,0.00265116938738394,0.002651169387383958
lvgptnea,0.00045367434328763567,0.0004536743432876358
dvrcdeva,0.0014568147844098126,0.0014568147844097998
chldhm,6.069829360287108e-05,6.069829360287424e-05
cmsrv,3.082850674800078e-06,3.082850674803093e-06
hswrk,1.5229238188422172e-06,1.5229238188416846e-06
dngdk,0.0,0.0
dngna,0.000259662092145108,0.00025966209214510797
icomdng,5.674282410882041e-07,5.674282410881953e-07
mnactic,7.3626596553589706e-06,7.362659655359005e-06
icpdwrk,0.0,0.0
wkdcorga,0.03507718710756841,0.035077187107568256
icwhct,0.03906347841163039,0.039063478411630576
edulvlfb,2.024616125177946e-06,2.024616125176669e-06
occf14b,9.414478429513334e-05,9.414478429510385e-05
occm14b,0.00018715753964897928,0.00018715753964897137
imprich,1.8887230988576231e-06,1.8887230988306117e-06
ipeqopt,1.1144341895859826e-05,1.1144341895885994e-05
ipshabt,6.337173486464306e-05,6.33717348646345e-05
impdiff,4.0874158260202756e-05,4.087415826018867e-05
ipfrule,4.006481016205201e-05,4.0064810162067995e-05
inwmms,0.0001320223790359728,0.00013202237903593527
inwyys,3.155018804647407e-05,3.1550188046476436e-05
