,0,1
cntry,0.0012684305414499143,0.0012684305414378777
pspwght,0.001478592312860474,0.0014785923128626298
anweight,3.049704793429637e-05,3.049704793614459e-05
nwspol,0.0002782256885674314,0.0002782256885739081
netustm,0.0002844427362017907,0.00028444273619149073
ppltrst,0.0005536275956565048,0.0005536275956468805
pplhlp,0.00018211386434594727,0.00018211386434461655
polintr,0.0006085377894891473,0.000608537789491992
psppsgva,0.00012082355049558817,0.00012082355049382214
psppipla,8.017086817541339e-06,8.017086817178746e-06
trstplc,0.00020975677257638428,0.00020975677257647173
trstprl,8.306283095153681e-05,8.306283095057947e-05
wrkprty,0.0012213104481012661,0.0012213104481036954
bctprd,4.3886150460014585e-05,4.38861504595308e-05
stfdem,9.161862380701505e-05,9.161862380758525e-05
stfhlth,0.0007119278610921212,0.0007119278610937589
gincdif,2.442621797349902e-06,2.4426218052405797e-06
mnrgtjb,0.0002609300120573586,0.0002609300120567998
hmsfmlsh,0.00014390208374485508,0.00014390208374281263
imsmetn,6.403168782158243e-05,6.403168782153459e-05
imdfetn,0.00016782213564596783,0.0001678221356462636
happy,5.9233327833090434e-05,5.923332782362577e-05
sclact,0.00025811292020134547,0.0002581129201941878
hlthhmp,7.551183819367018e-05,7.551183819381795e-05
atchctr,0.00017915138213393385,0.00017915138214204965
rlgblg,1.6982321907771328e-05,1.6982321907193424e-05
dscrgrp,0.00016733422001129008,0.00016733422001003254
dscrrlg,0.0001475949078886548,0.00014759490788563112
dscrage,0.0004016440325792404,0.0004016440325776441
dscrgnd,8.599339732330413e-06,8.599339732232996e-06
ctzcntr,1.4485151989690414e-07,1.4485151989666652e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,4.053381733244637e-05,4.053381733269706e-05
elgcoal,0.0001468695476279408,0.00014686954762755771
elgnuc,0.00031336979091881463,0.0003133697909142784
wrpwrct,0.0012300198918507234,0.0012300198918457938
wrtcfl,0.0002551743913448133,0.0002551743913408653
clmchng,9.967130353546608e-05,9.967130353401871e-05
lkredcc,0.0003093079544464017,0.0003093079544444309
lklmten,5.857055815712534e-05,5.8570558157120224e-05
sbsrnen,4.371595877846596e-05,4.371595877852715e-05
slvpens,1.0827385660304891e-05,1.0827385660536089e-05
sbbsntx,2.442427933305394e-05,2.442427933337677e-05
imsclbn,0.0003309283513059419,0.00033092835130275764
uentrjb,1.8700529910395085e-05,1.8700529910587863e-05
lkuemp,0.00024357698085117796,0.00024357698084638384
yrbrn,0.000142509301881943,0.00014250930188580474
yrbrn2,2.0060365225071412e-05,2.0060365224974847e-05
yrbrn3,6.01188386840562e-05,6.011883868403088e-05
rshpsts,0.0023454792427802336,0.002345479242720905
dvrcdeva,0.0012224884306590994,0.0012224884306547205
chldhm,7.870094085586138e-05,7.870094085558633e-05
edctn,5.3782893685323946e-05,5.3782893685748466e-05
dsbld,0.024465598284862434,0.024465598284860314
cmsrv,1.3527658225554544e-06,1.3527658225552634e-06
hswrk,1.4778402922450282e-05,1.4778402919726437e-05
dngdk,0.0,0.0
dngna,0.00018658646244155085,0.00018658646244160756
icomdng,5.988289337997072e-07,5.988289338117063e-07
mnactic,0.0,0.0
icpdwrk,0.0,0.0
iorgact,0.16396108694519537,0.16396108694516912
edulvlfb,0.00016401482321543566,0.00016401482323058207
occf14b,0.0003755641010856916,0.0003755641010632272
imprich,0.0002385791912504237,0.00023857919123417435
ipeqopt,7.515712974046177e-05,7.515712972901271e-05
ipshabt,8.105206700527055e-06,8.105206700488256e-06
impdiff,9.880314628976455e-05,9.880314628839063e-05
inwmms,7.673721756171982e-06,7.67372175916803e-06
inwyys,0.000520897689034385,0.0005208976890317873
inwdde,0.00016570470388902356,0.00016570470389008475
