,0,1
cntry,0.01622190035571152,0.016221900355711714
pspwght,0.0019068060605944867,0.001906806060597606
anweight,0.0011282134866354117,0.0011282134866354163
nwspol,0.0018484105699654266,0.001848410569966842
netusoft,0.004787174500653238,0.004787174500653289
netustm,0.0008663611845162621,0.0008663611845181317
ppltrst,0.0014782503928973182,0.0014782503928975573
pplhlp,0.0001440519301673015,0.00014405193016534044
psppsgva,8.562350068842138e-05,8.562350068798806e-05
psppipla,0.00013907337314777898,0.00013907337314828343
trstlgl,0.0003047310672973942,0.00030473106729719205
trstplc,0.00016957836992127545,0.00016957836992129513
trstplt,0.00011749616974680959,0.00011749616974689822
trstprl,0.00020199483879908704,0.00020199483879931087
pbldmn,0.0005280045097865906,0.0005280045097853017
bctprd,7.112805668330882e-05,7.1128056683294e-05
stfdem,0.00023964030068661257,0.00023964030068656452
stfhlth,0.002139229760943654,0.0021392297609427032
gincdif,0.0007855265213347977,0.0007855265213344691
imsmetn,0.00023486039234462024,0.00023486039234456738
imdfetn,0.00036863447784473975,0.00036863447784499806
imwbcnt,0.00022391129017747187,0.00022391129017705258
happy,0.00016677135001302311,0.00016677135001499598
hlthhmp,7.134875952943316e-05,7.134875952941498e-05
atchctr,0.0002901510923835754,0.0002901510923836407
rlgblg,0.00011429467662456538,0.00011429467662471276
rlgblge,0.0005720134583927464,0.000572013458392556
dscrgrp,1.8657781872057388e-05,1.8657781872041274e-05
dscrrlg,0.0006854308479879206,0.0006854308479882725
dscrage,6.818470382306673e-05,6.818470382298699e-05
dscrgnd,8.861684204663823e-05,8.861684204678175e-05
lnghom1,1.1684856196360288e-05,1.1684856196367462e-05
blgetmg,0.0,0.0
mocntr,1.4512524887490664e-06,1.451252488756207e-06
gvrfgap,0.00016931112010501052,0.00016931112010564787
elgcoal,1.8436844275523453e-05,1.843684427537105e-05
elgnuc,0.0004095852544040653,0.0004095852544059175
elgwind,0.00039123062455606486,0.0003912306245568927
elgbio,0.0004922273353254794,0.0004922273353253325
wrenexp,0.0005724518399420656,0.0005724518399421601
wrtcfl,7.868764560013184e-05,7.868764560051798e-05
wrtratc,0.0006008334083628084,0.0006008334083627818
lkredcc,0.00012206559559536706,0.00012206559559528944
dfincac,0.0006156557931622828,0.0006156557931622737
imsclbn,0.00041691131156417594,0.0004169113115640659
admub,9.606902118427111e-05,9.606902118436073e-05
lknemny,0.0005540506228066208,0.0005540506228066309
gndr,0.00032441920418290805,0.00032441920418262377
gndr3,0.0001539589557789023,0.00015395895577904772
yrbrn3,0.11925554135402412,0.1192555413540226
icpart1,0.0722064449195172,0.07220644491951686
maritalb,0.0016906536754012808,0.0016906536754010047
cmsrv,8.591794172508731e-05,8.591794172502778e-05
hswrk,6.526774905258912e-06,6.526774905258471e-06
dngdk,2.396822384059197e-05,2.39682238405954e-05
dngna,0.00034445828241880103,0.0003444582824192308
icomdng,0.0001003211633548863,0.0001003211633549891
mnactic,3.752914609717166e-05,3.7529146097173414e-05
icpdwrk,0.0,0.0
wkdcorga,0.0007654179764991526,0.000765417976499719
icwhct,0.0006224509150475388,0.0006224509150473765
isco08,0.0001289767798508533,0.0001289767798501588
edulvlfb,0.0008825499614500135,0.000882549961450294
occf14b,0.0006208543116592544,0.0006208543116592987
occm14b,0.0007662355134797054,0.0007662355134798551
imprich,0.00020483677031116012,0.00020483677031126325
ipshabt,0.00032461096813499125,0.0003246109681351139
impdiff,0.00045738495839588606,0.0004573849583959363
inwmms,0.0014858511188427094,0.0014858511188426643
inwyys,0.0004808418104994899,0.0004808418104993692
inwdde,0.0009101989312672334,0.0009101989312717153
