,0,1
cntry,0.0015411345291353126,0.0015411345291353037
pspwght,0.001509072268772449,0.0015090722687724444
anweight,0.0021008494861894157,0.00210084948618942
nwspol,0.001418544164690038,0.0014185441646900367
netustm,0.0028011414625253883,0.0028011414625253796
ppltrst,0.002138518372862231,0.002138518372862226
pplhlp,0.0017781583756167584,0.001778158375616753
polintr,0.0014576397215506937,0.0014576397215506848
psppsgva,3.6933927112288464e-05,3.693392711228663e-05
psppipla,5.9998589888835916e-06,5.999858988884106e-06
trstplc,8.54251524695447e-06,8.542515246951774e-06
trstprl,4.203725310793241e-06,4.203725310794257e-06
pbldmn,1.2155394700363493e-05,1.2155394700362563e-05
bctprd,3.7026193829922806e-06,3.7026193829925284e-06
stfdem,1.3248310902867246e-06,1.3248310902861545e-06
stfhlth,9.792364098810487e-05,9.792364098810075e-05
gincdif,4.8631639495280885e-06,4.863163949527741e-06
mnrgtjb,1.5847970559429652e-05,1.5847970559427968e-05
imsmetn,1.4176278084507952e-05,1.4176278084503749e-05
imdfetn,8.143974054291233e-06,8.143974054292372e-06
happy,0.00010699883694632055,0.00010699883694631803
hlthhmp,3.430012432191611e-06,3.4300124321910906e-06
rlgblg,1.29603961284657e-06,1.2960396128467929e-06
rlgblge,1.0506757567543823e-06,1.0506757567539363e-06
dscrgrp,0.0,0.0
dscrage,0.0,0.0
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,3.864635658675158e-06,3.864635658673008e-06
elgcoal,0.00019259790874177326,0.00019259790874177435
elgnuc,3.708833776697036e-05,3.708833776697225e-05
elgwind,2.1794558578433123e-05,2.1794558578432587e-05
elgbio,0.00011732840862847241,0.00011732840862847409
wrdpfos,2.0627575543477935e-05,2.0627575543478982e-05
wrtcfl,2.9030323083662307e-05,2.903032308366165e-05
clmchng,3.074329647763656e-05,3.074329647763145e-05
lkredcc,4.970516713332897e-06,4.970516713333451e-06
gvslvue,9.775128064617613e-05,9.775128064617472e-05
sbbsntx,6.205032482032639e-07,6.205032482028055e-07
imsclbn,0.00017336389268213118,0.00017336389268212925
uentrjb,0.00017474311132848917,0.00017474311132848128
eusclbf,0.00016335043245128272,0.0001633504324512826
gndr,6.272599410707471e-05,6.272599410707286e-05
yrbrn2,9.968284911074477e-07,9.968284911070015e-07
rshipa3,2.6840585389898275e-06,2.684058538990577e-06
dvrcdeva,0.0,0.0
chldhm,2.455460132264574e-06,2.455460132263161e-06
dsbld,4.038130797590128e-07,4.038130797601032e-07
cmsrv,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,2.1228077452151085e-06,2.1228077452168682e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,8.466278241668573e-06,8.4662782416683e-06
icwhct,6.22083370436155e-06,6.220833704360856e-06
edulvlfb,4.62927665445519e-06,4.629276654453518e-06
occf14b,7.229297058621541e-06,7.229297058621764e-06
occm14b,2.5193220888689523e-06,2.5193220888669944e-06
imprich,2.138318490037505e-05,2.1383184900375435e-05
ipeqopt,4.9762984426362795e-06,4.976298442637283e-06
ipshabt,1.7509246495282805e-05,1.7509246495280053e-05
impsafe,1.0249335049873111e-05,1.0249335049871363e-05
inwmms,2.0605096487615447e-06,2.060509648760454e-06
inwyys,1.4645028952459116e-06,1.4645028952461098e-06
