,0,1
cntry,0.0010776753890723416,0.0010776753890723474
pspwght,0.0016158652838782319,0.0016158652838782338
anweight,0.0016270440153542953,0.0016270440153543018
nwspol,0.0008506971003787612,0.0008506971003787678
netusoft,0.0006033568475881722,0.0006033568475881711
netustm,0.000565028491482456,0.0005650284914824579
ppltrst,0.0016663246234376234,0.0016663246234376217
pplhlp,0.0010166577905514208,0.001016657790551428
psppsgva,0.000594096919446413,0.0005940969194464132
psppipla,3.1194491896924246e-06,3.119449189693317e-06
trstplc,1.231673368395631e-05,1.2316733683957501e-05
trstprl,7.357013407432008e-06,7.357013407432653e-06
wrkprty,4.637874255228067e-05,4.637874255228126e-05
pbldmn,1.2817001370248444e-06,1.281700137025935e-06
bctprd,0.0,0.0
stfhlth,3.8754004239096414e-05,3.875400423909922e-05
gincdif,1.8314128013598163e-07,1.8314128013687377e-07
mnrgtjb,1.2638219404914757e-05,1.2638219404918623e-05
imsmetn,1.3403576919614563e-05,1.3403576919615132e-05
imdfetn,1.2606565074282282e-05,1.260656507428263e-05
happy,9.15794305143571e-05,9.157943051436033e-05
hlthhmp,1.0317294897441401e-05,1.0317294897442467e-05
rlgblg,1.2325606186094905e-06,1.2325606186087968e-06
rlgblge,1.178514055049314e-06,1.1785140550484218e-06
dscrgrp,5.490848344352141e-06,5.4908483443508775e-06
dscrage,6.57640807557284e-06,6.576408075572493e-06
dscrgnd,3.215975676813958e-06,3.215975676815197e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgnuc,0.0001948232377309571,0.0001948232377309606
elgbio,0.00032738590295190516,0.0003273859029519075
wrenexp,0.00028574591820895126,0.0002857459182089516
wrtcfl,1.8845487820660128e-05,1.8845487820661517e-05
clmchng,0.00017764331518477594,0.00017764331518477276
lklmten,0.01023975007022429,0.01023975007022429
banhhap,0.01623121922966569,0.016231219229665694
slvpens,9.316752185040329e-05,9.316752185040373e-05
sbstrec,0.0002000643090139596,0.000200064309013966
sbbsntx,2.4958807322077666e-05,2.4958807322080143e-05
imsclbn,0.00019825657904431064,0.00019825657904431283
uentrjb,0.00012265056330736514,0.00012265056330737029
wrkprbf,5.198067397184122e-06,5.1980673971839235e-06
lkuemp,1.5864132607072105e-05,1.5864132607072552e-05
gndr,0.00019945510662897095,0.0001994551066289657
gndr3,1.2555189942179947e-06,1.2555189942172512e-06
yrbrn2,1.0428381537566744e-06,1.042838153756377e-06
rshipa3,2.231808818347227e-06,2.231808818348119e-06
dvrcdeva,1.91450741432557e-06,1.914507414325173e-06
maritalb,7.116305257733244e-07,7.116305257738697e-07
eisced,0.0,0.0
cmsrv,2.5560433110658567e-06,2.5560433110636014e-06
hswrk,6.294070408570187e-06,6.294070408571376e-06
dngdk,0.0,0.0
dngna,1.3998059434665707e-06,1.3998059434653317e-06
icomdng,2.365565763478334e-06,2.3655657634765995e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,2.7288526325636165e-06,2.728852632562972e-06
iorgact,8.060914540788548e-07,8.06091454078359e-07
edulvlfb,1.011806305518551e-06,1.0118063055189475e-06
occf14b,2.7372061186248242e-06,2.7372061186240314e-06
occm14b,5.758205811153936e-06,5.758205811155274e-06
imprich,8.730832078220168e-05,8.730832078219199e-05
ipshabt,4.477052059288609e-05,4.477052059288733e-05
impsafe,6.5930940485222196e-06,6.593094048520138e-06
impdiff,1.4874009837448949e-05,1.4874009837448403e-05
inwmms,8.451666159856537e-07,8.451666159857529e-07
inwyys,9.351703593551577e-06,9.351703593554552e-06
inwdde,1.7816032529643525e-06,1.7816032529643525e-06
