,0,1
cntry,0.0013407672549525325,0.0013407672549525206
pspwght,0.002446907557845012,0.0024469075578450045
anweight,0.001221703880668454,0.0012217038806684533
nwspol,0.0010895268922143904,0.0010895268922143733
netusoft,0.0011921675723868426,0.001192167572386839
netustm,0.0012926409946711626,0.0012926409946711621
ppltrst,0.0013541744974021868,0.0013541744974021734
pplhlp,0.0019703543064548334,0.0019703543064548057
psppsgva,0.00036779019196660716,0.0003677901919665928
psppipla,8.958932744439108e-07,8.958932744435639e-07
trstplc,9.596898009450143e-07,9.596898009443206e-07
trstprl,1.8926599285636456e-06,1.8926599285641907e-06
wrkprty,0.0,0.0
pbldmn,7.413239274490858e-07,7.413239274497798e-07
bctprd,0.0,0.0
stfhlth,4.586744984958073e-06,4.586744984955496e-06
gincdif,5.4985316850755406e-08,5.498531685135017e-08
imsmetn,2.052346887431335e-06,2.0523468874294023e-06
imdfetn,3.1877147735743376e-06,3.187714773573644e-06
happy,1.4188402594469591e-05,1.4188402594471128e-05
hlthhmp,2.899654034764201e-06,2.899654034762243e-06
rlgblg,4.351365782608674e-06,4.35136578260689e-06
rlgblge,0.0,0.0
dscrgrp,1.4688364924586384e-07,1.4688364924462476e-07
dscrage,4.188998957121595e-06,4.188998957121447e-06
dscrgnd,9.808411847910973e-07,9.808411847921381e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgnuc,7.828720192631964e-05,7.828720192631878e-05
elgbio,3.877989248953631e-05,3.8779892489536955e-05
wrenexp,7.375290218372132e-05,7.375290218371716e-05
wrtcfl,4.4975303323470855e-05,4.497530332346944e-05
clmchng,1.1528431730679663e-05,1.1528431730677854e-05
lklmten,0.011484427295753554,0.011484427295753542
banhhap,0.0063517648612081146,0.006351764861208094
slvpens,3.174243551971027e-05,3.174243551970969e-05
sbprvpv,0.0,0.0
imsclbn,2.596663753786634e-05,2.5966637537863452e-05
uentrjb,9.546963834915777e-05,9.546963834915316e-05
wrkprbf,0.0,0.0
lkuemp,3.531613920711098e-06,3.5316139207108282e-06
gndr,5.737110988717138e-05,5.737110988716214e-05
gndr3,9.038700750033796e-07,9.038700750029335e-07
yrbrn2,5.521450065063985e-07,5.521450065057046e-07
icpart1,2.258140094350329e-06,2.2581400943496844e-06
dvrcdeva,0.0,0.0
maritalb,0.0,0.0
uempla,0.0,0.0
cmsrv,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,4.5669096939644476e-06,4.566909693965439e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,5.032826030581786e-07,5.032826030572368e-07
rtrdp,0.0,0.0
edulvlfb,3.06112453287393e-06,3.0611245328727157e-06
occf14b,3.0019277348720556e-06,3.001927734871907e-06
occm14b,1.7391249262337862e-06,1.7391249262328972e-06
imprich,5.346658905622797e-05,5.346658905622668e-05
ipeqopt,2.4580255665960365e-06,2.458025566594946e-06
ipshabt,2.21883968840443e-05,2.2188396884039168e-05
impsafe,7.908392563934557e-06,7.908392563930343e-06
inwmms,0.0,0.0
inwyys,6.754288125777885e-07,6.754288125778876e-07
inwdde,5.851311100531121e-06,5.851311100531468e-06
