,0,1
cntry,9.976351417240932e-05,9.976351417240441e-05
pspwght,4.784969472843743e-05,4.784969472844011e-05
anweight,0.0013517427949278438,0.0013517427949278423
nwspol,0.00011909994783026338,0.00011909994783026079
netusoft,0.00018404926688731584,0.000184049266887321
netustm,0.0008816935766278076,0.000881693576627801
ppltrst,0.00014640912793545941,0.00014640912793545546
pplhlp,0.0004688717513818197,0.0004688717513818167
polintr,0.0011049906596553537,0.0011049906596553483
psppsgva,0.0,0.0
psppipla,0.0,0.0
trstplc,0.0,0.0
trstprl,0.0,0.0
bctprd,0.0,0.0
stfdem,0.0,0.0
stfhlth,8.87699862611248e-06,8.87699862611486e-06
gincdif,1.0499796706105379e-05,1.0499796706104982e-05
mnrgtjb,0.0,0.0
imsmetn,0.0,0.0
imdfetn,0.0,0.0
imwbcnt,1.222224487877304e-05,1.2222244878771453e-05
happy,0.0,0.0
hlthhmp,0.0,0.0
rlgblg,0.0,0.0
rlgblge,0.0,0.0
dscrgrp,0.0,0.0
dscrage,0.0,0.0
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgbio,0.0,0.0
wrenexp,1.6728848816319197e-05,1.672884881631761e-05
wrtcfl,1.8337881368264498e-05,1.8337881368264498e-05
clmthgt2,0.0,0.0
lkredcc,0.0,0.0
ownrdcc,1.4122935458454095e-05,1.4122935458454888e-05
gvcldcr,0.0,0.0
sbbsntx,0.0,0.0
uentrjb,0.0,0.0
admub,0.0,0.0
lknemny,0.0,0.0
gndr,0.0,0.0
yrbrn2,0.0,0.0
dvrcdeva,0.0,0.0
maritalb,2.0720583425201866e-05,2.072058342520147e-05
dsbld,1.7883090276901319e-06,1.7883090276996479e-06
rtrd,0.0,0.0
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
emprf14,0.20239874315233808,0.20239874315233805
edulvlmb,0.0017134743550831864,0.001713474355083155
occm14b,3.727008013720358e-05,3.727008013719327e-05
imprich,0.0,0.0
ipeqopt,0.0,0.0
impsafe,0.0,0.0
ipudrst,0.0,0.0
inwmms,0.0,0.0
inwyys,9.488740533380208e-06,9.488740533381001e-06
inwdde,0.0,0.0
