,0,1
cntry,0.002336823436219332,0.0023368234362193276
pspwght,0.009099707298389074,0.009099707298389078
anweight,0.0035590900070298537,0.0035590900070298507
nwspol,0.0017335554645504165,0.0017335554645504098
netusoft,0.0034206964717765497,0.003420696471776551
netustm,0.0023417780068596765,0.0023417780068596635
ppltrst,0.003116728055472541,0.003116728055472538
pplhlp,0.0018397951054075895,0.0018397951054075858
polintr,0.00355419276567743,0.003554192765677415
psppsgva,0.0004834443676101276,0.00048344436761011897
psppipla,1.3315413651342597e-05,1.3315413651341011e-05
trstplc,7.721121360590642e-06,7.721121360588362e-06
trstprl,1.8155838300877382e-05,1.8155838300877084e-05
bctprd,1.7341332562662263e-05,1.7341332562662808e-05
stfdem,0.0,0.0
stfhlth,0.0,0.0
gincdif,5.617786582686523e-05,5.617786582686141e-05
imsmetn,1.9575718488924954e-06,1.9575718488924954e-06
imdfetn,2.4126610584646643e-06,2.4126610584634746e-06
happy,3.139703123462359e-05,3.139703123462374e-05
hlthhmp,7.61974412754071e-06,7.619744127539204e-06
rlgblg,0.0,0.0
rlgblge,9.859512882332533e-06,9.85951288233273e-06
dscrgrp,0.0,0.0
dscrage,1.1282069786418245e-05,1.1282069786417748e-05
dscrgnd,1.4320994103041757e-05,1.4320994103042154e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,2.3558615299716248e-05,2.3558615299715157e-05
elgnuc,1.6767142819541482e-05,1.6767142819541384e-05
elgbio,6.09581907649071e-05,6.095819076490575e-05
wrenexp,3.1547255106711425e-05,3.1547255106712516e-05
wrtcfl,1.1690552057839536e-05,1.1690552057840626e-05
lkredcc,1.3233232673455002e-05,1.3233232673455894e-05
ownrdcc,5.3937911943167556e-05,5.3937911943165665e-05
sbbsntx,1.982192660270977e-05,1.9821926602709653e-05
imsclbn,1.9559248101899238e-05,1.9559248101898892e-05
uentrjb,6.831591392705147e-05,6.831591392704891e-05
basinc,1.562200737213411e-05,1.562200737213322e-05
lkuemp,5.130454008286041e-06,5.1304540082868344e-06
gndr,9.289870870488444e-07,9.289870870487453e-07
gndr3,5.775698109763674e-06,5.7756981097618895e-06
yrbrn2,0.0,0.0
iccohbt,8.991198740102608e-07,8.991198740098643e-07
maritalb,4.781397918909462e-07,4.781397918896575e-07
chldhm,0.0,0.0
cmsrv,0.0,0.0
hswrk,5.1215701554676745e-06,5.121570155468765e-06
dngdk,0.0,0.0
dngna,2.024896264284192e-06,2.0248962642830025e-06
icomdng,1.6861089446875064e-05,1.6861089446875064e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,2.064551310563803e-06,2.0645513105637037e-06
iorgact,3.034004044997445e-06,3.0340040449959582e-06
edulvlfb,0.02604653561718045,0.026046535617180438
occf14b,0.0012702036200474716,0.0012702036200474601
occm14b,0.016484368517047265,0.016484368517047248
imprich,7.607794412542667e-05,7.607794412542366e-05
ipeqopt,2.0732290493637006e-05,2.0732290493636054e-05
ipshabt,5.143166634819894e-05,5.143166634820082e-05
impdiff,2.450793335203475e-05,2.4507933352034252e-05
ipfrule,3.340825772313705e-05,3.3408257723134645e-05
inwmms,7.9384053566189e-06,7.938405356613943e-06
inwyys,1.2869475441594204e-05,1.2869475441595295e-05
