,0,1
cntry,0.002475292290100963,0.0024752922901009663
pspwght,0.0024451810389142714,0.0024451810389142714
anweight,0.007218625593888671,0.007218625593888662
nwspol,0.003954650124252884,0.00395465012425289
netusoft,0.002704236408206043,0.002704236408206042
netustm,0.002638800050494839,0.00263880005049483
ppltrst,0.002526359928257254,0.0025263599282572533
pplhlp,0.0038317237185200065,0.0038317237185199996
psppsgva,0.0014543244435877812,0.0014543244435877816
psppipla,7.021611090321189e-06,7.0216110903206435e-06
trstplc,9.002656631144789e-06,9.0026566311462e-06
trstprl,0.0002171956161131006,0.00021719561611310115
wrkprty,0.00031071117271951103,0.00031071117271951027
pbldmn,2.307028405564536e-05,2.3070284055643798e-05
bctprd,4.324908680575942e-06,4.324908680576884e-06
gincdif,1.1302506295050217e-05,1.130250629505059e-05
hmsacld,0.00023915116039350458,0.00023915116039349436
imsmetn,0.0003922572911751491,0.0003922572911751452
imdfetn,0.00038753658418334066,0.0003875365841833419
happy,0.001947261164887139,0.001947261164887135
sclact,0.0011482582747175056,0.001148258274717511
hlthhmp,0.0002208156605270736,0.00022081566052706888
rlgblg,3.237501192543989e-05,3.237501192543801e-05
rlgblge,4.086662699181838e-05,4.086662699181919e-05
dscrgrp,5.701398818234373e-05,5.701398818234117e-05
dscrage,4.0381423725216195e-05,4.038142372521459e-05
dscrgnd,1.7864027803034774e-05,1.7864027803032148e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,7.606991373374322e-06,7.6069913733741735e-06
elgngas,0.0007009708763527568,0.0007009708763527555
elgnuc,0.0003347105960960408,0.0003347105960960412
elgbio,0.0020838834526815996,0.0020838834526815957
wrenexp,0.0007364981494150772,0.0007364981494150787
wrtcfl,0.0005781499003188027,0.0005781499003188004
clmchng,0.0007740911936608019,0.0007740911936607997
ccnthum,0.0014375129409793551,0.0014375129409793562
lkredcc,8.064417823659051e-05,8.064417823658856e-05
gvsrdcc,0.0001570013059729998,0.0001570013059729924
slvpens,0.0017880610124578061,0.0017880610124578033
sbbsntx,0.0006518109914016248,0.0006518109914016248
imsclbn,0.002565264994637079,0.0025652649946370895
uentrjb,0.0015088030497915112,0.001508803049791502
basinc,0.00022781668227218307,0.00022781668227218373
lknemny,0.005717075660083447,0.005717075660083439
gndr,0.0008806299606966536,0.000880629960696644
gndr3,0.0005630492879697423,0.0005630492879697384
yrbrn2,6.132374841153863e-07,6.132374841153615e-07
rshipa3,1.815912314414184e-05,1.815912314414174e-05
dvrcdeva,6.1786103343425766e-06,6.178610334341784e-06
maritalb,4.716393788181176e-06,4.716393788181474e-06
eisced,2.2900969941188793e-05,2.290096994118883e-05
edctn,6.584938167933916e-05,6.584938167934096e-05
cmsrv,2.0477158037658773e-05,2.0477158037656072e-05
hswrk,1.6866263692391637e-06,1.6866263692385193e-06
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,1.4299875754744474e-05,1.4299875754743112e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,1.5287180317085212e-05,1.52871803170862e-05
iorgact,1.7685604098838906e-05,1.7685604098836527e-05
edulvlfb,8.6220852036622e-06,8.622085203660342e-06
occf14b,2.283510320839329e-05,2.2835103208392347e-05
occm14b,2.4866526799752904e-05,2.4866526799752755e-05
imprich,0.0004920296986767627,0.0004920296986767573
ipeqopt,7.80914807189621e-05,7.809148071896131e-05
ipshabt,0.00018793727709841206,0.00018793727709840339
ipfrule,0.00024302116348846756,0.00024302116348846425
ipudrst,8.384502404786806e-05,8.384502404786959e-05
inwmms,2.3866528338604032e-05,2.386652833860468e-05
inwyys,0.00011239575662906605,0.00011239575662906749
