,0,1
cntry,0.00012765763631733377,0.00012765763631733044
pspwght,3.085384085743966e-05,3.085384085743758e-05
anweight,0.0014104591610923024,0.0014104591610923116
nwspol,0.000102498734932438,0.0001024987349324385
netusoft,0.00020823080019879086,0.00020823080019879018
netustm,0.0009162185703589394,0.0009162185703589483
ppltrst,0.000171532985884229,0.00017153298588422746
pplhlp,0.0004886773275189539,0.0004886773275189529
polintr,0.0011358449248646376,0.0011358449248646374
psppsgva,0.0,0.0
psppipla,0.0,0.0
trstplc,0.0,0.0
trstprl,0.0,0.0
bctprd,0.0,0.0
stfdem,1.3810054751131022e-05,1.3810054751131022e-05
stfhlth,1.958690975696025e-06,1.958690975696025e-06
gincdif,1.8794541007684042e-05,1.8794541007684835e-05
mnrgtjb,0.0,0.0
imsmetn,0.0,0.0
imdfetn,1.673967557105836e-05,1.6739675571058757e-05
imwbcnt,2.1917244780676997e-05,2.1917244780677095e-05
happy,0.0,0.0
hlthhmp,0.0,0.0
rlgblg,0.0,0.0
rlgblge,0.0,0.0
dscrgrp,0.0,0.0
dscrage,1.3408808011176293e-05,1.3408808011176787e-05
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,3.1640645120147226e-06,3.1640645120147226e-06
elgbio,0.0,0.0
wrenexp,0.0,0.0
wrtcfl,0.0,0.0
clmthgt2,0.0,0.0
lkredcc,0.0,0.0
ownrdcc,0.0,0.0
gvcldcr,0.0,0.0
sbbsntx,0.0,0.0
uentrjb,0.0,0.0
admub,0.0,0.0
lknemny,0.0,0.0
gndr,0.0,0.0
yrbrn2,0.0,0.0
dvrcdeva,0.0,0.0
maritalb,0.0,0.0
dsbld,0.0,0.0
rtrd,0.0,0.0
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
emprf14,0.20237484773214076,0.2023748477321407
edulvlmb,0.0017330108669005777,0.0017330108669005777
occm14b,4.1134680398473094e-05,4.1134680398464366e-05
imprich,0.0,0.0
ipeqopt,0.0,0.0
impsafe,0.0,0.0
ipudrst,0.0,0.0
inwmms,1.723189795059889e-05,1.723189795059968e-05
inwyys,0.0,0.0
inwdde,0.0,0.0
