,0,1
cntry,0.0023305314026565885,0.0023305314026565815
pspwght,0.00909445853983122,0.00909445853983122
anweight,0.003549557796255598,0.0035495577962555967
nwspol,0.0017243600545281883,0.0017243600545281822
netusoft,0.003429498113734302,0.0034294981137343045
netustm,0.002380447504380995,0.0023804475043809835
ppltrst,0.003088798168739626,0.0030887981687396167
pplhlp,0.0018072142659560583,0.0018072142659560555
polintr,0.0035449116947182074,0.0035449116947181922
psppsgva,0.0004470095625702152,0.0004470095625702025
psppipla,8.152956951046045e-06,8.152956951042624e-06
trstplc,1.0037287940939388e-06,1.003728794093443e-06
trstprl,1.449836919893811e-05,1.4498369198934963e-05
bctprd,2.811585772567242e-06,2.811585772567242e-06
stfdem,1.2900084313653494e-06,1.2900084313645563e-06
stfhlth,1.3421935219880277e-06,1.3421935219852521e-06
gincdif,3.707556387459023e-05,3.707556387458817e-05
imsmetn,1.727808242430006e-06,1.727808242429213e-06
imdfetn,5.847733719000928e-06,5.847733719000135e-06
happy,3.353365660736951e-05,3.3533656607367726e-05
hlthhmp,6.8192877432006665e-06,6.819287743200468e-06
rlgblg,0.0,0.0
rlgblge,1.3042176236900534e-05,1.3042176236901327e-05
dscrgrp,0.0,0.0
dscrage,0.0,0.0
dscrgnd,3.644669596271355e-07,3.64466959625946e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,9.078882981430396e-06,9.078882981427819e-06
elgnuc,1.4478581800485516e-05,1.4478581800488972e-05
elgbio,5.1242120543822674e-05,5.124212054382232e-05
wrenexp,2.755543969040937e-05,2.7555439690409715e-05
wrtcfl,9.328198132692014e-06,9.32819813269251e-06
lkredcc,5.950190879660791e-06,5.950190879659304e-06
ownrdcc,4.7763604561256474e-05,4.776360456125513e-05
sbbsntx,1.2644748231061532e-05,1.2644748231060025e-05
imsclbn,2.203811169707632e-05,2.203811169707661e-05
uentrjb,4.567083732381806e-05,4.5670837323816716e-05
basinc,2.513243887032397e-05,2.5132438870321143e-05
lkuemp,1.5321522128639567e-05,1.5321522128640705e-05
gndr,2.1350190184519958e-05,2.135019018451857e-05
gndr3,1.5302317270615013e-05,1.530231727061298e-05
yrbrn2,1.3914404249330451e-05,1.3914404249327312e-05
iccohbt,7.2173257722990545e-06,7.2173257722990545e-06
maritalb,4.914974817240579e-06,4.914974817240976e-06
chldhm,2.790403521944554e-05,2.790403521944306e-05
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,3.495456422600519e-06,3.495456422598493e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,5.905723320078533e-06,5.905723320078929e-06
iorgact,3.2084994950175503e-06,3.2084994950169557e-06
edulvlfb,0.026051080518431257,0.026051080518431243
occf14b,0.0012878603460907809,0.0012878603460907748
occm14b,0.016495721678463776,0.016495721678463752
imprich,8.381176716668673e-05,8.381176716668296e-05
ipeqopt,3.751706269199017e-05,3.751706269199323e-05
ipshabt,8.76263095220186e-05,8.762630952201553e-05
impdiff,3.488196028746314e-05,3.488196028746043e-05
ipfrule,3.431008791998842e-05,3.4310087919987136e-05
inwmms,0.0,0.0
inwyys,3.06866597638424e-05,3.068665976384307e-05
