,0,1
cntry,0.0034182816861985724,0.00341828168619858
pspwght,0.003324683494693974,0.003324683494693979
anweight,0.002811672164864334,0.0028116721648643417
nwspol,0.0016980205310372805,0.001698020531037286
netusoft,0.002538527194557696,0.0025385271945577007
netustm,0.002332467480892031,0.0023324674808920297
ppltrst,0.001070871555294156,0.0010708715552941585
pplhlp,0.0015784022830091428,0.0015784022830091452
polintr,0.0022857863820326375,0.002285786382032644
psppsgva,0.0008552377137990962,0.0008552377137990938
psppipla,2.38843910061598e-07,2.388439100617963e-07
trstplc,0.0,0.0
trstprl,6.266073967945419e-05,6.266073967945344e-05
wrkprty,0.00027158422366707516,0.0002715842236670711
bctprd,3.719889747836057e-05,3.719889747836206e-05
stfdem,2.79230437680994e-07,2.792304376805479e-07
stfhlth,4.326418140739901e-05,4.3264181407396176e-05
gincdif,2.9199576289516493e-05,2.9199576289516493e-05
hmsacld,6.0547740106827415e-05,6.0547740106827096e-05
imsmetn,4.823358777720421e-05,4.823358777720759e-05
imdfetn,7.659191221010513e-05,7.659191221010641e-05
happy,0.00023284133003566635,0.0002328413300356726
sclact,0.0002812582378445836,0.00028125823784458636
hlthhmp,5.4294778905275834e-05,5.429477890527232e-05
rlgblg,0.0,0.0
rlgblge,8.359463106079763e-05,8.359463106080012e-05
dscrgrp,8.628695447452499e-06,8.628695447449673e-06
dscrage,4.449754802026383e-06,4.44975480202668e-06
dscrgnd,8.43524976040689e-07,8.435249760401933e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.0994724033284006e-06,1.0994724033287474e-06
elgwind,0.0003968347234627219,0.00039683472346272396
wrpwrct,0.01410858093619744,0.014108580936197442
wrdpimp,0.054759864553677436,0.05475986455367744
wrtcfl,0.00020484161543025037,0.0002048416154302526
clmchng,0.000537143493265675,0.0005371434932656746
lkredcc,9.299348342711696e-05,9.299348342712055e-05
slvpens,0.001089921820641327,0.001089921820641347
sbbsntx,1.921384880963853e-05,1.9213848809641776e-05
imsclbn,0.0007574956860338919,0.0007574956860338973
uentrjb,0.00043118789655334364,0.0004311878965533419
wrkprbf,6.126255360677939e-06,6.12625536067898e-06
lkuemp,0.00022069048333460487,0.00022069048333460417
gndr,0.00038011181901485396,0.00038011181901485516
gndr3,1.2556927904763419e-05,1.2556927904762724e-05
yrbrn2,2.5316091151723e-07,2.5316091151703176e-07
rshipa3,1.2058592378029872e-06,1.2058592378016985e-06
dvrcdeva,4.6740336076323146e-05,4.674033607632346e-05
maritalb,6.194452701699581e-07,6.194452701718414e-07
eisced,1.4779738531690051e-05,1.4779738531689804e-05
cmsrv,2.8769920952584994e-05,2.8769920952585513e-05
hswrk,4.993316817539424e-05,4.9933168175362475e-05
dngdk,0.0,0.0
dngna,2.5312616043196965e-05,2.5312616043196965e-05
icomdng,4.6906269848694313e-07,4.690626984872901e-07
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,3.4790486299086137e-06,3.479048629907375e-06
iorgact,2.0097875814070743e-07,2.0097875814011265e-07
edulvlfb,8.18666113382765e-06,8.18666113382448e-06
occf14b,7.17741652842915e-06,7.177416528429526e-06
occm14b,1.1865619294036727e-06,1.1865619294030285e-06
imprich,0.0003318533439920888,0.0003318533439920892
ipshabt,3.87727767858205e-05,3.8772776785822704e-05
impsafe,3.566191261640533e-05,3.566191261640591e-05
impdiff,4.001366316330394e-05,4.001366316330597e-05
inwmms,2.1400551288431734e-06,2.1400551288440534e-06
inwyys,3.682644099420586e-05,3.682644099419931e-05
