,0,1
cntry,0.003491403455653138,0.003491403455653151
pspwght,0.002150767585753203,0.002150767585753196
anweight,0.0025376905458717705,0.002537690545871768
nwspol,0.0012548246306795475,0.001254824630679557
netusoft,0.0010427554204169474,0.0010427554204169472
netustm,0.00206816638079876,0.002068166380798768
ppltrst,0.0015138707564661946,0.001513870756466191
pplhlp,0.001870251601671401,0.0018702516016713994
polintr,0.0015165968286628916,0.0015165968286628985
psppsgva,0.0009658169102169893,0.000965816910216991
psppipla,2.280740652679926e-06,2.280740652681215e-06
trstplc,1.3953970341915381e-05,1.3953970341915134e-05
trstprl,5.34563382168393e-05,5.345633821684222e-05
bctprd,9.61453052682193e-07,9.614530526825895e-07
stfdem,0.0,0.0
stfhlth,9.705687525944322e-05,9.705687525944823e-05
gincdif,1.1503916756187987e-05,1.1503916756185508e-05
mnrgtjb,4.804593912690792e-05,4.804593912690772e-05
imsmetn,1.559902134961344e-05,1.55990213496125e-05
imdfetn,4.558379734494754e-05,4.558379734494288e-05
happy,0.00021164666365365957,0.0002116466636536684
hlthhmp,8.417858764394564e-07,8.417858764400511e-07
rlgblg,1.852468718612935e-05,1.8524687186127765e-05
rlgblge,2.7714180661042586e-05,2.771418066103783e-05
dscrgrp,2.1648091025289987e-05,2.1648091025295937e-05
dscrage,1.0573333499229057e-06,1.0573333499221127e-06
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,2.626408327794808e-06,2.626408327794659e-06
elgbio,0.00030308125373889493,0.0003030812537388938
wrpwrct,0.016195065309787003,0.016195065309787003
wrdpimp,0.057403955014911884,0.057403955014911884
wrtcfl,8.036889190960391e-05,8.03688919096051e-05
clmchng,0.00045807098541444615,0.00045807098541445065
lkredcc,6.431952593223008e-05,6.431952593223067e-05
slvpens,0.0006841470041641418,0.0006841470041641524
sbstrec,0.0001931772486211933,0.00019317724862120712
sbbsntx,5.433750456511096e-05,5.4337504565108924e-05
imsclbn,0.0004904397358064489,0.0004904397358064549
uentrjb,0.00025858388321452425,0.00025858388321453504
wrkprbf,6.356263477759075e-06,6.356263477757935e-06
lkuemp,0.00014570717938693282,0.00014570717938693222
gndr,0.00030857156780322,0.0003085715678032181
gndr3,2.5550306101045082e-05,2.555030610104419e-05
yrbrn2,1.6538319042031355e-06,1.6538319042027389e-06
lvgptnea,3.1223579292152803e-06,3.1223579292146857e-06
dvrcdeva,7.708408432598773e-06,7.708408432598477e-06
maritalb,0.0,0.0
eisced,4.5392062195859015e-06,4.539206219586398e-06
rtrd,5.686728394740738e-06,5.686728394740131e-06
cmsrv,2.0671405743759903e-07,2.0671405743799552e-07
hswrk,6.451388678813863e-05,6.451388678813436e-05
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,2.6479455124872697e-06,2.6479455124881616e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
edulvlfb,2.5463929982400635e-05,2.546392998240435e-05
occf14b,1.709079947292158e-05,1.709079947292934e-05
occm14b,1.7033534565847568e-06,1.7033534565855003e-06
imprich,0.00015998906020083347,0.0001599890602008355
ipeqopt,7.482358005296558e-05,7.482358005296802e-05
ipshabt,3.4328296309728375e-05,3.432829630973014e-05
impdiff,4.194687199907057e-05,4.19468719990748e-05
ipfrule,8.804359829365936e-05,8.804359829367606e-05
inwmms,0.0,0.0
inwyys,0.0,0.0
