,0,1
cntry,0.0008280528476963566,0.000828052847696361
pspwght,0.0013074291605379195,0.0013074291605379206
anweight,0.0018518878450575296,0.00185188784505753
nwspol,0.00041472974495849124,0.0004147297449584925
netustm,0.002887733899265384,0.002887733899265386
ppltrst,0.0011368199676003224,0.001136819967600322
pplhlp,0.0006410143194869092,0.0006410143194869175
polintr,0.001136412891134844,0.0011364128911348463
psppsgva,0.0006042209466970156,0.000604220946697011
psppipla,3.5401812421469767e-06,3.5401812421469767e-06
trstplc,0.00022851852817254307,0.0002285185281725408
trstprl,2.8452710488557118e-06,2.845271048855315e-06
wrkprty,3.1416413407157104e-06,3.1416413407144216e-06
wrkorg,1.388206584268466e-05,1.3882065842681884e-05
pbldmn,0.0010237151159320655,0.0010237151159320607
bctprd,8.07585507712225e-06,8.075855077123638e-06
stfdem,3.810941110954934e-05,3.8109411109551225e-05
gincdif,0.0,0.0
freehms,3.0469081529244893e-07,3.0469081529244893e-07
imsmetn,5.008257914455662e-06,5.008257914456852e-06
imdfetn,2.861224595997588e-06,2.8612245959962003e-06
happy,3.380570629553579e-06,3.3805706295521917e-06
sclact,1.7158156391182994e-05,1.7158156391183787e-05
atchctr,0.0,0.0
atcherp,1.2481920027295121e-05,1.2481920027296114e-05
rlgdgr,1.1461091019922066e-06,1.1461091019914137e-06
dscrgrp,0.0,0.0
dscrage,2.9927302409586488e-06,2.992730240958054e-06
dscrgnd,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgngas,6.0621882842760985e-06,6.062188284276595e-06
elgnuc,5.102737177769545e-05,5.102737177769793e-05
elgbio,7.075773461955651e-05,7.07577346195582e-05
wrdpfos,1.0796104005400146e-05,1.0796104005399353e-05
wrtcfl,1.4233146908786726e-05,1.4233146908786132e-05
wrtratc,1.4559590225431327e-06,1.4559590225437275e-06
lkredcc,0.0,0.0
gvsrdcc,1.1516538968686255e-06,1.1516538968692203e-06
sbsrnen,1.001294079015185e-06,1.001294079014392e-06
slvpens,3.630653502370276e-05,3.630653502370395e-05
sbbsntx,0.0,0.0
admub,2.568567035322679e-06,2.568567035323472e-06
wrkprbf,1.6616713122738492e-06,1.6616713122748404e-06
lkuemp,7.214577608651604e-05,7.214577608651762e-05
gndr,2.1070655934580476e-06,2.107065593458841e-06
gndr3,0.0010032174700025827,0.001003217470002582
yrbrn3,7.882174447621753e-07,7.882174447633648e-07
icpart1,0.002158183009588811,0.00215818300958881
lvgptnea,0.0005238270763500613,0.0005238270763500684
dvrcdeva,0.0011057340534209304,0.0011057340534209323
chldhm,3.4903124751627696e-05,3.49031247516274e-05
cmsrv,2.2496211249524644e-06,2.2496211249532572e-06
hswrk,1.0160971712116654e-06,1.016097171212062e-06
dngdk,0.0,0.0
dngna,4.473387432757381e-07,4.4733874327514333e-07
icomdng,3.668794627059118e-06,3.6687946270573336e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
iorgact,0.0819075850445088,0.0819075850445088
wkhct,0.007271917333001678,0.007271917333001673
edulvlfb,6.761169555097709e-06,6.761169555097313e-06
occf14b,2.4043950964248797e-05,2.404395096424939e-05
occm14b,0.0,0.0
imprich,2.0891748732296663e-05,2.089174873229825e-05
ipeqopt,1.7914733818593216e-05,1.7914733818588656e-05
ipshabt,1.0340284699730012e-05,1.0340284699730012e-05
impdiff,3.6454734133701497e-06,3.6454734133659865e-06
ipfrule,2.19501446632702e-06,2.1950144663278127e-06
inwmms,3.404024889700723e-06,3.404024889697948e-06
inwyys,0.0,0.0
