,0,1
cntry,0.00806665784542935,0.008066657845429356
pspwght,0.01614377719198761,0.0161437771919876
anweight,0.007305002035083438,0.007305002035083438
nwspol,0.004559411715660936,0.004559411715660923
netusoft,0.00933739660133337,0.009337396601333377
netustm,0.005531377055240692,0.005531377055240691
ppltrst,0.009365297212505612,0.00936529721250563
pplhlp,0.00548073893190213,0.005480738931902136
polintr,0.006895271639798371,0.006895271639798385
psppsgva,0.18397764890559212,0.18397764890559212
psppipla,0.0001486660239708147,0.00014866602397081767
trstplc,5.843805359022942e-06,5.843805359022942e-06
trstplt,0.0005878196246920166,0.0005878196246920212
trstprl,0.00022885875667643423,0.0002288587566764293
vote,0.0007420882196438153,0.0007420882196438248
wrkprty,0.0030427630797533944,0.003042763079753411
bctprd,6.445853222760462e-06,6.445853222762842e-06
stfdem,3.4397384570101457e-06,3.4397384570101457e-06
gincdif,0.00010704101533297436,0.00010704101533297128
imsmetn,8.880110287303217e-05,8.88011028730282e-05
imdfetn,9.970659499744636e-05,9.970659499744436e-05
impcntr,0.0008430831488250918,0.0008430831488250957
happy,0.0018382165263193262,0.001838216526319314
sclact,0.0004879954294894652,0.0004879954294894706
hlthhmp,8.539943799525439e-05,8.539943799525583e-05
rlgblg,4.6113758531315074e-05,4.6113758531314126e-05
rlgdnm,0.001644690365576421,0.0016446903655764158
dscrgrp,9.68455502270718e-05,9.684555022707439e-05
dscrrce,0.036849532185243394,0.03684953218524338
dscrage,0.0001254169516696628,0.00012541695166965995
dscrgnd,4.076656943863673e-06,4.0766569438628806e-06
ctzcntr,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,2.5649747198400583e-05,2.564974719839979e-05
elgcoal,0.0006760497903115448,0.0006760497903115402
elgngas,1.9241209625796682e-05,1.924120962579886e-05
elgnuc,0.0014268192145282985,0.0014268192145283098
elgwind,0.0002850338005951192,0.00028503380059512196
elgbio,0.002577315272171671,0.0025773152721716556
wrdpfos,0.001702766444436407,0.0017027664444364007
wrtcfl,0.0009545375921282493,0.0009545375921282474
wrtratc,0.0006527051645129719,0.0006527051645129695
lkredcc,0.00013339119129907035,0.00013339119129906796
dfincac,0.0006514628861674109,0.0006514628861674232
slvpens,0.0011105091730962567,0.0011105091730962452
sbstrec,0.002577456281197246,0.002577456281197254
sbprvpv,0.001026362601508754,0.0010263626015087474
sbbsntx,0.00082489946754247,0.0008248994675424814
uentrjb,0.0005894879850146818,0.0005894879850146856
gndr3,1.1981190080281074e-05,1.198119008028147e-05
yrbrn2,7.10056414080808e-05,7.100564140808039e-05
icpart1,9.942666575990521e-06,9.942666575991316e-06
rshpsts,5.9675827939288465e-05,5.96758279392845e-05
iccohbt,1.589289766899617e-05,1.5892897668995377e-05
dsbld,3.1469514267063695e-06,3.1469514267067663e-06
cmsrv,6.077062889353206e-05,6.077062889352859e-05
hswrk,1.5673821013124328e-06,1.5673821013108467e-06
dngdk,0.0,0.0
dngna,1.1678979549081914e-05,1.1678979549081566e-05
icomdng,3.408079273843008e-05,3.4080792738432656e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,3.714358786722454e-06,3.7143587867200747e-06
isco08,0.00040812100667417023,0.0004081210066741664
pdwrkp,0.0001246307118625084,0.00012463071186251
edulvlfb,0.0006591460900226252,0.0006591460900226325
occf14b,2.826450536043888e-05,2.8264505360440465e-05
occm14b,9.646310969939937e-06,9.646310969939937e-06
imprich,0.00020686408965996035,0.00020686408965997136
ipeqopt,0.000161428172901459,0.0001614281729014574
ipshabt,7.365063147328369e-05,7.365063147328309e-05
impsafe,0.00022749037915635673,0.00022749037915634578
ipudrst,0.00014778959667050804,0.00014778959667051015
inwmms,0.00011693941650197044,0.00011693941650196985
inwyys,0.006267096344483153,0.006267096344483206
inwdde,0.00019813750792581353,0.00019813750792581114
