,0,1
cntry,0.0035473814949718643,0.0035473814949718613
pspwght,0.003092555190707024,0.0030925551907070264
anweight,0.006532109909115191,0.006532109909115197
netusoft,0.005599523992717099,0.005599523992717105
netustm,0.005199320990493779,0.00519932099049378
ppltrst,0.004585650694353942,0.0045856506943539365
pplhlp,0.005245711520654655,0.005245711520654655
polintr,0.0029797615883677166,0.0029797615883677144
psppsgva,0.003573697926619446,0.003573697926619444
psppipla,4.116104674042357e-05,4.11610467404259e-05
trstplc,0.0009877101241046664,0.0009877101241046657
trstprl,0.0006054228589446332,0.0006054228589446358
bctprd,3.680638636341891e-05,3.6806386363422294e-05
stfdem,0.0001701498722188631,0.00017014987221886257
stfhlth,0.00266380184256073,0.0026638018425607264
gincdif,5.2412104018020494e-05,5.2412104018021795e-05
hmsacld,0.0007763013888842443,0.0007763013888842487
imdfetn,0.00029829675223158424,0.0002982967522315886
impcntr,0.0001516524494111596,0.00015165244941115638
happy,0.0014836849217451582,0.001483684921745154
sclmeet,0.0019365906635095635,0.0019365906635095572
hlthhmp,6.726790192908306e-05,6.726790192908238e-05
rlgblg,1.6503979864989188e-05,1.6503979864989262e-05
rlgblge,1.0924631723914012e-05,1.0924631723913309e-05
dscrgrp,9.950932064259493e-06,9.950932064259344e-06
dscrrlg,0.0002620895575960813,0.0002620895575960796
dscrage,6.970711073361395e-06,6.970711073360602e-06
dscrgnd,1.5882416430095368e-05,1.588241643009616e-05
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.1951411506013021e-05,1.1951411506012327e-05
elgwind,0.0014142968314348134,0.0014142968314348114
elgbio,0.0034998495167902406,0.003499849516790255
wrdpimp,0.004199824239947741,0.004199824239947743
wrtcfl,0.00019480323840966515,0.00019480323840966455
clmchng,0.0013217441807668884,0.001321744180766892
lkredcc,0.0002948047205362042,0.00029480472053621117
slvpens,0.002842400402171083,0.00284240040217108
sbstrec,0.0011294249585225673,0.0011294249585225688
sbbsntx,0.00038858699524806165,0.00038858699524806534
imsclbn,0.004255337743731268,0.004255337743731266
uentrjb,0.000913728900483175,0.000913728900483169
wrkprbf,0.00014270121927225442,0.00014270121927225537
lkuemp,0.0011024276313793952,0.001102427631379397
gndr,0.002125826631845469,0.002125826631845476
gndr3,4.441562373147716e-05,4.441562373147756e-05
yrbrn2,0.00017181966840945997,0.00017181966840946057
rshipa3,1.67365093410072e-05,1.6736509341006407e-05
dvrcdeva,1.1338677083927688e-05,1.1338677083924962e-05
maritalb,0.00012510287724047762,0.00012510287724047114
cmsrv,7.197548134157068e-06,7.1975481341583075e-06
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,2.079126651601406e-05,2.0791266516011827e-05
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,3.08044438090921e-05,3.0804443809090225e-05
edulvlfb,0.00028255397356164,0.0002825539735616383
occf14b,1.0719275188775184e-05,1.0719275188776274e-05
occm14b,5.962502850583029e-06,5.962502850583723e-06
imprich,0.0005443393025188336,0.0005443393025188364
ipeqopt,6.71706307874863e-05,6.71706307874869e-05
impdiff,9.181179054498477e-05,9.181179054498278e-05
ipsuces,5.405048612791834e-05,5.4050486127919236e-05
inwmms,1.5337933202517434e-05,1.5337933202516218e-05
inwyys,0.00015522871878645712,0.00015522871878645864
