,0,1
cntry,0.01689717401563091,0.0168971740156309
pspwght,0.0010447409950537227,0.0010447409950537026
anweight,0.014836306993440093,0.0148363069934401
nwspol,0.00040411558041729076,0.0004041155804172856
netustm,0.009882387532627095,0.0098823875326271
ppltrst,0.0012907695060370439,0.0012907695060370443
pplhlp,0.0022521373871272985,0.0022521373871272907
polintr,0.008320211109405921,0.008320211109405923
psppsgva,8.726381629947258e-05,8.726381629947179e-05
psppipla,4.234386292143891e-05,4.234386292143296e-05
trstlgl,1.1298755403957701e-05,1.129875540395453e-05
trstplc,5.0273010636062355e-05,5.027301063606453e-05
trstplt,1.1125069626511623e-06,1.1125069626479904e-06
trstprl,0.00012970914088636476,0.00012970914088636991
pbldmn,6.50184086786584e-06,6.501840867867029e-06
bctprd,2.6606061818941285e-05,2.6606061818941285e-05
stfdem,3.099754237687047e-05,3.099754237687166e-05
gincdif,1.7554826084872116e-05,1.755482608487628e-05
mnrgtjb,2.1171239968051568e-05,2.1171239968046415e-05
imsmetn,2.568463530699315e-05,2.5684635306995132e-05
imdfetn,3.477525037808571e-05,3.477525037808472e-05
imwbcnt,0.00013647292444883392,0.0001364729244488363
happy,2.922232235067371e-05,2.9222322350681442e-05
hlthhmp,3.2466075655479545e-05,3.2466075655473196e-05
rlgblg,0.0,0.0
rlgblge,4.09027077857671e-05,4.0902707785768684e-05
dscrgrp,3.5680669596313156e-06,3.5680669596313156e-06
dscrrlg,6.99699387590775e-06,6.996993875913301e-06
dscrage,0.0,0.0
dscrgnd,6.555785148882173e-06,6.555785148885345e-06
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.3375426060484307e-05,1.3375426060485498e-05
elgnuc,3.5385760584753986e-05,3.5385760584756764e-05
elgwind,3.5136279611724545e-05,3.513627961173525e-05
elgbio,6.122318808051855e-06,6.122318808051855e-06
wrenexp,1.5800789900282425e-05,1.580078990028203e-05
wrtcfl,9.261457264807419e-05,9.261457264807934e-05
wrtratc,1.73866002844739e-05,1.738660028448104e-05
lkredcc,0.00014537677035170846,0.00014537677035170925
dfincac,4.953576918418079e-05,4.9535769184172064e-05
sbeqsoc,1.9067404073807345e-05,1.9067404073807345e-05
imsclbn,1.9360315157299476e-05,1.9360315157298683e-05
uentrjb,7.755957730582384e-05,7.755957730582305e-05
lknemny,3.8336742881633515e-05,3.833674288163094e-05
gndr,1.5988626888866128e-05,1.5988626888863353e-05
yrbrn,2.8980579748206463e-05,2.8980579748206267e-05
yrbrn3,0.28377488011147156,0.2837748801114715
rshipa3,0.0027298295722149317,0.0027298295722149313
maritalb,0.0002490571608205094,0.0002490571608205106
uempla,4.1572612666580305e-05,4.1572612666590415e-05
cmsrv,3.8692208668811886e-05,3.869220866881506e-05
hswrk,4.7994089537641205e-05,4.7994089537643184e-05
dngdk,0.0,0.0
dngna,2.8670397510857647e-05,2.867039751087589e-05
icomdng,2.136724110028608e-05,2.1367241100288457e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,9.971687786316678e-06,9.971687786316678e-06
isco08,3.385182488249388e-05,3.385182488249943e-05
edulvlfb,0.0,0.0
occf14b,5.635457907053252e-05,5.6354579070527765e-05
occm14b,2.3790022483605575e-05,2.3790022483609142e-05
imprich,0.0,0.0
ipshabt,2.4946577474025045e-05,2.494657747402207e-05
impdiff,2.8159798781813533e-05,2.8159798781815912e-05
inwmms,3.578476001452831e-05,3.578476001452692e-05
inwyys,3.536890416288534e-05,3.536890416286195e-05
inwdde,2.6632051948295907e-05,2.6632051948297492e-05
