,0,1
cntry,0.07607924110656723,0.07607924110656726
pspwght,0.01333895760611162,0.013338957606111614
anweight,0.03999036160189477,0.03999036160189476
nwspol,0.055200664570004804,0.0552006645700048
netustm,0.0193020756476798,0.019302075647679783
ppltrst,0.026098355524737805,0.026098355524737788
pplhlp,0.017647234724288436,0.017647234724288443
polintr,0.02252807073504477,0.022528070735044772
psppsgva,0.00016341697931750979,0.00016341697931751054
actrolga,0.000512505899717307,0.0005125058997173092
psppipla,0.0003462750331227485,0.0003462750331227393
trstplc,0.0008367132064130346,0.0008367132064130346
trstplt,0.00026295016550748133,0.0002629501655074756
trstprl,0.0004458713077270402,0.0004458713077270424
wrkprty,0.0003113273994755214,0.00031132739947551806
pbldmn,0.01123882788478106,0.011238827884781049
bctprd,0.00026649654151149435,0.0002664965415115039
stfdem,0.0002900625059616889,0.00029006250596168786
gincdif,0.0007167704749936352,0.0007167704749936357
imsmetn,0.0004923076641506509,0.0004923076641506391
imdfetn,0.00010486643674489015,0.00010486643674489415
imueclt,0.0002479980483833355,0.00024799804838333627
happy,0.00020056857771672047,0.0002005685777167288
sclmeet,0.00013363711685904743,0.0001336371168590519
sclact,0.0002615640525005353,0.0002615640525005279
hlthhmp,0.004162801886243633,0.004162801886243636
rlgblg,0.0003384504363031706,0.00033845043630317085
rlgblge,0.0003196694419610407,0.000319669441961033
pray,0.00042840033936850146,0.00042840033936849403
dscrgrp,0.00028104701207943997,0.0002810470120794413
dscrage,0.0002840643772521433,0.00028406437725214163
dscrgnd,0.0004517960330698474,0.00045179603306985
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.00015369666338831015,0.00015369666338830223
elgnuc,0.002502403894159727,0.002502403894159744
elgwind,0.00017942454720549852,0.00017942454720549941
elgbio,0.00029755384683133025,0.00029755384683131497
wrpwrct,0.0003657475951836777,0.00036574759518366763
wrtcfl,0.00031306772699454653,0.0003130677269945394
wrtratc,0.00028659492497163557,0.00028659492497163573
lkredcc,0.00025325695467059625,0.0002532569546706003
slvpens,0.00023453309608707144,0.00023453309608705673
sblazy,0.00017291606490137706,0.00017291606490137077
admub,0.00014219287028843707,0.00014219287028843786
lkuemp,0.00020085479320755076,0.0002008547932075504
gndr3,0.0009507101895707145,0.000950710189570726
yrbrn2,0.12822721895776176,0.12822721895776176
rshipa3,0.003334671976714475,0.00333467197671448
chldhm,0.01169107699018167,0.011691076990181678
dsbld,0.00048282353400572046,0.0004828235340057173
cmsrv,0.0002592653032098818,0.00025926530320988104
hswrk,0.0003322588952320199,0.00033225889523202446
dngdk,0.0,0.0
dngna,0.0007414299385885558,0.0007414299385885557
icomdng,0.0007328975938682872,0.0007328975938682784
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.004394018606265236,0.0043940186062652355
iorgact,0.0041758776942501345,0.004175877694250127
uemplap,0.10600877022709296,0.10600877022709293
edulvlfb,0.0004966808478676943,0.0004966808478676899
occf14b,0.0002143421245384961,0.00021434212453849347
occm14b,0.00047529563070909306,0.0004752956307090923
imprich,0.0002228698841605794,0.00022286988416058635
ipeqopt,0.00047826908231618384,0.000478269082316189
impdiff,9.625208659327605e-05,9.62520865932805e-05
ipmodst,0.00028326554972554654,0.00028326554972558747
inwmms,0.0003368416337817342,0.00033684163378173716
inwyys,0.00021993058904853845,0.0002199305890485543
