,0,1
cntry,0.0765714273212358,0.07657142732123581
pspwght,0.012846816290388334,0.012846816290388323
anweight,0.040679272495221075,0.04067927249522107
nwspol,0.055387335813165385,0.055387335813165385
netustm,0.018104983298630473,0.01810498329863047
ppltrst,0.02598551988094093,0.02598551988094093
pplhlp,0.01720106507447272,0.017201065074472707
polintr,0.022547720384055184,0.022547720384055177
psppsgva,0.00019693886984179846,0.00019693886984180085
actrolga,0.00021371639669513632,0.000213716396695139
psppipla,0.00020747130696028342,0.00020747130696027158
trstplc,0.0005260150425454087,0.0005260150425454042
trstplt,0.0005526083637670939,0.000552608363767103
trstprl,0.00021708300794067199,0.00021708300794067676
wrkprty,0.00031264857926052535,0.00031264857926052177
pbldmn,0.011512284657351955,0.011512284657351955
bctprd,0.00031665410628012276,0.0003166541062801269
stfdem,0.0004619227607797955,0.00046192276077979314
gincdif,0.0006589707890756569,0.0006589707890756513
imsmetn,0.00018641685221502152,0.00018641685221501954
imdfetn,0.0001787776052135953,0.00017877760521359847
imueclt,0.0003207990556057337,0.0003207990556057173
happy,0.0001663318383756015,0.0001663318383756003
sclmeet,0.00020722687894633677,0.00020722687894633759
sclact,0.00034631297571874174,0.0003463129757187341
hlthhmp,0.00421961427796021,0.004219614277960226
rlgblg,6.959552631533742e-05,6.959552631533504e-05
rlgblge,0.00021916764341593984,0.00021916764341593925
pray,0.0003358839630293346,0.0003358839630293306
dscrgrp,0.00040295101453501883,0.0004029510145350212
dscrage,0.00012237576892610094,0.00012237576892610173
dscrgnd,0.00025927381434367655,0.00025927381434366707
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.00017973835383978438,0.0001797383538397836
elgnuc,0.002212212573957323,0.0022122125739573286
elgwind,0.00016269006045078392,0.0001626900604507863
elgbio,0.0001652477670777543,0.00016524776707775143
wrpwrct,0.00024848915164914714,0.000248489151649141
wrtcfl,0.0002016204884759311,0.0002016204884759311
ccnthum,0.00029501254212280025,0.0002950125421228044
lkredcc,0.00022364934791380844,0.00022364934791380567
slvpens,8.380130887245868e-05,8.380130887245204e-05
sblazy,0.00026592289310539203,0.0002659228931053828
lkuemp,0.00011411621883316946,0.00011411621883316134
gndr3,0.0009571827457075964,0.0009571827457076036
yrbrn2,0.13131639076610319,0.13131639076610319
rshipa3,0.003173726167661653,0.003173726167661651
maritalb,0.012228173941118792,0.01222817394111883
dsbld,0.00048433494304693297,0.0004843349430469404
cmsrv,0.00034418137769359004,0.0003441813776935853
hswrk,0.00021536581543712803,0.00021536581543712664
dngdk,0.0,0.0
dngna,0.000683622281581307,0.0006836222815813008
icomdng,0.00037450282340181643,0.00037450282340182033
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.004097876118970714,0.004097876118970702
iorgact,0.004057229290512632,0.004057229290512631
uemplap,0.10722448983411748,0.10722448983411746
edulvlfb,0.0003308315761274359,0.00033083157612743197
occf14b,0.00020382758465577864,0.00020382758465577864
occm14b,0.00019054892477924506,0.00019054892477923932
imprich,0.00036373932730445244,0.00036373932730444805
ipeqopt,0.0003327404246544408,0.00033274042465443254
impdiff,0.00036804412922041674,0.0003680441292204242
inwmms,0.0002510035217891782,0.00025100352178917775
inwyys,0.0002430841723525213,0.00024308417235252406
