,0,1
cntry,0.0002835166523728476,0.00028351665237284643
pspwght,0.0001537608662653163,0.00015376086626531614
anweight,0.0011518286452084786,0.0011518286452084777
nwspol,0.0001229554345241218,0.00012295543452412025
netustm,0.004907711155917677,0.0049077111559176845
ppltrst,0.0005639552112256216,0.0005639552112256224
pplhlp,0.0011051878417619927,0.0011051878417619892
polintr,0.00016344571623711168,0.00016344571623711597
psppsgva,0.0,0.0
psppipla,0.0,0.0
trstplc,0.0,0.0
trstprl,0.0,0.0
contplt,0.0,0.0
wrkprty,0.0,0.0
pbldmn,4.1695969613910016e-05,4.169596961390888e-05
bctprd,4.559724627625004e-06,4.559724627625475e-06
stfdem,0.0,0.0
gincdif,0.0,0.0
freehms,0.0,0.0
hmsacld,0.0,0.0
imsmetn,0.0,0.0
imdfetn,0.0,0.0
imwbcnt,0.0,0.0
happy,0.0,0.0
sclact,0.0,0.0
atchctr,0.0,0.0
atcherp,0.0,0.0
pray,0.0,0.0
dscrgrp,0.0,0.0
dscrage,0.0,0.0
dscrgnd,0.0,0.0
ctzcntr,0.0,0.0
lnghom1,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgngas,0.0,0.0
elgnuc,0.0,0.0
elgbio,0.0,0.0
wrdpfos,0.0,0.0
wrtcfl,0.0,0.0
wrtratc,0.0,0.0
lkredcc,0.0,0.0
gvsrdcc,0.0,0.0
banhhap,0.0,0.0
slvpens,0.0,0.0
sbeqsoc,0.0,0.0
sbbsntx,0.0,0.0
imsclbn,0.0,0.0
admub,0.0,0.0
basinc,0.0,0.0
lkuemp,5.5321536005827565e-06,5.532153600582546e-06
hhmmb,0.0,0.0
gndr3,6.317203446742369e-05,6.317203446742244e-05
yrbrn2,0.0,0.0
yrbrn3,0.0,0.0
icpart1,0.0003640172821991579,0.0003640172821991511
lvgptnea,2.853069464235227e-05,2.853069464235222e-05
dvrcdeva,7.579697926911041e-05,7.57969792691092e-05
chldhm,0.0,0.0
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.08401729848978222,0.0840172984897822
edulvlfb,0.0,0.0
occf14b,0.0,0.0
occm14b,0.0,0.0
imprich,0.0,0.0
ipeqopt,0.0,0.0
ipshabt,0.0,0.0
impdiff,0.0,0.0
ipfrule,0.0,0.0
inwmms,0.0,0.0
inwyys,0.0,0.0
