,0,1
cntry,0.002760368413583075,0.002760368413583091
pspwght,0.0010436906836278584,0.001043690683627873
anweight,0.0020631213828910225,0.0020631213828910264
nwspol,0.0010053696939031614,0.001005369693903152
netustm,0.004423468408790296,0.004423468408790313
ppltrst,0.0018604063390350192,0.0018604063390350296
pplhlp,0.0020018092043059097,0.0020018092043058958
polintr,0.0014741116852503395,0.001474111685250356
psppsgva,8.541112743023998e-05,8.5411127430238e-05
psppipla,2.4589256886168548e-05,2.4589256886165376e-05
trstplc,4.38588400933203e-05,4.38588400933199e-05
trstprl,1.7979261727832473e-05,1.797926172783257e-05
wrkprty,1.98880929689324e-05,1.9888092968932998e-05
pbldmn,0.0003649166700986913,0.0003649166700986879
bctprd,2.6201899189739634e-05,2.6201899189737157e-05
stfdem,3.219330712605257e-05,3.2193307126053364e-05
gincdif,4.7321542917974836e-05,4.7321542917973446e-05
freehms,1.7016686367794006e-05,1.7016686367794202e-05
hmsacld,2.9362684389876556e-05,2.936268438987606e-05
imsmetn,4.406337166197197e-05,4.40633716619694e-05
imdfetn,1.482376248205321e-05,1.482376248205202e-05
imwbcnt,5.231261552889927e-05,5.231261552890185e-05
happy,3.709174093858629e-05,3.709174093858658e-05
sclact,4.203199226432181e-05,4.203199226431864e-05
atchctr,2.1297750217696877e-05,2.1297750217696976e-05
atcherp,2.7368694789498588e-05,2.736869478949532e-05
rlgblg,3.3590695453813795e-05,3.35906954538122e-05
pray,1.597390426451731e-05,1.5973904264516914e-05
dscrgrp,1.0484235853001107e-05,1.0484235853002098e-05
dscrrce,0.0,0.0
dscrage,1.7422346253943446e-05,1.742234625394206e-05
dscrgnd,3.036881244913918e-05,3.0368812449137193e-05
ctzcntr,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.471828027339643e-05,1.4718280273394644e-05
elgnuc,6.157690178299093e-05,6.157690178298835e-05
elgbio,2.525739838483728e-05,2.5257398384835197e-05
wrdpfos,0.0,0.0
wrtcfl,1.3426425429987977e-05,1.3426425429984806e-05
wrtratc,4.254459636464369e-06,4.254459636464369e-06
lkredcc,4.0445552592831875e-05,4.0445552592831875e-05
gvsrdcc,1.6003755385256874e-05,1.600375538525846e-05
banhhap,2.0221273692073398e-05,2.022127369207221e-05
slvpens,1.6494318063240657e-05,1.649431806324165e-05
sbeqsoc,2.6463929022579088e-05,2.646392902257393e-05
sbbsntx,1.3602776169108507e-05,1.3602776169109004e-05
imsclbn,4.8032855776286976e-05,4.8032855776283107e-05
admub,4.76776133885167e-05,4.7677613388516504e-05
wrkprbf,3.408281081901992e-05,3.408281081901962e-05
lkuemp,1.255369359533897e-05,1.2553693595338375e-05
gndr,2.9213414233907547e-05,2.921341423390517e-05
gndr3,0.0002571608100936894,0.0002571608100936834
yrbrn2,3.980720167632607e-05,3.980720167632647e-05
yrbrn3,0.0,0.0
icpart1,0.0013780708683701905,0.0013780708683701734
dvrcdeva,0.0004209819495851039,0.00042098194958509926
chldhm,2.81595071278675e-05,2.8159507127864922e-05
cmsrv,6.206743532139914e-05,6.206743532139835e-05
hswrk,2.5278740744497693e-05,2.527874074449928e-05
dngdk,0.0,0.0
dngna,7.743121692603946e-06,7.743121692602757e-06
icomdng,3.318587309711163e-05,3.318587309711015e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.06882991678423717,0.06882991678423715
wkhct,0.02588693518254653,0.0258869351825465
edulvlfb,4.122356881598197e-05,4.122356881598514e-05
occf14b,2.5299378421193743e-05,2.529937842119414e-05
occm14b,3.892229113489413e-05,3.892229113489076e-05
imprich,5.188700772859065e-05,5.1887007728590256e-05
ipeqopt,5.263101203960226e-05,5.263101203960345e-05
ipshabt,1.498518488085814e-05,1.4985184880858933e-05
impdiff,2.3897162747449352e-05,2.3897162747449152e-05
ipfrule,3.8485109525146895e-05,3.84851095251465e-05
inwmms,1.7144607813808698e-05,1.7144607813808498e-05
inwyys,2.7918262894670506e-05,2.7918262894667335e-05
