,0,1
cntry,0.00023702295586803496,0.00023702295586803756
pspwght,0.00012968160932656916,0.00012968160932656735
anweight,0.0011322591581546856,0.0011322591581546884
nwspol,0.00013249225142486466,0.00013249225142487135
netustm,0.004410338651039179,0.004410338651039162
ppltrst,0.000468355138044571,0.0004683551380445687
pplhlp,0.0010276678361997315,0.0010276678361997406
polintr,0.00013523932311096563,0.00013523932311096634
psppsgva,2.4040323865599808e-05,2.404032386559987e-05
psppipla,0.0,0.0
trstplc,0.0,0.0
trstprl,0.0,0.0
contplt,0.0,0.0
wrkprty,0.0,0.0
pbldmn,6.59703978761792e-05,6.59703978761835e-05
bctprd,0.0,0.0
stfdem,0.0,0.0
gincdif,0.0,0.0
freehms,0.0,0.0
hmsacld,4.233614743600236e-06,4.233614743599926e-06
imsmetn,0.0,0.0
imdfetn,0.0,0.0
imwbcnt,0.0,0.0
happy,0.0,0.0
sclact,0.0,0.0
atchctr,0.0,0.0
atcherp,0.0,0.0
pray,0.0,0.0
dscrgrp,0.0,0.0
dscrage,0.0,0.0
dscrgnd,0.0,0.0
ctzcntr,0.0,0.0
lnghom1,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgcoal,0.0,0.0
elgnuc,0.0,0.0
elgbio,0.0,0.0
wrenexp,3.135976583395828e-06,3.13597658339628e-06
wrdpfos,0.0,0.0
wrtcfl,0.0,0.0
wrtratc,0.0,0.0
lkredcc,0.0,0.0
gvsrdcc,0.0,0.0
banhhap,0.0,0.0
slvpens,0.0,0.0
sbbsntx,0.0,0.0
imsclbn,0.0,0.0
admub,0.0,0.0
basinc,0.0,0.0
lkuemp,0.0,0.0
gndr,0.0,0.0
gndr3,7.34820470842552e-05,7.348204708425716e-05
yrbrn2,0.0,0.0
yrbrn3,0.0,0.0
icpart1,0.000397585843260218,0.00039758584326023166
dvrcdeva,9.140301527102866e-05,9.140301527103081e-05
chldhm,0.0,0.0
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
iorgact,0.08481185958276526,0.08481185958276531
edulvlfb,0.0,0.0
occf14b,0.0,0.0
occm14b,0.0,0.0
imprich,0.0,0.0
ipeqopt,0.0,0.0
ipshabt,0.0,0.0
impdiff,0.0,0.0
ipfrule,0.0,0.0
ipudrst,0.0,0.0
inwmms,0.0,0.0
inwyys,0.0,0.0
