,0,1
cntry,0.0018551353223222639,0.00185513532232227
pspwght,0.001190211303176197,0.0011902113031762025
anweight,0.0021668275176141972,0.0021668275176142003
nwspol,0.0010461166537363196,0.001046116653736321
netusoft,0.002783333825827782,0.0027833338258277805
netustm,0.0018285357256928984,0.0018285357256929012
ppltrst,0.0025206461498807784,0.002520646149880783
pplhlp,0.0021710431829446864,0.0021710431829446916
polintr,0.0015455908441857754,0.0015455908441857791
psppsgva,0.00015930846130352564,0.0001593084613035298
psppipla,3.901358544505832e-06,3.9013585445066e-06
trstplc,0.0,0.0
trstprl,2.950820831010777e-06,2.9508208310110246e-06
contplt,0.0,0.0
wrkprty,3.4924840336919746e-05,3.492484033692155e-05
bctprd,3.888238115828822e-06,3.888238115828946e-06
stfdem,0.0,0.0
stfhlth,2.4051703537100733e-05,2.405170353710285e-05
gincdif,6.3344836070036656e-06,6.334483607004722e-06
mnrgtjb,2.7222456200806158e-06,2.7222456200813595e-06
imsmetn,8.826714853055765e-06,8.826714853055797e-06
imdfetn,6.661807010813401e-07,6.66180701081588e-07
impcntr,7.668827901802227e-06,7.668827901802623e-06
imueclt,5.928969035936758e-06,5.928969035937117e-06
happy,6.707560819338808e-05,6.707560819338865e-05
sclact,2.6008553661214656e-05,2.6008553661214154e-05
hlthhmp,0.0,0.0
rlgblg,8.595573317520535e-06,8.595573317522952e-06
rlgblge,5.221084831000454e-06,5.221084831000491e-06
rlgatnd,4.383683051070805e-06,4.383683051071065e-06
dscrgrp,1.355490509882836e-06,1.3554905098824147e-06
dscrrlg,0.0,0.0
dscrage,7.309025444807941e-06,7.309025444809143e-06
dscrgnd,3.9323861954526195e-06,3.932386195452371e-06
dscrna,3.6062038974989803e-06,3.606203897499327e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,3.313598313352311e-07,3.3135983133562764e-07
elgcoal,0.0001422862321583803,0.0001422862321583824
elgbio,0.00011293882466505064,0.00011293882466504813
wrenexp,3.686135035498509e-05,3.686135035498322e-05
wrtcfl,7.755923251383506e-06,7.755923251384379e-06
lkredcc,7.277941408659202e-06,7.277941408660131e-06
lklmten,7.227368661651507e-06,7.227368661651258e-06
banhhap,2.2634641188674475e-05,2.2634641188679534e-05
slvpens,8.699068523907205e-05,8.699068523907358e-05
sbstrec,0.00011627423040769118,0.00011627423040769648
sbbsntx,7.049297904226089e-06,7.049297904226185e-06
imsclbn,0.00033815483089009193,0.00033815483089009464
uentrjb,5.311230964583246e-05,5.31123096458348e-05
wrkprbf,9.011772151942952e-05,9.011772151943017e-05
lknemny,0.00017156234925454563,0.00017156234925454374
gndr,1.1263303759391372e-05,1.126330375939245e-05
yrbrn2,3.704660143905818e-06,3.7046601439057686e-06
rshipa2,2.15907134543005e-06,2.1590713454291085e-06
maritalb,0.0,0.0
uempla,2.206671315558186e-06,2.2066713155581365e-06
cmsrv,2.2229966328300463e-06,2.2229966328303436e-06
hswrk,2.035244513019122e-06,2.035244513019054e-06
dngdk,0.0,0.0
dngna,2.196315220366866e-06,2.196315220367907e-06
icomdng,2.5841204653954657e-06,2.5841204653955152e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,7.2625866990598385e-06,7.26258669906122e-06
icpart3,1.2729551051459766e-05,1.2729551051460855e-05
pdwrkp,0.0,0.0
edulvlfb,2.9758865781897455e-06,2.975886578190898e-06
occf14b,0.0,0.0
edulvlmb,4.356665620464602e-06,4.356665620465296e-06
imprich,2.9250341596965994e-05,2.9250341596965364e-05
ipshabt,0.0,0.0
impsafe,1.1012851430843551e-05,1.1012851430844542e-05
ipmodst,4.1894605272248525e-06,4.189460527225013e-06
inwmms,3.2624377420201935e-06,3.2624377420202926e-06
inwyys,1.0467318122542312e-07,1.0467318122527444e-07
