,0,1
cntry,0.004727329064205651,0.00472732906420564
pspwght,0.009556199505092988,0.009556199505092988
anweight,0.0016953922657433858,0.0016953922657433915
nwspol,0.0012014328722204425,0.0012014328722204403
netusoft,0.0018597581816693044,0.0018597581816692953
netustm,0.001831110210367058,0.0018311102103670477
ppltrst,0.0028853284624230703,0.0028853284624230533
pplhlp,0.0017862097136955358,0.0017862097136955198
polintr,0.0017686318446642369,0.001768631844664224
psppsgva,0.09841130431307112,0.0984113043130711
psppipla,0.0,0.0
trstplt,1.7152073612761165e-06,1.7152073612761165e-06
trstprt,0.0,0.0
trstprl,4.105830210681037e-06,4.105830210680641e-06
contplt,1.3038175270513816e-05,1.3038175270511734e-05
wrkprty,0.0,0.0
bctprd,1.2658741748687586e-05,1.2658741748687586e-05
stfdem,2.54298513921969e-05,2.5429851392195612e-05
gincdif,8.441190002616521e-06,8.441190002615926e-06
mnrgtjb,0.0,0.0
hmsfmlsh,6.80299040369576e-07,6.802990403705673e-07
euftf,4.355638310660125e-05,4.3556383106597486e-05
imdfetn,1.38269255967222e-05,1.3826925596719922e-05
impcntr,2.9428084248532748e-05,2.9428084248533737e-05
happy,0.0,0.0
hlthhmp,0.0,0.0
rlgblge,0.0,0.0
dscrgrp,0.0,0.0
dscrrce,5.077532448127977e-05,5.077532448128354e-05
dscrage,7.783216545776644e-07,7.783216545774661e-07
dscrgnd,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgnuc,8.86615691162678e-07,8.86615691161885e-07
elgbio,0.0,0.0
wrenexp,8.261666769458141e-05,8.261666769458676e-05
wrtcfl,8.44998727025023e-06,8.449987270250529e-06
wrtratc,0.00010063691719603497,0.00010063691719602695
lkredcc,3.849821883392509e-06,3.849821883392806e-06
gvsrdcc,1.194074634678791e-06,1.1940746346789893e-06
slvuemp,8.543390963617674e-06,8.543390963618169e-06
sbbsntx,3.443883200179715e-05,3.4438832001795365e-05
imsclbn,3.4372220103847124e-05,3.437222010384633e-05
admub,9.288195939046788e-06,9.288195939046788e-06
wrkprbf,0.0,0.0
lkuemp,4.687359123687816e-05,4.687359123687757e-05
gndr2,6.398469427297043e-05,6.398469427296131e-05
yrbrn2,6.442447462409541e-06,6.442447462409541e-06
rshipa2,0.0,0.0
icpart1,2.754186643934485e-06,2.754186643934485e-06
maritalb,1.4631777791705614e-05,1.4631777791705614e-05
dsbld,1.5653943747162161e-06,1.5653943747150267e-06
cmsrv,1.6515787448462272e-06,1.651578744846029e-06
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,6.80810034722796e-06,6.8081003472295465e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0,0.0
iorgact,2.0517682521657898e-06,2.051768252165988e-06
icpart3,0.00014196015621977095,0.00014196015621977432
edulvlfb,0.0006103220925996541,0.0006103220925996551
occf14b,0.0,0.0
imprich,0.0,0.0
ipeqopt,0.0,0.0
impdiff,0.0,0.0
ipmodst,4.666572457802586e-06,4.666572457803378e-06
impfree,6.422359727306846e-06,6.422359727304864e-06
inwmms,3.023974211924241e-07,3.0239742119282056e-07
inwyys,0.00018751325565396313,0.0001875132556539576
