,0,1
cntry,0.0014607340769529572,0.0014607340769529548
pspwght,0.0019585311393258515,0.001958531139325852
anweight,0.001327351779766135,0.0013273517797661397
nwspol,0.0009583557285875165,0.0009583557285875177
netusoft,0.0007335259843752143,0.0007335259843752152
netustm,0.001962552861812491,0.001962552861812491
ppltrst,0.0015375825869010098,0.0015375825869010083
pplhlp,0.001011177138302612,0.0010111771383026222
psppsgva,0.0003878015834755686,0.0003878015834755657
psppipla,2.0670329733885443e-05,2.0670329733884897e-05
trstplc,4.845860087774808e-06,4.8458600877759485e-06
trstprl,2.0103609083284196e-05,2.0103609083282898e-05
wrkprty,0.00018079713457146615,0.00018079713457146615
pbldmn,8.695429786894647e-06,8.695429786893173e-06
bctprd,1.647651297400741e-06,1.6476512973991797e-06
stfhlth,1.3305352623831016e-05,1.330535262383327e-05
gincdif,0.0,0.0
imsmetn,1.5159801883976438e-05,1.5159801883978222e-05
imdfetn,4.103248220021763e-06,4.103248220023696e-06
happy,0.00021514775515148703,0.00021514775515148752
hlthhmp,1.473035394686884e-06,1.4730353946865865e-06
rlgblg,0.0,0.0
rlgblge,1.0623406834348236e-06,1.0623406834342783e-06
dscrgrp,5.7836139873456166e-06,5.783613987344824e-06
dscrage,1.192275617556517e-05,1.192275617556336e-05
dscrgnd,8.296001231253589e-07,8.296001231247146e-07
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,3.1510750039057373e-06,3.1510750039061337e-06
elgnuc,0.0004160660040470688,0.00041606600404706844
elgbio,0.000749350827996316,0.0007493508279963199
wrenexp,0.0007147791121696861,0.0007147791121696846
wrtcfl,7.498924698704221e-05,7.498924698704344e-05
clmchng,0.0003718825948395762,0.00037188259483957313
lklmten,0.00786241422118315,0.007862414221183143
inctxff,0.008000064406958666,0.00800006440695867
slvpens,0.0004140830107392112,0.00041408301073921273
sbprvpv,1.8619477075282134e-05,1.861947707528238e-05
sbbsntx,4.49684375114799e-05,4.496843751148039e-05
imsclbn,0.0006647147953417726,0.0006647147953417757
uentrjb,0.00011498305826793145,0.0001149830582679348
wrkprbf,1.4519558204673729e-05,1.4519558204673214e-05
lkuemp,8.668369375559114e-05,8.66836937555905e-05
gndr,0.00013284876603718486,0.00013284876603718602
gndr3,1.028112829308999e-05,1.02811282930875e-05
yrbrn2,0.0,0.0
rshipa3,4.1764963863536294e-06,4.176496386353977e-06
dvrcdeva,6.031090914422994e-06,6.031090914423809e-06
maritalb,4.07348660961287e-06,4.073486609613539e-06
eisced,3.8146421436737507e-06,3.814642143673007e-06
edctn,2.3729543442113097e-06,2.372954344211855e-06
cmsrv,3.834295107633053e-06,3.834295107632408e-06
hswrk,7.386219290393482e-07,7.386219290401413e-07
dngdk,0.0,0.0
dngna,2.8337858771520964e-06,2.833785877151006e-06
icomdng,3.294498249981467e-06,3.2944982499811694e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0,0.0
iorgact,8.141540554951198e-07,8.141540554954668e-07
edulvlfb,1.1988344178215915e-05,1.1988344178217577e-05
occf14b,4.566178079611518e-06,4.566178079611022e-06
occm14b,3.7270720077302064e-06,3.7270720077287936e-06
imprich,8.549168964002382e-05,8.549168964002156e-05
ipshabt,1.3154943641096208e-05,1.3154943641095217e-05
impsafe,2.26978092907623e-05,2.2697809290765126e-05
impdiff,1.1810564773572893e-05,1.18105647735748e-05
ipmodst,0.0001159520018650547,0.00011595200186505389
inwmms,0.0,0.0
inwyys,3.6448803947040325e-06,3.6448803947025455e-06
