,0,1
cntry,0.0006268604613358851,0.0006268604613358982
pspwght,0.00031315258632483956,0.0003131525863248305
anweight,0.002118228410800094,0.0021182284108000895
nwspol,0.00042016830707144196,0.0004201683070714452
netusoft,0.0007089212265047848,0.0007089212265047915
netustm,0.0008513313263849203,0.0008513313263849145
ppltrst,0.0004466396599517343,0.0004466396599517325
pplhlp,0.004763573874679683,0.004763573874679682
psppsgva,0.0,0.0
psppipla,0.0,0.0
trstlgl,0.0,0.0
trstplc,0.0,0.0
trstep,5.140357372693646e-07,5.140357372646065e-07
trstprl,5.256032138260665e-06,5.2560321382553115e-06
contplt,1.0740913568903419e-05,1.074091356889549e-05
wrkprty,0.0,0.0
pbldmn,2.21030049505038e-06,2.21030049505038e-06
bctprd,2.4557482908164698e-05,2.455748290816549e-05
stfdem,5.735910937792228e-07,5.735910937823948e-07
gincdif,5.917080782965758e-07,5.917080782965758e-07
imsmetn,6.704276269333041e-07,6.704276269348902e-07
imdfetn,2.7160706635363597e-07,2.7160706635046394e-07
happy,0.0,0.0
sclmeet,1.1307332582176167e-06,1.130733258222375e-06
hlthhmp,6.564322095448106e-07,6.564322095448106e-07
rlgblge,0.0,0.0
rlgatnd,0.0,0.0
dscrgrp,3.6314560243703203e-06,3.631456024363084e-06
dscrage,0.0,0.0
dscrgnd,1.2167191014616258e-06,1.216719101466384e-06
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,1.693605207033409e-05,1.6936052070324674e-05
elgcoal,0.0,0.0
elgwind,8.22392264732943e-06,8.223922647328836e-06
elgbio,0.0,0.0
wrdpfos,0.0,0.0
wrtcfl,1.4174297680437575e-06,1.4174297680485155e-06
wrtratc,1.8223629629047064e-06,1.8223629629015342e-06
lkredcc,0.0,0.0
inctxff,5.646610882299135e-07,5.646610882283274e-07
gvslvue,3.7892238800970746e-07,3.7892238800812145e-07
sbeqsoc,0.0,0.0
imsclbn,7.961312379095834e-06,7.961312379095388e-06
uentrjb,4.515197297415087e-07,4.515197297446808e-07
basinc,3.0880551518949355e-05,3.0880551518952526e-05
lkuemp,0.0,0.0
gndr,3.424578473065765e-06,3.4245784730594206e-06
gndr3,9.639659162975966e-07,9.639659162991824e-07
yrbrn2,8.012383228374869e-05,8.012383228374598e-05
rshipa3,0.0,0.0
maritalb,0.2759513317737327,0.27595133177373277
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,1.746320796507225e-05,1.746320796506273e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0,0.0
edulvlfb,0.0,0.0
occf14b,3.451872922125565e-05,3.451872922125882e-05
imprich,9.023476761000587e-07,9.023476760937145e-07
ipeqopt,9.9246061115364e-07,9.924606111758446e-07
impdiff,1.1445323710557176e-06,1.1445323710588896e-06
ipmodst,0.0,0.0
inwmms,2.8239123563340256e-05,2.8239123563352945e-05
inwyys,0.0,0.0
