,0,1
cntry,0.008842744331790902,0.008842744331790912
pspwght,0.036708888880505254,0.03670888888050525
anweight,0.03102252290553785,0.03102252290553787
nwspol,0.003501829760935027,0.0035018297609350235
netusoft,0.07689505113071109,0.07689505113071111
netustm,0.03715262349502026,0.03715262349502027
ppltrst,0.007982410478987558,0.007982410478987546
pplhlp,0.011580524880273758,0.011580524880273767
psppsgva,0.006898581982858321,0.006898581982858311
psppipla,0.0009300274455047814,0.0009300274455047826
trstplc,0.019869814082702247,0.019869814082702258
trstprl,0.0012549043096309537,0.001254904309630962
pbldmn,0.009527992752677508,0.009527992752677506
bctprd,0.001403512710592044,0.0014035127105920403
gincdif,0.000737835276658702,0.0007378352766587039
mnrgtjb,0.0010364825081960278,0.0010364825081960224
imsmetn,0.00012471496202617245,0.00012471496202617535
imdfetn,0.00022211911185132506,0.0002221191118513169
happy,0.001182970921132773,0.0011829709211327783
hlthhmp,0.00023523853775403664,0.00023523853775403873
rlgblg,1.016240240771627e-05,1.016240240771669e-05
rlgdnm,0.0003455302207348946,0.00034553022073490034
rlgblge,6.047205326954939e-06,6.0472053269541466e-06
rlgatnd,0.001345883381645707,0.0013458833816456946
pray,0.0007397549636025178,0.0007397549636025254
dscrgrp,2.085047276573691e-05,2.0850472765737012e-05
dscrrlg,1.6964099261531007e-05,1.6964099261527832e-05
dscrage,3.2037294992856173e-06,3.2037294992856173e-06
dscrgnd,1.2272368175146895e-05,1.2272368175146126e-05
ctzcntr,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,7.603675696480539e-05,7.603675696480766e-05
elgcoal,0.0006584614512348889,0.0006584614512348854
elgnuc,0.00016468802508842702,0.00016468802508842414
elgbio,0.0010860232373220663,0.0010860232373220645
wrenexp,0.00010959742528760392,0.00010959742528760255
wrtcfl,1.4658412417178714e-05,1.4658412417178912e-05
clmchng,0.0002493258262063889,0.0002493258262063918
lkredcc,4.4315892933909876e-05,4.431589293390889e-05
banhhap,0.0004749848697029233,0.0004749848697029209
slvpens,0.0005661556874900549,0.0005661556874900568
sbeqsoc,5.039156417910148e-05,5.039156417910148e-05
imsclbn,0.00018003933786116786,0.00018003933786116992
uentrjb,0.0007069678836315465,0.0007069678836315469
bnlwinc,7.877451943041837e-05,7.877451943042175e-05
lkuemp,9.130837167013719e-05,9.130837167013799e-05
lknemny,0.0001139066748452089,0.00011390667484520911
yrbrn2,7.501981703696851e-05,7.501981703697147e-05
yrbrn3,4.150073017102312e-05,4.1500730171023165e-05
dvrcdeva,7.97359707295761e-05,7.973597072957818e-05
maritalb,9.94419496484142e-06,9.944194964840228e-06
dsbld,0.0,0.0
rtrd,3.2600420218095726e-05,3.260042021809731e-05
cmsrv,9.675330795436837e-06,9.675330795435548e-06
hswrk,1.385054572890663e-05,1.3850545728907276e-05
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,1.3154920711390405e-05,1.3154920711388027e-05
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,4.914145350800175e-05,4.91414535079966e-05
edulvlfb,0.00014606573511076807,0.00014606573511077416
occf14b,4.173197183253995e-05,4.173197183254173e-05
imprich,0.00013553953584746536,0.0001355395358474595
ipeqopt,0.0003447468010522193,0.000344746801052212
ipshabt,0.00013310345793006223,0.00013310345793006683
ipfrule,1.397835989344511e-05,1.3978359893443129e-05
ipudrst,1.0105250763200814e-05,1.0105250763200814e-05
inwmms,5.025827072880986e-06,5.025827072880986e-06
inwyys,6.898881700753839e-05,6.898881700753919e-05
inwdde,0.0006573151970693035,0.000657315197069299
