,0,1
cntry,0.0015524763686165146,0.0015524763686165163
pspwght,0.006836845820247744,0.006836845820247742
anweight,0.006522809796563476,0.006522809796563467
nwspol,0.0014935711118555792,0.0014935711118555747
netusoft,0.003054085245254664,0.0030540852452546606
netustm,0.0034647235318873986,0.0034647235318874
ppltrst,0.0017263579639029008,0.0017263579639029071
pplhlp,0.002565616910180856,0.0025656169101808467
polintr,0.0034399038357137263,0.0034399038357137255
psppsgva,0.041720691974453085,0.04172069197445304
psppipla,3.446378991344542e-05,3.4463789913445125e-05
trstplt,3.848204314458543e-05,3.848204314458503e-05
trstprl,4.267738744835781e-05,4.267738744835628e-05
wrkprty,2.959978995343044e-05,2.9599789953427764e-05
bctprd,7.5821893939973355e-06,7.582189393995948e-06
stfdem,5.232376852540453e-05,5.232376852540636e-05
stfhlth,4.324451381840436e-05,4.324451381840097e-05
gincdif,2.7364802270767337e-05,2.7364802270766545e-05
mnrgtjb,4.95195513810608e-05,4.9519551381059515e-05
imsmetn,7.454818756489355e-05,7.454818756489014e-05
imdfetn,0.0004046264058819914,0.0004046264058819974
happy,0.0007612439075031933,0.0007612439075031845
hlthhmp,0.0005533341969880379,0.0005533341969880338
rlgblg,5.65151746258853e-05,5.651517462588668e-05
rlgblge,2.6792970685927308e-05,2.6792970685925475e-05
rlgatnd,2.636673903359547e-05,2.636673903359304e-05
dscrgrp,2.5687985065868166e-05,2.5687985065867326e-05
dscrrce,0.0,0.0
dscrlng,7.084447539868418e-05,7.084447539868398e-05
dscrage,1.9457806502168726e-05,1.9457806502167537e-05
dscrgnd,1.2018335369185843e-05,1.2018335369185843e-05
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elghydr,0.02340122656575557,0.02340122656575554
elgnuc,3.8493263744048186e-05,3.84932637440466e-05
elgbio,0.00025140703577143674,0.0002514070357714368
wrdpfos,4.992656318037742e-05,4.992656318037613e-05
wrtcfl,6.0394095684807325e-05,6.039409568480673e-05
wrtratc,5.36941533632546e-06,5.369415336323378e-06
lkredcc,2.0162643055106e-05,2.0162643055105897e-05
gvsrdcc,2.0144149049583208e-05,2.0144149049583208e-05
slvuemp,0.00018346572285076647,0.000183465722850766
sbbsntx,7.339793046623863e-06,7.339793046623962e-06
imsclbn,0.00022439875557388292,0.00022439875557388536
uentrjb,0.0004275665375027033,0.00042756653750269556
lkuemp,0.0001765375915151529,0.0001765375915151559
gndr3,5.0526184001342085e-06,5.052618400134109e-06
yrbrn2,1.9772621179191746e-05,1.9772621179189344e-05
yrbrn3,2.1618315085713307e-05,2.161831508571182e-05
dvrcdeva,0.0,0.0
maritalb,1.3812492913628515e-06,1.3812492913630497e-06
eisced,2.1575409658423323e-05,2.157540965842124e-05
dsbld,0.0,0.0
hswrk,5.727282787319716e-06,5.727282787318824e-06
dngdk,0.0,0.0
dngna,6.199484647928026e-06,6.199484647928224e-06
icomdng,4.231604239818375e-06,4.231604239818078e-06
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,1.3502771998710354e-05,1.3502771998711047e-05
iorgact,5.334247192657309e-06,5.334247192656318e-06
pdwrkp,2.362783715566069e-05,2.362783715566059e-05
edulvlfb,8.612577213457293e-06,8.612577213457492e-06
occf14b,4.144390796800974e-05,4.1443907968009544e-05
eiscedm,6.02151033425373e-05,6.0215103342536634e-05
imprich,0.0003406427474333688,0.0003406427474333687
ipeqopt,0.00037438887461255026,0.0003743888746125451
impdiff,0.00027464887955512443,0.0002746488795551254
ipfrule,0.00012176429190354677,0.00012176429190354796
iphlppl,5.5917404398809944e-05,5.591740439880727e-05
inwmms,2.1166781210533905e-05,2.1166781210534437e-05
inwyys,0.04140382431989446,0.041403824319894436
