,0,1
cntry,0.013195893038073355,0.01319589303807336
pspwght,0.0019785584260816756,0.0019785584260816782
anweight,0.002679145574911284,0.0026791455749112657
nwspol,0.0008527214520314644,0.0008527214520314645
netusoft,0.020404182665040918,0.02040418266504092
netustm,0.0028798150829985854,0.00287981508299857
ppltrst,0.002476754014369123,0.00247675401436911
pplhlp,0.0017856182705502802,0.0017856182705502821
polintr,0.005416489276127628,0.005416489276127626
psppsgva,0.00026252613409274685,0.0002625261340927485
psppipla,6.71268636480149e-05,6.712686364802283e-05
trstplc,6.322933451430947e-05,6.322933451430947e-05
trstprl,0.00012440196381283567,0.0001244019638128211
contplt,6.028322915872281e-05,6.028322915873263e-05
wrkprty,3.928858006941395e-05,3.928858006942029e-05
bctprd,0.00011188151588302617,0.0001118815158830341
stfdem,7.370383987946525e-05,7.370383987946603e-05
gincdif,9.939751353482486e-05,9.939751353482328e-05
mnrgtjb,0.0001267317252113257,0.00012673172521132647
euftf,0.00013570837087261225,0.00013570837087262017
imsmetn,6.33084522202602e-05,6.330845222026513e-05
imdfetn,0.00011849486570882203,0.00011849486570881728
happy,0.00011132234002105041,0.00011132234002105992
rlgblg,5.3708638236633263e-05,5.370863823663758e-05
rlgblge,0.00012043614382994474,0.00012043614382994711
rlgatnd,0.00011777407374437079,0.00011777407374437871
dscrgrp,3.794667434575286e-05,3.794667434575841e-05
dscrage,0.00010259525136568914,0.00010259525136570024
dscrgnd,0.0002237349417161646,0.00022373494171617808
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.00011291158531841444,0.00011291158531841226
elgcoal,5.828527521910543e-05,5.8285275219104636e-05
elgnuc,5.434557590621487e-05,5.434557590620852e-05
elgsun,8.802495938752818e-05,8.802495938752264e-05
elgwind,0.00010005860900423404,0.0001000586090042269
wrenexp,5.207319477873372e-05,5.207319477873689e-05
wrtcfl,0.00010013363528758352,0.0001001336352875867
wrtratc,0.00010591782136649685,0.00010591782136648337
lkredcc,7.805359096184786e-05,7.805359096185103e-05
dfincac,0.0001040995970157253,0.00010409959701572927
sbbsntx,8.343217394453095e-05,8.343217394452936e-05
imsclbn,6.822138123313242e-05,6.822138123313004e-05
uentrjb,0.0001175487923245529,0.00011754879232456058
lknemny,0.0001625944529660068,0.00016259445296602584
gndr,0.000160294596275171,0.0001602945962751718
gndr3,5.576623348813671e-05,5.5766233488135125e-05
yrbrn2,0.45051302206128785,0.4505130220612878
iccohbt,0.00025763497142420954,0.00025763497142421035
maritalb,0.00011421918592769182,0.00011421918592770372
uempla,0.00012102173244838659,0.00012102173244840245
cmsrv,9.244652175674256e-05,9.244652175675922e-05
hswrk,8.077631786737196e-05,8.07763178673791e-05
dngdk,0.0,0.0
dngna,0.00011176624772635813,0.00011176624772635813
icomdng,0.00011715816617042241,0.00011715816617041765
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,3.480876062157015e-05,3.480876062156857e-05
wkhtot,5.0950061648297976e-05,5.095006164829877e-05
uemplap,0.00038999687447083584,0.00038999687447084294
edulvlfb,8.059083523100522e-05,8.059083523099332e-05
occf14b,0.0001343542075182185,0.00013435420751822723
imprich,6.611081861003153e-05,6.611081861003073e-05
ipeqopt,9.980603659432192e-05,9.980603659433382e-05
ipshabt,0.00010528778969844942,0.00010528778969845974
impdiff,0.00016621453947900775,0.00016621453947902835
ipudrst,0.00014643825046969689,0.00014643825046970323
inwmms,4.4057806665084456e-05,4.405780666507494e-05
inwyys,2.8512922423483212e-05,2.8512922423486387e-05
